Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;14.1000003815;4;23.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.5;6;23.0;2;9.0;11.3000001907;5;21.0;
5;1;9.60000038147;11.5;6;23.0;2;10.3000001907;10.0;5;21.0599999428;
6;2;10.6000003815;11.6999998093;5;24.0;2;11.4770002365;10.0;4;21.1229639053;
7;2;11.9000005722;11.5;5;24.2100000381;2;12.5053339005;10.0;4;21.1889609098;
8;2;12.2629995346;11.5;5;24.933658123;2;13.5350322723;10.0;4;21.6699410677;
9;2;12.4800977707;11.7299995422;5;25.6121672392;2;14.5714740753;10.1999998093;4;22.0818096399;
10;2;12.6836500168;11.9106416702;5;26.1707146168;2;14.9368133545;10.3632001877;4;23.2920063734;
11;2;12.8512153625;12.0;5;27.9096882343;2;15.4814033508;10.9097137451;4;24.3297555447;
12;2;14.9592914581;12.6000003815;5;29.5254793167;2;15.9483909607;11.3658018112;4;25.2069878578;
13;2;16.9592914581;13.0788002014;5;31.0648841858;2;18.5379104614;11.7372808456;4;25.9430538416;
14;2;18.9592914581;13.4505519867;5;32.5803608894;2;20.5379104614;12.0336990356;4;26.5605664253;
15;2;20.6807746887;13.7328653336;5;34.1211147308;2;21.7313613892;12.2662630081;4;27.0822491646;
16;2;22.0165805817;13.943564415;5;35.5285363197;2;22.8041152954;12.446267128;4;27.3607378006;
17;2;23.4049453735;14.0;6;36.9944524765;2;23.8810749054;12.5;4;27.5410807133;
18;2;24.8447208405;14.0;6;38.6139526367;2;24.962228775;12.5;5;27.7306177616;
19;2;25.584186554;14.0;6;40.3531599045;2;26.0475196838;12.5;5;27.9291167259;
20;2;26.1059474945;14.0;7;42.1625070572;2;26.5681018829;12.5;5;28.136231184;
21;2;26.6487522125;14.0;7;43.9806175232;2;26.6613044739;12.5;5;28.3514947891;
22;3;27.194185257;14.0;6;45.7415828705;2;26.7581729889;12.5;5;28.5743191242;
23;3;27.7224750519;14.0;6;47.3841724396;2;26.8584442139;12.5;6;28.8039934635;
24;3;28.2152519226;14.0;6;48.8604373932;3;26.9617977142;12.5;5;29.039689064;
25;3;26.6581306458;15.0;6;50.1411762238;3;27.0678596497;12.5;5;29.2804670334;
26;3;26.0423526764;16.0;6;51.2169761658;3;27.1762104034;12.5;5;29.5252895355;
27;3;25.3650932312;17.0;6;52.0952796936;3;27.2863807678;12.5;5;29.7730360031;
28;3;24.6285839081;18.0;7;52.7951793671;3;27.3978652954;12.5;5;30.022521019;
29;4;23.8385543823;19.0;6;53.3418693542;3;27.5101356506;12.5;5;30.2725157738;
30;4;22.8385543823;18.0;6;53.7620716095;3;25.5101356506;13.5;5;30.5217733383;
31;4;21.8385543823;18.0;6;54.0;3;25.25;14.5;5;30.769051075;
32;4;20.8385543823;17.0;6;54.0;3;24.25;13.5;5;31.0131368637;
33;4;20.8385543823;17.0;6;54.0;3;24.25;13.5;5;31.252872467;
34;4;20.8385543823;17.0;6;54.0;3;23.25;13.5;5;31.4871754646;
35;4;20.8385543823;18.0;6;54.0;3;23.25;13.5;5;31.7150583267;
36;4;20.8385543823;19.0;7;54.0;3;22.25;13.5;5;31.9356441498;
37;4;21.3999996185;20.0;7;54.0;3;24.25;15.5;6;32.1481771469;
38;4;22.3999996185;21.0;7;54.0;3;26.25;17.5;6;32.3520302773;
39;4;22.3999996185;22.0;7;54.0;3;27.5584144592;19.5;5;32.5467100143;
40;5;24.3999996185;22.0;6;55.0;3;28.6460189819;21.5;5;32.7318525314;
41;5;26.3999996185;23.0;6;56.0599999428;3;28.7293338776;22.5;4;32.907222271;
42;5;28.718000412;26.0;7;56.2329639196;3;28.8082504272;22.5;4;33.0727024078;
43;6;30.7368888855;29.0;7;56.4198399782;3;28.8827171326;22.5;5;34.2282876968;
44;6;31.3999996185;32.0;8;56.6214858294;3;29.9527282715;23.5;6;34.4040691853;
45;6;32.7774162292;33.0;9;56.838744998;3;31.0183315277;24.5;6;34.5708172321;
46;6;33.4000015259;34.665145874;10;57.0724288225;3;29.5568675995;26.5;7;34.7287757397;
47;6;34.1999969482;35.7028579712;10;57.3232949972;3;28.5708961487;27.5;8;34.8782484531;
48;6;34.1999969482;36.0294342041;11;57.5920227766;3;28.0796012878;29.5;9;35.0195864439;
49;6;34.6698646545;35.4180603027;11;57.8791851997;3;27.7701263428;30.5;9;35.1531749964;
50;6;34.6953964233;35.5595016479;12;58.1852186918;3;26.7849197388;29.5;9;35.2221269608;
51;6;34.7218933105;35.7118988037;12;58.5103904009;3;26.7999572754;29.5;11;35.2560760975;
52;6;34.7493476868;35.8754577637;12;58.8547649384;3;28.25;28.3792533875;11;35.2905418873;
53;7;34.7777404785;36.0502662659;14;59.2181708813;3;27.8307437897;28.5;11;35.3255085945;
54;7;32.1999969482;38.2362442017;15;59.6001706123;3;26.8964805603;29.5;11;35.3609591722;
55;7;31.1999988556;39.4952735901;15;60.0000343323;3;25.9124298096;30.5;14;35.3968753815;
56;7;30.8683414459;39.6405601501;15;60.4167199135;3;24.9285926819;31.5;14;35.4332377911;
57;7;29.9002361298;40.8578186035;15;60.848862648;3;23.9449577332;32.5;15;35.4700255394;
58;7;28.1999988556;43.0840835571;15;61.2947769165;3;22.9615097046;33.5;15;35.5072168112;
59;7;29.1999988556;41.5954742432;16;62.7524693012;3;21.9782485962;34.5;15;35.5447884798;
60;7;29.0003738403;42.5591888428;16;66.2030649185;4;20.9951553345;35.5;9;51.778164506;
61;7;31.4670524597;42.6476898193;16;69.0573065281;4;20.2999992371;36.5;9;53.8296074867;
62;7;32.8326568604;43.5858840942;18;71.4083669186;4;24.0436401367;34.5;10;55.5889173746;
63;7;33.169757843;45.3988685608;18;73.3594132662;4;22.2999992371;36.5;11;57.0818870068;
64;7;35.3304252625;46.1133346558;18;74.7963522673;4;25.0938339233;34.5;12;58.1904380322;
65;7;35.4000015259;48.2729263306;18;77.6569979191;4;27.1195220947;34.5;12;59.0013252497;
66;7;39.4000015259;49.7438201904;18;78.4583408237;4;29.1455726624;35.0;13;59.6985106468;
67;7;42.5522422791;52.211566925;19;79.2568605542;4;29.75;37.0;13;60.2003288269;
68;8;42.6572532654;56.6464233398;18;80.0436428189;5;28.6486644745;35.0;11;60.6232922077;
69;8;45.1548881531;56.6464233398;17;80.8107147813;5;28.75;36.0;11;60.9786906242;
70;8;42.5999984741;61.6464233398;19;81.5513290167;5;29.75;37.4822769165;11;61.1785771847;
71;8;42.8078575134;65.190788269;17;82.2601439953;5;31.7303600311;37.0;11;61.240044117;
72;8;42.7945709229;67.5701141357;15;82.9332895279;5;32.7580184937;38.0;11;61.3018684387;
73;8;42.9375;64.4739303589;12;83.568328917;5;32.75;40.0;11;61.3639757633;
74;9;41.7718544006;65.7685089111;12;84.1641321182;5;33.75;41.6547851562;12;61.4262907505;
75;9;43.7621688843;64.8543548584;12;84.7206882238;5;35.75;41.0;13;62.4887363911;
76;9;44.2315979004;66.7283706665;12;85.2388891578;5;36.0999984741;44.0;12;62.6512352228;
77;9;43.7456054688;65.5105209351;12;85.7203017473;5;37.0999984741;46.7858657837;12;62.8226089478;
78;9;42.5999984741;67.7797622681;11;86.1669641435;5;37.0999984741;48.8295974731;14;63.0033442974;
79;9;44.1029548645;65.9696426392;12;86.5811986327;5;37.0999984741;47.0;15;63.1939171553;
80;9;43.102848053;67.9993896484;12;87.9654598534;6;36.0999984741;49.0;13;63.3947815895;
81;9;45.7213249207;66.6661148071;13;88.246586293;6;38.0999984741;49.0;13;63.6063572168;
82;9;46.6266212463;68.7058486938;15;88.5198359191;6;38.0999984741;48.0;14;63.8290147781;
83;9;46.9439811707;70.2778778076;16;88.7929365635;6;38.0999984741;48.0;15;64.0630586147;
84;9;46.4616203308;70.1211166382;16;89.0656923652;7;37.0999984741;50.0;14;64.3087110519;
85;9;43.7053909302;72.8264389038;15;89.3379581273;7;37.0999984741;48.0;14;64.5660910606;
86;9;46.0130958557;73.0375595093;17;89.6096310318;7;36.0999984741;49.0;14;64.8351974487;
87;9;45.6996192932;72.6399765015;19;89.8806447089;7;38.0999984741;49.0;14;65.1158883572;
88;9;46.0670433044;72.1102142334;17;90.1509595811;7;38.0999984741;48.0;14;65.4078652859;
89;9;47.6182136536;72.7899169922;17;90.4205559492;7;38.0999984741;49.0;15;65.7106566429;
90;9;47.4047851562;74.8336410522;17;90.6894262135;7;38.6003608704;51.0;15;67.0236067772;
91;9;45.315410614;76.877281189;19;90.9575674534;7;40.6253547668;51.0;15;67.4458690882;
92;9;46.3194465637;77.2988739014;19;91.1902384162;7;39.0999984741;55.0;22;67.8853039742;
93;9;48.9483909607;73.9640731812;20;91.3841663301;7;40.0999984741;57.0;23;68.3412494659;
94;9;47.5969429016;76.0071334839;21;94.0050826967;7;40.0999984741;58.0;24;68.8128575087;
95;9;47.5446052551;77.1304244995;21;96.5607829988;7;40.0999984741;60.0;24;69.2991037369;
96;10;45.918548584;79.2574920654;20;99.0036226511;7;40.7434959412;63.0;25;69.7988001108;
97;10;46.580116272;79.3880157471;20;101.300450265;8;40.7656478882;64.9681472778;24;70.3106153011;
98;10;48.5983161926;79.5216064453;22;104.434419453;8;40.7872772217;66.2927703857;24;70.8330950737;
99;10;48.5883216858;83.6578216553;23;106.463480204;8;40.8083763123;67.6256866455;25;71.3646891117;
100;10;51.1471786499;84.0370941162;23;108.339597255;8;40.8289375305;68.9658203125;24;71.9037730694;
101;9;49.731502533;86.9362182617;22;110.078350335;9;41.8489570618;67.3120422363;20;72.6041374207;
102;9;49.1793708801;89.3324279785;22;111.697718501;9;39.0999984741;69.6631774902;21;73.3118803501;
103;9;49.7123413086;93.2190322876;23;113.215046704;9;40.0999984741;70.0180511475;21;75.0245110989;
104;9;49.2121734619;93.6306915283;23;114.446835041;9;43.0999984741;69.3754577637;21;75.8395131826;
105;10;49.5999984741;94.779510498;24;115.5995287;10;43.2107849121;71.7342071533;20;77.6632664204;
106;10;48.2455825806;94.9273529053;25;116.734758198;10;42.2107849121;75.0931167603;21;78.5538303852;
107;10;49.3882522583;97.779914856;26;117.846267223;10;45.2107849121;75.4509887695;20;80.4522479773;
108;10;48.5999984741;97.2179641724;26;118.928003043;10;46.2107849121;79.8066558838;21;81.4366929531;
109;11;48.4291877747;98.0491256714;26;119.974365652;10;47.5700149536;84.1589584351;21;82.4308919907;
110;11;48.5999984741;101.780296326;26;120.905472398;10;49.4417877197;83.5067749023;22;83.4332944155;
111;11;52.3299102783;96.981918335;27;122.75094974;10;48.5992889404;86.8489685059;24;84.4423542023;
112;11;53.3499984741;100.181922913;27;123.742841601;11;48.759967804;90.1844482422;23;85.4565253258;
113;11;58.2622756958;102.379943848;27;124.728141367;11;49.9236946106;89.5121536255;23;86.4742596149;
114;11;59.9394416809;106.081634521;30;125.708996594;11;49.0903434753;91.8310546875;24;87.4940015078;
115;11;62.0491600037;106.769126892;31;127.688932776;11;49.2597541809;94.1402206421;24;88.5141875744;
116;11;62.4148674011;109.464996338;31;128.740125775;11;50.4317398071;93.4387512207;25;89.5332429409;
117;11;62.9647216797;110.265975952;32;129.804416895;11;47.5373420715;96.0076522827;25;90.5358314514;
118;12;62.719078064;112.439483643;32;130.887859941;11;49.6481933594;94.2729797363;26;92.4490761757;
119;13;62.9281806946;115.609367371;32;131.99645263;11;51.7640266418;94.5345306396;27;93.4253776073;
120;13;63.2510452271;116.775512695;32;133.135599315;11;52.1402282715;97.7913360596;29;94.4053928852;
121;13;62.2479820251;120.367019653;33;134.30952996;11;53.320728302;98.0425567627;32;95.3868714571;
122;13;63.5199623108;120.096176147;34;135.482732534;11;53.5016708374;98.2874679565;32;96.3675465584;
123;13;67.041809082;120.250556946;34;136.59384346;11;52.6824951172;101.525505066;33;97.3451465368;
124;13;71.1663742065;121.400917053;35;138.758212805;11;53.8625946045;100.756217957;34;98.3174003363;
125;13;79.2828063965;116.486572266;35;139.956746399;11;54.0413093567;99.9792938232;35;99.2820510864;
