Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;14.1000003815;4;23.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.5;6;23.0;1;9.0;11.0;6;20.0;
5;1;9.60000038147;11.5;6;23.0;1;10.0;10.0;6;20.0;
6;1;10.6000003815;11.5;6;23.0;1;11.0;10.0;6;20.0;
7;1;11.6000003815;11.5;6;23.0;1;12.0;10.0;6;20.0;
8;1;11.8999996185;11.5;6;23.4599990845;1;13.0;10.0;5;20.3999996185;
9;1;12.0380001068;11.7299995422;6;23.8212833405;1;14.0;10.1999998093;5;20.7264003754;
10;2;12.1463851929;12.1106414795;5;25.0;1;14.3268795013;10.3632001877;5;21.8194274902;
11;2;12.5000009537;12.0;5;26.37000072;1;14.8187427521;10.9097137451;5;22.7316036224;
12;2;14.497385025;12.6000003815;5;27.5245113373;1;15.2292222977;11.3658018112;5;23.4745616913;
13;2;16.497385025;13.0788002014;5;28.4953744411;1;16.8187427521;11.7372808456;5;24.0673980713;
14;2;18.497385025;13.4505519867;5;29.3215528727;1;17.8187427521;12.0336990356;4;24.5325260162;
15;2;19.7031326294;13.7328653336;5;30.0425581932;1;18.8187427521;12.2662630081;4;24.892534256;
16;2;20.7930145264;13.943564415;5;30.4969480038;1;19.8187427521;12.446267128;4;25.0;
17;2;21.8954696655;14.0;5;30.8840510845;1;20.8187427521;12.5;4;25.0;
18;2;23.0116004944;14.0;5;31.3200027943;1;21.8187427521;12.5;5;25.0;
19;2;22.3999996185;14.9960012436;7;31.8073790073;1;22.8187427521;12.5;6;25.0;
20;2;23.3999996185;14.0;7;32.3477458954;1;23.25;12.5;7;25.0;
21;2;22.3999996185;15.0;7;32.9413113594;1;23.25;12.5;7;25.0;
22;2;22.3999996185;15.4823932648;7;33.586581707;1;23.25;12.5;7;25.0;
23;2;22.3999996185;15.6759748459;9;34.2800674438;1;23.25;12.5;7;25.0;
24;2;23.3999996185;14.0;9;35.0160870552;1;23.25;12.5;7;25.0;
25;2;22.3999996185;15.0;9;35.7867279053;1;23.25;12.5;7;25.0;
26;2;23.3999996185;14.0;10;36.5820074081;1;23.25;12.5;7;25.0;
27;2;22.3999996185;15.0;10;37.3902606964;1;23.25;12.5;8;25.0;
28;2;22.2170772552;16.0;10;38.1987380981;1;23.25;12.5;8;25.0;
29;2;21.4596214294;17.0;11;38.9943685532;1;23.25;12.5;8;25.0;
30;3;20.4596214294;16.0;8;51.2645931244;1;23.25;12.5;8;25.0;
31;3;23.4596214294;15.0;8;52.4581632614;1;23.25;12.5;8;25.0;
32;3;23.4596214294;17.0;9;53.5691757202;1;23.25;12.5;8;25.0;
33;3;25.4596214294;17.0;9;54.5899095535;1;23.25;12.5;8;25.0;
34;3;26.4596214294;18.0;9;55.5162181854;1;23.25;12.5;8;25.0;
35;3;27.4596214294;19.0;9;56.347281456;1;23.25;12.5;8;25.0;
36;3;28.4596214294;20.0;10;57.0851421356;1;23.25;12.5;8;25.0;
37;4;29.0130138397;21.0;9;57.7341136932;1;23.25;12.5;8;25.0;
38;4;29.1340255737;22.0;9;58.3001441956;1;23.25;12.5;9;25.0;
39;5;29.2391166687;23.0;9;58.7902116776;1;23.25;12.5;9;25.0;
40;5;29.3295898438;26.0;9;59.1896247864;1;23.25;13.5;9;25.0;
41;5;29.4068870544;29.0;9;59.4083213806;1;23.25;14.5;9;25.0;
42;5;29.4724960327;32.0;10;59.5;1;23.25;15.5;10;25.0;
43;5;29.5;35.0;9;59.5;1;23.25;16.5;10;25.0;
44;5;29.5;38.0;9;59.5;1;23.25;17.5;10;25.0;
45;5;29.5;39.0;9;60.5;1;23.25;17.5;10;25.0;
46;5;31.5;38.0;10;60.5299999714;1;23.25;17.5;11;25.0;
47;5;31.5;40.0;10;61.5605909824;1;23.25;17.5;10;25.0;
48;5;32.5;43.0;11;61.7917661667;2;23.25;17.5;9;25.0;
49;5;34.8275299072;43.0;12;62.0611172915;2;23.25;17.5;9;25.0;
50;5;35.5;44.0;13;62.3746640682;2;23.25;17.5;9;25.0;
51;5;37.3624000549;44.0;14;62.738948226;2;23.25;17.5;9;25.0;
52;6;38.4716835022;44.0;13;63.1608817577;2;23.25;17.5;9;25.0;
53;6;35.5;46.8554878235;15;63.6474940777;2;23.25;17.5;9;25.0;
54;6;34.5;48.8792533875;16;64.2055547237;2;23.25;17.5;9;25.0;
55;6;33.5;50.293888092;17;64.8410511017;2;23.25;17.5;9;25.0;
56;6;33.5;51.738735199;17;65.5585199594;2;23.25;17.5;9;25.0;
57;6;33.5;53.2409629822;17;66.360253334;2;23.25;17.5;9;25.0;
58;6;34.5;51.8021774292;19;67.2454402447;2;21.25;18.5;9;25.0;
59;6;33.5;53.4218063354;19;71.0958385468;2;20.25;19.5;8;25.0;
60;6;34.1749992371;55.9883384705;19;74.5841656923;3;20.25;21.5;7;26.0;
61;6;35.7147521973;55.4775619507;18;77.7554637194;3;20.25;23.5;7;27.2100000381;
62;6;35.1371307373;57.9056091309;19;80.6532609463;3;20.25;26.5;7;27.4815590382;
63;6;35.4628067017;60.2255058289;19;83.137275219;3;20.25;29.5;7;29.051936388;
64;6;35.6603240967;62.378074646;23;85.2223981619;3;19.4840431213;32.5;12;30.4132429361;
65;8;36.7693481445;61.4238624573;15;99.0914199352;4;18.4886302948;34.5;9;46.6081641912;
66;8;36.8579101562;64.4705505371;16;101.313113689;4;20.25;34.5;11;49.2625105381;
67;8;37.9000015259;67.518081665;16;103.220939636;4;22.25;35.0509490967;11;52.6369498968;
68;8;38.9000015259;67.5664215088;18;104.929336071;4;23.25;35.0614051819;12;55.6805992126;
69;8;38.9000015259;67.6155090332;19;106.427722931;5;24.25;35.0719451904;11;58.442991972;
70;8;37.9000015259;70.6652832031;20;107.719059944;5;25.25;36.3103141785;11;60.9827826023;
71;9;37.9000015259;73.7156982422;20;108.816521168;5;26.25;38.5639190674;11;63.0760136843;
72;9;37.9000015259;76.7666854858;20;109.739658594;5;27.25;40.6040077209;12;63.9372054338;
73;9;37.9000015259;79.8181686401;22;110.510951042;5;28.25;42.4148330688;12;64.9565608501;
74;11;37.9000015259;82.8700866699;21;111.15316987;5;30.25;41.245716095;13;66.0970705748;
75;11;37.9000015259;85.9223632812;28;111.503323555;5;30.25;43.0946578979;13;67.3126392365;
76;12;38.9000015259;85.9749145508;21;129.667335272;5;29.25;43.1056518555;14;68.5517145395;
77;12;40.9000015259;88.0276794434;21;131.002892256;5;29.25;45.1166915894;15;69.7626007795;
78;12;42.8999977112;90.0805664062;21;132.184040785;6;29.25;47.1277732849;14;71.8993052244;
79;12;43.5;92.1335067749;21;134.203454971;6;30.25;50.1388969421;14;72.9664549828;
80;12;44.7894096375;97.8258666992;22;136.185323596;6;30.25;52.1388969421;15;73.9032517672;
81;12;46.7969512939;101.878662109;22;141.05749166;6;30.25;52.1388969421;11;74.7012606859;
82;12;49.4917488098;108.812828064;22;145.953464985;6;29.25;56.1388969421;11;75.3635412455;
83;12;51.0813446045;116.951805115;23;150.172711968;6;29.25;60.1388969421;11;75.901361227;
84;12;51.6172714233;125.095077515;18;153.773455262;7;30.25;61.1388969421;10;76.3307131529;
85;13;52.6214866638;129.242202759;16;156.853850603;7;29.25;64.2061462402;10;76.669331789;
86;14;52.8946342468;132.392669678;15;183.199082494;6;19.25;62.2173995972;9;52.9327411652;
87;14;51.2507171631;139.545928955;16;185.492428064;6;19.25;62.2286453247;9;52.9007270336;
88;14;52.4492492676;143.70135498;16;186.980973244;6;18.0;65.2398910522;11;52.8801803589;
89;14;52.5712127686;148.858306885;17;190.562344313;6;18.0;63.2398910522;8;52.8700281382;
90;15;52.740234375;152.016082764;18;191.772831917;6;19.0;64.2398910522;9;52.8692963123;
91;15;52.8828887939;156.173980713;21;193.110680103;6;18.0;62.2398910522;9;52.8771005869;
92;15;53.7361068726;159.13130188;21;194.57090807;6;18.0;66.2398910522;8;52.8926386833;
93;15;54.8996276855;162.287322998;21;197.145784378;6;19.0;67.2398910522;7;52.9151750803;
94;15;57.0728607178;166.441360474;21;198.944527268;6;18.0;71.2398910522;9;52.9440429211;
95;15;60.2549057007;166.947753906;22;200.846217155;6;18.0;74.2065200806;9;52.9786328077;
96;15;60.5698280334;175.077606201;24;203.834858894;6;19.0;69.2065200806;8;53.0183870792;
97;15;61.7801704407;178.783126831;24;206.011709452;6;19.0;66.2065200806;8;53.0627924204;
98;16;63.9961929321;183.354309082;23;208.248913288;6;18.0;70.2065200806;9;53.1113781929;
99;16;65.341217041;185.980056763;27;210.52529192;6;19.0;71.2065200806;10;53.1637123823;
100;16;66.5772094727;188.556060791;28;212.819285035;6;19.0;72.2065200806;10;53.2193949223;
