Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_GYSACHE;Research_KI_6_SP_GYSACHE;Industry_KI_6_SP_GYSACHE;Ships_KI_6_SP_GYSACHE;Population_KI_6_SP_GYSACHE;
1;1;6.0;14.1000003815;4;23.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;13.0;4;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;12.0;4;20.0;
4;1;9.0;11.5;6;23.0;2;9.0;11.3000001907;3;21.0;
5;1;9.60000038147;11.5;6;23.0;2;10.3000001907;10.0;3;21.0299999714;
6;1;10.6000003815;11.5;6;23.0;2;11.4635000229;10.0;3;21.0605909824;
7;1;11.6000003815;11.5;6;23.0;2;12.4772663116;10.0;3;21.091766119;
8;1;11.8999996185;11.5;6;23.4599990845;2;13.4912948608;10.0;3;21.534434557;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;14.5104961395;10.1999998093;3;21.9046876431;
10;1;12.1463851929;11.9106416702;6;24.0;2;14.8571090698;10.3632001877;3;23.0545283556;
11;1;12.2000007629;12.0;6;25.2000007629;2;15.3745384216;10.9097137451;3;24.0255558491;
12;1;14.1463851929;12.6000003815;6;26.1576004028;2;15.8115005493;11.3658018112;3;24.8294079304;
13;1;15.1463851929;13.0788002014;6;26.9011039734;2;18.4010219574;11.7372808456;3;25.4851789474;
14;1;16.1463851929;13.4505519867;6;27.4657306671;2;20.4010219574;12.0336990356;2;26.0152727365;
15;1;17.1463851929;13.7328653336;6;27.88712883;2;21.4859790802;12.2662630081;3;26.4422603846;
16;1;18.1463851929;13.943564415;7;28.0;3;22.5161190033;12.446267128;3;26.6186932325;
17;1;19.1463851929;14.0;7;28.0;3;22.8187427521;12.5;4;26.6896131039;
18;1;20.1463851929;14.0;7;28.0;3;24.5790691376;12.5;4;26.7624419928;
19;1;20.3999996185;14.0;7;28.0;3;25.6118412018;12.5;4;26.8371264935;
20;1;20.3999996185;14.0;8;28.0;3;26.0767059326;12.5;4;26.9136037827;
21;1;20.3999996185;14.0;8;28.0;3;26.1111221313;12.5;4;26.9918012619;
22;1;20.3999996185;14.0;8;28.0;3;26.1463108063;12.5;4;27.0716366768;
23;1;20.3999996185;14.0;8;28.0;3;26.1822357178;12.5;5;27.1530179977;
24;1;20.3999996185;14.0;8;28.0;3;26.2188587189;12.5;5;27.2358441353;
25;1;20.3999996185;14.0;8;28.0;3;25.25;13.5;5;27.3200047016;
26;1;20.3999996185;14.0;9;28.0;3;25.25;14.1240034103;5;27.4053807259;
27;1;20.3999996185;14.0;9;28.0;4;25.25;14.1837663651;4;27.4918448925;
28;1;20.3999996185;14.0;9;28.0;4;25.25;12.5;4;27.5792627335;
29;1;20.3999996185;14.0;9;28.0;4;26.25;12.5;4;27.6674926281;
30;2;20.3999996185;14.0;8;28.0;4;24.4503707886;13.5;4;27.7563869953;
31;2;20.3999996185;14.0;7;28.0;4;23.4903736115;14.5;4;27.8457934856;
32;2;20.3999996185;14.0;7;28.0;4;22.5306072235;15.5;4;27.9355556965;
33;2;20.3999996185;14.0;7;28.0;4;21.5709991455;16.5;5;28.0255141258;
