Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.1000003815;4;23.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.1000003815;4;23.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.1000003815;4;23.0;1;9.0;10.0;4;20.0;
4;1;9.0;11.5;4;23.0;1;9.0;10.0;4;20.0;
5;1;9.60000038147;11.5;4;23.0;1;10.0;10.0;4;20.0;
6;1;10.6000003815;11.5;4;23.0;1;11.0;10.0;4;20.0;
7;1;11.6000003815;11.5;4;23.0;1;11.0;10.0;4;20.3999996185;
8;1;11.8999996185;11.5;4;23.4599990845;1;11.1199998856;10.1999998093;4;20.7264003754;
9;1;12.0380001068;11.7299995422;4;23.8212833405;1;11.2179203033;10.3632001877;4;20.9903717041;
10;2;12.1463851929;12.1106414795;3;25.0;1;11.2971115112;10.4951858521;4;22.0419120789;
11;2;12.5000009537;12.0;4;26.2400007248;1;11.6125736237;11.0209560394;3;22.9143505096;
12;2;14.4583854675;12.6000003815;4;27.2387843132;1;11.8743057251;11.4571752548;3;23.6214065552;
13;2;16.4583854675;13.0788002014;4;28.0246574879;1;13.6125736237;11.8107032776;4;24.1832637787;
14;2;18.4583854675;13.4505519867;5;28.63283813;1;14.6125736237;12.0916318893;4;24.6226100922;
15;2;19.4965171814;13.7328653336;4;29.098970294;1;15.6125736237;12.3113050461;4;24.9617595673;
16;2;20.5099372864;13.943564415;5;29.2577478886;1;16.6125736237;12.4808797836;4;25.0;
17;2;21.5237102509;14.0;5;29.3048160076;1;17.6125736237;12.5;4;25.0;
18;2;22.5378303528;14.0;5;29.3530313969;1;18.6125736237;12.5;4;25.0;
19;2;22.8059082031;14.0;5;29.4023760557;1;19.5;12.5;4;25.0;
20;2;22.8207130432;14.0;6;29.4528282881;1;19.5;12.5;4;25.0;
21;3;22.8358478546;14.0;5;29.5043625832;1;19.5;12.5;6;25.0;
22;3;22.8513088226;14.0;5;29.5569496155;1;19.5;12.5;6;25.0;
23;3;22.8670845032;14.0;5;29.6105561256;1;19.5;12.5;7;25.0;
24;3;22.8831672668;14.0;5;29.6651450396;1;19.5;12.5;7;25.0;
25;3;22.8995437622;14.0;5;29.72067523;1;19.5;12.5;7;25.0;
26;3;22.9162025452;14.0;6;29.7771017551;1;19.5;12.5;7;25.0;
27;3;22.9331302643;14.0;6;29.8343759775;1;19.5;12.5;9;25.0;
28;3;22.9503116608;14.0;7;29.8924454451;1;19.5;12.5;9;25.0;
29;4;22.9677333832;14.0;7;29.9512542486;1;19.5;12.5;9;25.0;
30;4;22.3999996185;14.0;7;30.0107431412;1;17.5;13.5;9;25.0;
31;4;22.3999996185;15.0;7;30.0708494186;2;16.5;14.5;9;25.0;
32;4;23.0212554932;14.0;7;30.1315076351;2;15.5;15.5;9;25.0;
33;4;22.3999996185;15.0;7;30.1926498413;2;14.5;16.5;9;25.0;
34;4;23.0577945709;14.0;7;30.2542052269;2;13.5;17.5;9;25.0;
35;4;22.3999996185;15.0;7;30.3161010742;2;12.5;18.5;9;25.0;
36;4;23.0948295593;14.0;7;30.3782629967;3;12.0;19.5;6;40.0;
37;4;23.1134796143;14.0;7;30.4406147003;3;14.0;18.5;6;40.75;
38;4;23.132183075;14.0;7;30.5030794144;3;16.0;18.5;7;41.4193744659;
39;4;23.1509227753;14.0;7;30.5655794144;3;17.0;18.5;7;42.0072898865;
40;4;23.1696739197;14.0;7;30.628036499;3;18.0;18.5;8;42.5162696838;
41;4;23.1884098053;16.0;8;30.690372467;3;19.0;18.5;8;42.9513263702;
42;4;23.2071113586;18.0;8;30.7525100708;3;20.0;18.5;8;43.3190898895;
43;4;23.2257518768;20.0;8;30.8143725395;4;22.0;19.5;8;44.6270179749;
44;4;24.2443122864;23.0;7;31.8758842945;4;23.5;20.5;8;44.9427628517;
45;4;24.3999996185;26.0;7;31.936971426;4;23.5;21.5;8;46.3729639053;
46;4;25.5810909271;27.0;7;31.9975619316;4;23.875;23.125;9;47.4233359098;
47;4;25.5992679596;28.0;8;32.0575861931;4;24.1703128815;24.6171875;9;48.2456274033;
48;4;25.617275238;29.0;8;32.1169772148;4;25.3962726593;24.6171875;9;48.8810926676;
49;4;25.635093689;29.0;8;32.1756706238;4;26.56524086;25.6171875;11;49.3702734709;
50;4;25.6527004242;29.0;9;32.2336053848;5;27.6893692017;26.6171875;10;49.484351635;
51;4;25.6700820923;29.0;9;32.2907235622;5;28.7000007629;27.6171875;10;49.5662232637;
52;4;25.6872177124;29.0;10;32.346971035;5;28.9750003815;28.6171875;10;49.6513283253;
53;5;25.7040901184;29.0;9;32.4022974968;5;28.9750003815;29.5;10;49.7396525145;
54;5;25.4206886292;29.0;9;32.4566559792;5;28.9750003815;29.5;11;49.8311642408;
55;5;25.736995697;29.0;10;32.5100040436;5;28.9750003815;29.5;11;49.9258141518;
56;6;25.7530002594;29.0;9;32.5623030663;5;28.9750003815;29.5;11;51.0235335827;
57;6;24.3999996185;30.0;9;32.6135182381;5;29.9750003815;30.5;11;51.1942340136;
58;6;25.3999996185;29.7000007629;9;32.6636190414;5;30.9750003815;31.5;13;51.3719576597;
59;6;25.4990844727;29.7000007629;9;32.7125790119;5;29.3182449341;33.5;13;51.5567140579;
60;6;25.5137729645;29.7000007629;9;32.7603754997;5;27.9750003815;35.5;14;51.7484813929;
61;6;25.5281124115;29.7000007629;9;32.8069901466;5;26.9750003815;37.5;15;51.9472036362;
62;6;25.5420970917;29.7000007629;11;33.8524079323;5;26.7000007629;39.1964225769;17;52.1527887583;
63;6;26.555721283;30.7000007629;12;34.9266178608;5;27.1454620361;39.5;18;52.3651064634;
64;6;28.5689849854;32.7000007629;12;35.0302033424;5;27.1744861603;40.5;19;52.5839867592;
65;6;29.5818824768;34.7000007629;12;35.2420840263;5;26.7000007629;42.3415641785;19;52.8092181683;
66;6;29.6269187927;36.7000007629;15;36.9012289047;5;26.7000007629;43.3947257996;21;53.0405466557;
67;6;30.0918273926;39.4175033569;15;38.2206435204;5;27.2701759338;43.5;21;53.2776749134;
68;6;29.1375198364;42.5535964966;15;39.257207036;5;26.7000007629;45.5;22;53.5202622414;
69;7;29.369758606;44.5759391785;14;40.0726319551;5;27.3411521912;45.5;22;53.7679240704;
70;7;30.5353660583;41.6638031006;16;40.5520080328;5;27.3787403107;46.5;23;55.7954823971;
71;7;31.0475654602;43.0891189575;17;40.8160489798;5;27.0480003357;49.0800018311;23;57.4342520237;
72;8;29.6000003815;44.1559295654;16;41.0797971487;6;28.0915203094;49.5082702637;21;68.7565512657;
73;8;29.6000003815;43.6888694763;16;41.3428717852;6;29.489522934;49.8158721924;22;70.2675614357;
74;8;29.6000003815;45.1805419922;16;41.6049170494;7;32.5052719116;49.0;21;71.3141274452;
75;8;29.6000003815;45.2912025452;17;42.8656035662;7;33.5684814453;49.0;21;72.3128430843;
76;8;28.6000003815;47.4007263184;17;43.1246294975;7;34.6340675354;49.0;22;73.2801504135;
77;9;31.6000003815;50.4205207825;16;44.381721735;7;35.4268302917;49.0;23;74.2090857029;
78;9;33.5999984741;54.4405021667;18;44.6716345549;7;33.4965438843;51.0;23;75.0944910049;
79;9;33.5999984741;58.4606590271;18;44.9600133896;7;32.5679473877;53.0;24;75.9330129623;
80;9;33.5999984741;62.4809837341;18;45.2466624975;7;31.6407470703;55.0;26;77.7229681015;
81;9;33.5999984741;65.5014648438;19;45.5314104557;8;30.6000003815;59.0;25;78.5040946007;
82;10;33.5999984741;66.027305603;21;45.8141059875;8;31.6000003815;63.0;26;79.2384457588;
83;10;31.6000003815;67.1258850098;21;46.094617486;9;32.5999984741;64.0;25;79.9277160168;
84;10;30.6000003815;68.22265625;21;46.3728311062;10;32.9370651245;64.1273880005;23;95.5741375685;
