Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.1000003815;4;23.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.1000003815;5;23.0;2;7.0;13.3000001907;3;21.0;
3;1;8.0;12.1000003815;5;23.0;2;8.14999961853;12.0;3;21.0900000334;
4;1;9.0;11.5;5;23.0;2;8.16349983215;11.0;3;21.1871190071;
5;1;9.60000038147;11.5;5;23.0;2;8.17806816101;10.0;3;21.2917383909;
6;2;10.6000003815;11.6999998093;4;24.0;2;9.29064083099;10.0;3;21.4042263031;
7;2;11.9000005722;11.5;4;24.1349999905;2;9.81595134735;10.0;3;21.5249304771;
8;2;12.2404994965;11.5;4;24.7580418587;2;9.84310913086;10.0;2;22.0694183111;
9;2;12.4274129868;11.7299995422;4;25.303673625;2;9.96561908722;10.1999998093;2;22.5515855551;
10;2;12.5911026001;11.9106416702;4;25.6901860237;2;10.0741062164;10.3632001877;2;22.983014226;
11;2;12.7070569992;12.0;4;27.1574020386;2;10.1711778641;10.4951858521;2;24.2738182545;
12;2;14.7336053848;12.6000003815;4;28.4192326069;2;10.4616098404;11.0209560394;2;25.4089095592;
13;2;16.7336063385;13.0788002014;5;29.5073719025;2;12.2841091156;11.4571752548;2;26.4029755592;
14;2;18.7336063385;13.4505519867;5;30.4601690769;2;14.2841091156;11.8107032776;2;27.276881218;
15;2;20.0447158813;13.7328653336;5;31.3159272671;2;16.2841091156;12.0916318893;3;28.0536293983;
16;2;21.1750240326;13.943564415;6;31.9112715721;3;17.4948120117;12.3113050461;3;28.755402565;
17;2;22.3197669983;14.0;6;32.4427638054;3;18.5764026642;12.4808797836;3;29.1808357239;
18;2;23.4792137146;14.0;6;33.0228657722;3;19.663520813;12.5;3;29.5913586617;
19;2;23.9068603516;14.0;6;33.6495757103;3;20.6580562592;12.5;3;30.0233430862;
20;2;24.094871521;14.0;7;34.3190746307;3;20.7552528381;12.5;4;30.4742712975;
21;3;24.2957229614;14.0;6;35.0256056786;3;20.856710434;12.5;5;30.9409928322;
22;3;24.5076808929;14.0;6;35.7614951134;3;20.9617233276;12.5;6;31.4197778702;
23;3;22.5076808929;15.0;7;36.5173482895;3;21.0694503784;12.5;6;31.906411171;
24;3;23.5076808929;14.0;7;37.2824316025;3;21.1789417267;12.5;6;32.3963236809;
25;3;20.3999996185;16.0;7;38.0452213287;3;21.2891731262;12.5;6;32.8847527504;
26;3;20.3999996185;16.0;7;38.7940702438;3;21.3990688324;12.5;6;33.3669252396;
27;3;20.3999996185;17.0;7;39.5179128647;3;21.5075588226;12.5;6;33.8382406235;
28;3;20.3999996185;18.0;7;40.2069244385;3;21.6136035919;12.5;7;34.2944498062;
29;3;20.0620765686;19.0;7;41.8530464172;3;17.625;14.5;7;34.7318048477;
30;3;20.2559127808;20.5;7;42.5403212309;3;16.625;16.5;7;35.1471776962;
31;3;20.4350967407;21.0;7;43.1821351051;3;15.625;18.5;7;35.5381307602;
32;3;20.1985054016;22.5935592651;7;43.7772778273;3;14.625;20.5;7;35.9029474258;
33;3;20.7331829071;23.0;7;44.326426506;3;14.0;22.5;7;36.2406177521;
34;3;20.8979282379;24.0;7;44.8317952156;3;14.0;24.5;7;36.5507898331;
35;3;21.049539566;25.0;7;45.2967342138;3;14.0;26.5;8;36.8336925507;
36;3;21.1890201569;26.0;7;45.7253385782;3;14.0;28.5;8;37.0900468826;
37;3;20.7799339294;27.896112442;8;46.1220932007;3;14.0;29.9630317688;8;37.3209609985;
38;3;20.3617324829;26.0;8;46.4915812016;3;14.0;31.124671936;9;37.5278348923;
39;3;20.4086284637;26.0;9;46.761295557;3;14.0;32.2694854736;9;37.7122650146;
40;3;20.7799339294;28.0;9;46.9362905025;3;14.0;33.3985862732;9;37.8759651184;
41;3;20.5108203888;26.0;9;47.1205644608;3;14.0;34.5131759644;9;38.0;
42;3;19.7799339294;27.0;9;47.3139474392;3;14.0;35.5999984741;11;38.0;
43;3;21.7799339294;27.0;10;47.516159296;3;14.0;36.5999984741;13;38.0;
44;3;21.8548488617;30.0;12;47.7268030643;3;14.0;37.5999984741;13;38.0;
45;3;21.9180412292;33.0;12;47.945360899;3;14.0;38.5999984741;14;38.0;
46;3;21.9836082458;36.0;12;48.1711919308;3;15.0;36.5999984741;15;38.0;
47;3;21.9500007629;36.0;16;48.4035346508;3;14.0;37.5999984741;16;38.0;
48;3;21.9500007629;36.0;16;48.641512394;3;14.0;38.5999984741;16;38.0;
49;3;22.1924552917;37.0;16;48.8841423988;3;15.0;36.5999984741;16;38.0;
50;3;22.2652435303;38.0;18;49.1303496361;3;14.0;37.5999984741;17;38.0;
51;3;21.9500007629;37.0;18;49.3789830208;3;16.0;33.5999984741;18;38.0;
52;3;21.9500007629;37.0;18;49.6288366318;3;18.0;31.5999984741;20;38.0;
53;3;22.4886512756;38.0;19;49.8786706924;3;19.9249992371;29.5999984741;20;38.0;
54;4;22.5636024475;39.0;20;50.1272368431;3;20.9249992371;28.5;21;38.0;
