Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.1000003815;4;23.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.1000003815;4;23.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.1000003815;4;23.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.5;4;23.0;1;8.0;11.0;6;20.0;
5;1;9.60000038147;11.5;4;23.0;1;8.0;10.0;6;20.0;
6;1;10.6000003815;11.5;4;23.0;1;9.0;10.0;6;20.0;
7;1;11.6000003815;11.5;4;23.0;1;9.5;10.0;6;20.0;
8;1;11.8999996185;11.5;4;23.4599990845;1;9.5;10.0;6;20.3999996185;
9;1;12.0380001068;11.7299995422;4;23.8212833405;1;9.59000015259;10.1999998093;6;20.7264003754;
10;1;12.1463851929;11.9106416702;4;24.0;1;9.66343975067;10.3632001877;6;20.9903717041;
11;1;12.2000007629;12.0;5;25.2000007629;1;9.72283363342;10.4951858521;6;22.0419120789;
12;1;14.1463851929;12.6000003815;5;26.1576004028;2;9.95943069458;11.3209562302;5;23.9143505096;
13;1;15.1463851929;13.0788002014;6;26.9011039734;2;11.9478340149;11.4571752548;5;24.6514065266;
14;1;16.1463851929;13.4505519867;6;27.4657306671;2;13.9478340149;11.8107032776;4;25.2438547611;
15;1;17.1463851929;13.7328653336;7;27.88712883;2;15.9478340149;12.0916318893;4;25.7143762112;
16;1;18.1463851929;13.943564415;8;28.0;2;16.9684810638;12.3113050461;4;26.0852768421;
17;1;19.1463851929;14.0;8;28.0;2;17.9756240845;12.4808797836;4;26.1558350325;
18;1;20.1463851929;14.0;8;28.0;2;18.9828968048;12.5;4;26.1887089014;
19;1;20.3999996185;14.0;9;28.0;2;19.625;12.8566131592;4;26.2221269608;
20;1;20.3999996185;14.0;9;28.0;2;19.8999786377;12.5;6;26.2560760975;
21;1;20.3999996185;14.0;9;28.0;2;19.625;13.0024299622;6;26.2905418873;
22;1;20.3999996185;14.0;8;28.0;2;19.625;13.0162162781;7;26.3255085945;
23;1;20.3999996185;14.0;8;28.0;2;19.9232387543;12.5;7;26.3609591722;
24;1;20.3999996185;14.0;8;28.0;2;19.625;13.0443840027;7;26.3968753815;
25;1;20.3999996185;14.0;9;28.0;2;19.9392967224;12.5;7;26.4332377911;
26;1;20.3999996185;14.0;10;28.0;3;19.947479248;12.5;6;26.4700255394;
27;1;18.3999996185;15.0;10;28.0;3;19.625;12.5;5;26.5072168112;
28;1;17.3999996185;16.0;10;28.0;3;19.625;13.1028871536;5;26.5447884798;
29;1;16.3999996185;17.0;10;28.0;3;19.625;13.1179151535;5;26.5827163458;
30;1;15.3999996185;18.0;10;28.0;3;17.9811115265;13.5;5;26.6209751368;
31;1;14.3999996185;19.0;10;28.0;3;16.9897193909;14.5;5;26.6595385075;
32;1;13.3999996185;20.0;10;28.0;3;15.9983959198;15.5;5;26.6983793974;
33;1;12.3999996185;21.0;11;28.0;3;15.0071353912;16.5;5;26.7374696732;
34;1;12.0;22.0;11;28.0;3;14.3909301758;17.5;5;26.7767804861;
35;1;12.0;23.0;11;28.0;3;14.3997755051;18.5;6;26.8162822723;
36;1;12.0;24.0;11;28.0;3;14.4086637497;19.5;6;26.8559447527;
37;1;12.0;25.0;12;28.0;3;14.4175872803;20.5;6;26.8957372904;
38;1;12.0;26.0;11;28.0;3;14.4265403748;21.5;6;26.9356285334;
39;1;12.0;27.0;11;28.0;3;14.4355163574;22.5;6;26.9755871296;
40;1;13.0;25.0;12;28.0;3;14.4445075989;23.5;7;27.015581131;
41;1;12.0;26.0;11;28.0;3;14.4535055161;24.5;7;28.0555787086;
42;1;12.0;27.0;11;28.0;3;15.4625053406;26.2000007629;7;28.1355478764;
43;1;13.0;25.0;12;28.0;3;16.0;27.5;8;28.2166404724;
44;1;12.0;26.0;13;28.0;3;16.4804782867;28.2568283081;8;28.2988266945;
45;1;12.0;27.0;13;28.0;3;16.4894371033;29.2864875793;10;28.3820735216;
46;1;13.0;25.0;14;28.0;3;16.2625999451;30.5;11;28.4663454294;
47;1;12.0;26.0;14;28.0;3;17.0;29.9264431;11;28.5516040325;
48;1;12.0;27.0;15;28.0;3;16.2829933167;30.1056995392;12;28.6378085613;
49;1;13.0;25.0;15;28.0;3;16.2935829163;31.1330947876;12;28.7249150276;
50;1;12.0;26.0;15;28.0;3;17.0;30.1074409485;13;28.8128768206;
51;1;12.0;27.0;15;28.0;3;18.0;31.1074409485;13;28.9016438723;
52;1;13.0;25.0;16;28.0;3;19.3268871307;32.1074409485;13;28.9911637306;
53;1;12.0;26.0;16;28.0;3;20.0;33.1074409485;14;29.0813810825;
54;1;12.0;27.0;18;28.0;3;21.0;33.4471206665;15;29.1722373962;
55;1;12.0;28.0;18;28.0;3;21.625;32.5;14;29.2636715174;
56;1;12.0;29.0;17;28.0;4;22.625;32.5;12;30.3556194305;
57;1;12.0;30.0;16;28.0;4;23.625;32.5;12;30.578014493;
58;1;12.0;31.0;13;28.0;4;23.8792495728;32.5;13;30.8162186146;
59;1;12.0;32.0;14;28.0;4;23.9119720459;33.5;13;31.0715910196;
60;1;13.0;30.0;14;28.0;4;24.5653076172;32.5;14;31.3455137014;
61;1;12.0;31.0;16;28.0;4;23.625;34.5;14;31.6393588781;
62;1;12.0;32.0;18;28.0;4;23.625;35.740032196;15;31.9544482231;
63;1;13.0;30.0;16;28.0;5;24.0840568542;34.4903411865;14;32.2920033932;
64;1;12.0;31.0;15;28.0;5;24.1389598846;34.5133628845;10;32.6530861855;
65;1;12.0;32.0;14;28.0;5;24.853597641;32.5133628845;11;33.0385291576;
66;1;13.0;30.0;15;28.0;5;23.625;33.5;11;33.4488620758;
67;2;12.0;31.0;14;28.0;5;24.2935791016;34.5;11;33.8822100163;
68;2;12.0;32.0;15;28.0;5;24.4133872986;33.5;11;34.3123378754;
69;2;13.0;30.0;15;28.0;5;23.625;35.5;11;34.7669415474;
70;2;12.0;31.0;16;28.0;5;24.5843696594;34.5999984741;11;35.244576931;
71;3;12.0;32.0;15;31.0;4;22.6777744293;27.5;11;32.7431635857;
72;3;14.0;31.0;15;31.0;4;22.7759037018;27.5;11;33.2599720955;
73;3;16.0;31.0;15;31.0;4;22.8781604767;27.5;12;33.7916493416;
74;3;17.0;31.0;15;31.0;4;21.625;28.5;12;34.3342790604;
75;3;18.0;31.0;15;32.0;4;22.625;27.5;13;34.8834860325;
76;3;20.0;32.0;18;32.0299999714;4;23.2017097473;27.5;14;35.4345724583;
77;3;22.0;32.0;18;32.0605909824;5;24.3119602203;28.5;13;38.1913778782;
78;4;24.0;33.0;17;33.091766119;5;23.8500003815;31.0;14;39.8117271662;
79;4;26.0;34.0;18;33.1535172462;5;24.0255012512;33.3899993896;15;41.247230649;
80;4;26.3999996185;35.0;20;33.2164260149;5;24.4215126038;35.6872596741;15;42.525755167;
81;4;26.3999996185;35.5779190063;20;33.2804750204;5;25.542175293;34.9097442627;15;43.524856925;
82;4;26.3999996185;35.5943527222;20;33.3456442356;5;26.2999992371;34.9479179382;16;44.3218188286;
83;4;26.3999996185;34.6110610962;21;33.41191113;5;24.6279830933;35.0;17;45.091665864;
84;4;26.3999996185;34.628036499;21;33.4792507887;6;23.2999992371;36.0;16;45.8302386999;
85;4;26.3999996185;34.6452713013;21;33.5476355553;6;23.6789360046;36.0;16;46.5347644091;
