Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;6.0;14.1000003815;4;23.0;1;6.0;14.0;4;20.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;13.0;6;20.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;12.0;6;20.0;
4;1;9.0;11.5;6;23.0;1;8.0;11.0;6;20.0;
5;2;9.60000038147;11.6999998093;5;24.0;1;8.0;10.0;6;20.0;
6;2;10.9000005722;11.5;5;24.1499999762;1;9.0;10.0;6;20.0;
7;2;11.9450006485;11.5;5;24.320775032;1;9.5;10.0;6;20.0;
8;2;12.2962322235;11.5;5;24.9878613949;2;9.5;10.3000001907;5;21.3999996185;
9;2;12.4963588715;11.7299995422;5;25.5855386257;2;9.81500053406;10.1999998093;5;21.8264003992;
10;2;12.6756620407;11.9106416702;5;26.0330526829;2;9.91094017029;10.3632001877;5;22.1992716789;
11;2;12.8099164963;12.0;5;27.6186614037;2;9.99483585358;10.4951858521;4;23.4054436684;
12;2;14.8719835281;12.6000003815;5;29.025680542;2;10.2662248611;11.0209560394;4;24.4501843452;
13;2;16.8719825745;13.0788002014;5;30.289222002;2;12.0683965683;11.4571752548;4;25.3486692905;
14;2;18.8719825745;13.4505519867;5;31.4505600929;2;14.0683965683;11.8107032776;4;26.1225088835;
15;2;20.341835022;13.7328653336;5;32.5499839783;2;15.7228336334;12.6734056473;4;26.7957427502;
16;2;21.5452423096;13.943564415;5;33.4246325493;2;16.7228336334;12.9632444382;4;27.3919057846;
17;2;22.7737751007;14.0;5;34.2695388794;2;18.2696170807;12.4808797836;4;27.7113106251;
18;2;24.0272464752;14.0;5;35.1930708885;2;19.3328781128;12.5;4;28.0173821449;
19;2;22.3999996185;14.0;7;36.1862134933;2;20.3039112091;12.5;4;28.3487696648;
20;2;22.3999996185;14.0;6;37.2351770401;2;20.3784732819;12.5;5;28.7054548264;
21;2;22.3999996185;14.0;6;38.3216791153;2;20.4587268829;12.5;6;29.0869145393;
22;2;22.3999996185;14.0;6;39.4238615036;2;19.625;13.5;6;29.4920539856;
23;2;22.3999996185;14.0;6;40.5178260803;2;20.625;12.5;7;29.9191560745;
24;3;22.3999996185;14.0;5;41.5796098709;2;19.625;13.5;7;30.3658571243;
25;3;22.3999996185;14.0;5;42.587269783;3;20.625;12.5;6;30.8291530609;
26;3;20.3999996185;15.0;5;43.5227117538;3;20.9365596771;12.5;6;31.3054442406;
27;3;20.3999996185;16.0;5;44.3729362488;3;21.0437240601;12.5;6;31.790620327;
28;3;20.3999996185;17.0;5;45.1305217743;3;21.1528892517;12.5;6;32.2801818848;
29;3;20.3999996185;18.0;5;45.7933826447;3;17.625;14.5;6;32.7693967819;
30;3;20.3999996185;19.0;5;46.363948822;3;16.625;16.5;6;33.2534770966;
31;3;20.3999996185;20.0;6;46.8480319977;3;15.625;18.5;6;33.7277650833;
32;3;20.0544090271;21.0;6;47.2536354065;3;14.625;20.5;6;34.187912941;
33;3;19.7760906219;22.0;6;47.5898742676;3;14.0;22.5;6;34.6300430298;
34;3;19.8769626617;23.0;6;47.8661155701;3;14.0;24.5;6;35.0508718491;
35;3;19.9598350525;24.0;6;48.0;3;14.0;26.5;7;35.4477939606;
36;3;20.0;25.0;6;49.0;3;14.0;27.8134555817;7;35.8189210892;
37;3;21.0;26.7000007629;7;49.0299999714;3;14.0;29.0732460022;7;36.1630792618;
38;3;22.0;27.7210006714;7;49.0605909824;3;14.0;30.3141555786;7;36.4797668457;
39;3;23.0;25.7424144745;7;49.091766119;3;15.0;32.2358360291;6;37.7690839767;
40;3;22.0;26.7642364502;9;49.1235172749;3;16.0;32.7383575439;6;38.071641922;
41;3;22.0;27.7864627838;10;49.1558350325;3;16.2339992523;33.9221496582;7;38.3496518135;
42;3;23.0;27.7864627838;10;49.1887089014;3;16.2432670593;35.087928772;10;38.6044542789;
43;4;24.0;28.7864608765;10;49.2221269608;3;16.2527999878;36.2366294861;10;38.8376053572;
44;4;25.0;29.7864608765;12;49.2560760975;3;16.2625999451;37.3693466187;10;39.0507935286;
45;4;26.0;30.7864608765;12;49.2905418873;3;16.2726650238;38.4872665405;12;39.2457659245;
46;4;27.0;31.7864608765;13;49.3255085945;3;17.2829933167;36.5916137695;12;39.3048160076;
47;4;28.0;30.9278564453;14;49.3609591722;3;17.2935829163;35.5916137695;14;39.3530313969;
48;4;29.0;29.952671051;13;49.3968753815;3;16.3044319153;37.5916137695;16;39.4023760557;
49;4;30.0;29.9778137207;14;50.4332377911;3;17.3155345917;36.5916137695;16;39.4528282881;
50;4;31.3999996185;31.0032653809;15;50.5100255013;3;19.3268871307;34.5916137695;17;39.5043625832;
51;4;32.4000015259;32.0290184021;16;50.5884007215;4;21.3384819031;33.5916137695;16;55.5569496155;
52;4;32.4000015259;33.0550537109;16;50.6683419943;4;23.9249992371;33.5916137695;16;56.2505555153;
53;4;32.4000015259;34.0813522339;15;50.7498238087;4;26.2873744965;34.5;17;56.8642493486;
54;4;32.4000015259;35.1079025269;16;50.8328166008;4;27.5499992371;35.5;17;57.4015090466;
55;4;32.4000015259;35.1346817017;17;50.917286396;4;28.9371509552;35.5;17;57.8679831028;
56;5;32.4000015259;35.1616744995;16;51.003195405;4;29.949848175;35.5;17;58.2706342936;
57;5;32.4000015259;34.0;17;51.09050107;4;30.5499992371;35.5;15;58.616999507;
58;5;32.4000015259;35.0;18;51.1791565418;4;31.5499992371;33.5;15;58.9146293402;
59;5;32.4000015259;35.2437438965;18;51.2691105604;4;30.2390117645;33.5;15;59.0107431412;
60;5;32.4000015259;35.271396637;19;51.3603073359;5;29.3250007629;33.9075202942;13;74.0708494186;
61;5;32.4000015259;35.2991638184;20;51.4526869059;5;30.7909393311;33.5;13;74.8815076351;
62;5;32.4000015259;35.3270149231;20;51.546184659;5;31.3250007629;35.5;11;75.6120243073;
63;5;32.4000015259;35.3549423218;20;55.114056468;5;31.8183479309;35.5;12;76.2614951134;
64;5;31.8199996948;38.1032333374;21;57.2532844543;5;31.3250007629;36.5;13;76.8323707581;
65;5;32.6813278198;40.6814804077;20;58.967585206;5;31.3250007629;37.5;13;77.3295893669;
66;5;31.369758606;44.078453064;21;60.3352841139;6;32.3250007629;38.5;13;78.7597045898;
67;6;33.5092849731;42.4446868896;20;61.2608120441;6;33.3250007629;39.5;13;79.2600973845;
68;6;30.6000003815;43.0;20;61.8844428062;6;33.5792503357;40.5;13;79.7237733603;
69;6;30.0130977631;44.0;20;62.2960925102;6;33.6119728088;41.5;13;80.0657606125;
70;6;29.6000003815;46.6356811523;21;62.5910065174;6;33.6484870911;42.5;14;80.3087074757;
71;6;30.0670433044;47.0196609497;21;62.8943184614;6;33.3250007629;43.5;14;80.5712219477;
72;6;29.6000003815;48.9647369385;21;63.2057026625;7;34.3250007629;44.7730979919;13;84.2860505581;
73;6;29.6000003815;47.8642730713;22;63.5247733593;7;35.6640014648;46.4536399841;14;86.8126974106;
74;7;29.6000003815;48.9171600342;21;64.8510836363;7;35.9336891174;49.0460357666;14;89.0468229055;
75;7;29.8000011444;49.0;21;65.1591271162;8;36.1446151733;51.5690841675;13;90.8940116167;
76;7;29.8000011444;52.0;19;65.4758378863;8;34.1592674255;54.8195877075;11;92.4056642056;
77;7;29.2000007629;55.0;18;65.8003442287;8;33.1592674255;57.0958023071;10;93.5577175617;
78;7;29.2000007629;57.1284179688;18;66.131744802;8;32.1592674255;59.3982963562;11;94.7837789059;
79;7;29.2000007629;59.1807632446;19;66.4691123366;9;31.1592674255;61.72706604;10;95.9815578461;
80;7;29.2000007629;60.6815757751;20;66.8114951849;9;30.1592674255;64.0814285278;10;97.2448139191;
81;7;29.2000007629;61.7257766724;21;67.1579217315;9;30.0;66.4599227905;9;98.6200315952;
82;7;29.2000007629;62.7702293396;21;68.5074054599;9;30.0;68.8602142334;11;100.104662418;
83;7;28.2000007629;65.814781189;22;68.8339496851;9;30.0;72.4599227905;12;101.691864014;
84;7;29.2000007629;65.8592987061;23;69.1640562415;10;30.0;75.4599227905;11;103.369840145;
85;7;27.2000007629;68.9036712646;22;69.4964801073;10;30.0;78.4599227905;11;105.121473789;
86;7;26.2000007629;71.947769165;21;69.8300127387;10;30.0;81.4599227905;10;106.92442894;
87;7;27.4742088318;74.8930969238;21;70.1634890437;10;30.0;84.4599227905;10;108.751851082;
88;7;29.444065094;75.0071563721;21;70.4957897663;11;31.0;84.4599227905;9;110.573737144;
89;7;31.6028118134;73.055809021;22;70.8258491158;11;30.0;87.4599227905;9;112.358886719;
90;8;31.6665725708;75.056602478;19;91.1526589394;10;22.0;85.4599151611;11;94.077214241;
91;8;33.4572868347;77.1094894409;19;91.4752748013;11;25.0;83.4599227905;11;96.7020564079;
92;9;33.2000007629;80.6072387695;20;91.7928189635;11;26.0;85.4599227905;11;98.3620985746;
93;9;35.4511528015;79.6610565186;20;92.1044868827;11;28.2587509155;87.4599227905;12;99.9133591652;
94;9;37.7935180664;78.7134857178;21;92.4095462561;11;31.2971744537;86.4599227905;12;101.350323558;
95;9;34.9603881836;81.764503479;22;92.7073426843;11;32.3407974243;88.4599227905;13;102.674033642;
96;10;33.6772689819;85.8140869141;21;92.9972999692;11;31.7651634216;88.4599227905;14;103.890977263;
97;10;35.2000007629;84.8622283936;21;93.2789199948;11;31.8208236694;89.4599227905;14;105.011652231;
98;10;34.4316482544;86.4699401855;22;93.5517827272;11;31.8833217621;90.4599227905;15;106.049048662;
99;10;34.4309844971;88.5115509033;22;94.8155450821;11;31.953168869;91.4599227905;16;107.017266512;
100;10;36.2000007629;86.9978790283;22;95.0699384212;11;32.755821228;92.4599227905;16;107.930351973;
101;10;36.2000007629;91.1277542114;23;95.2803024054;11;32.8416366577;93.4599227905;17;108.621432543;
102;11;36.6644897461;95.0500030518;23;95.4716528058;11;32.9358520508;94.4599227905;18;109.142396927;
103;12;39.2000007629;94.0500030518;22;95.6548245549;11;33.0999984741;92.4599227905;19;109.664678574;
104;12;39.4332084656;96.5832443237;23;95.8104602695;11;33.0999984741;93.4599227905;20;110.193434715;
105;12;38.5;100.050003052;24;95.9108595252;11;32.0999984741;94.4599227905;20;110.754666805;
106;12;40.7316474915;98.5816802979;25;96.0070337653;11;34.0999984741;92.4599227905;21;111.344251633;
107;13;40.8271141052;101.050003052;24;96.0989472866;11;33.5274581909;93.4599227905;23;111.9568367;
108;13;38.7303848267;105.050003052;25;96.1865956187;12;33.6652908325;95.4599227905;23;112.585954666;
109;13;39.5;105.775001526;26;97.793515265;12;34.8068389893;94.4599227905;24;113.224240303;
110;13;39.5270004272;107.560310364;26;99.4347153902;12;33.9504547119;96.4599227905;26;113.863737106;
111;13;39.4598312378;109.110122681;25;101.096384823;12;34.0943412781;98.4599227905;26;114.496276855;
112;13;42.1462478638;106.913291931;26;102.764223576;12;35.2366638184;97.4599151611;27;115.113888741;
113;13;41.6390953064;109.853530884;24;105.424073577;12;34.3756256104;99.4599151611;27;115.70920372;
114;13;42.5433998108;113.894973755;25;108.092551112;12;34.5095710754;101.459915161;28;116.275805473;
115;13;43.9239997864;116.441429138;28;109.91820848;12;36.6370544434;97.4599151611;29;116.808496475;
116;13;43.1020927429;122.734573364;28;111.734637022;12;34.7569122314;99.4599151611;29;117.303449631;
117;13;44.5539474487;125.129844666;29;113.538787484;12;34.8682785034;101.459915161;30;118.178253174;
118;13;44.3316802979;130.277877808;27;115.330241203;12;36.9706077576;97.4599151611;31;119.014279842;
119;14;43.8783874512;130.582550049;28;130.282901645;11;30.1000003815;94.4599151611;31;106.263763905;
120;14;47.0955162048;133.797332764;30;132.429772377;12;32.0999984741;97.4599151611;29;107.680430412;
121;14;49.5173568726;135.003326416;33;134.535974622;12;36.0999984741;94.4599151611;30;108.148995876;
122;14;49.1689186096;137.169708252;34;136.609982014;12;35.0999984741;97.4599151611;30;109.609210968;
123;14;50.6571426392;135.38671875;35;138.660788417;12;37.0999984741;101.459915161;31;110.098255992;
124;14;55.8272438049;139.56338501;36;140.696759582;12;40.5999984741;99.4599151611;31;110.574895382;
125;14;58.9468002319;140.173736572;37;142.724496603;12;38.5999984741;103.459915161;32;111.037163615;
