Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.1000003815;4;23.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.1000003815;6;23.0;1;11.8999996185;8.625;4;17.25;
4;1;9.0;11.5;6;23.0;1;11.8999996185;8.625;3;17.25;
5;1;9.60000038147;11.5;6;23.0;1;12.8999996185;8.625;3;17.25;
6;1;10.6000003815;11.5;6;23.0;1;13.8999996185;8.625;3;17.25;
7;1;11.6000003815;11.5;6;23.0;1;14.8999996185;8.625;3;17.5949993134;
8;1;11.8999996185;11.5;6;23.4599990845;1;15.5569992065;8.79749965668;3;17.8861961365;
9;1;12.0380001068;11.7299995422;6;23.8212833405;1;15.7317180634;8.94309806824;3;18.6667137146;
10;1;12.1463851929;11.9106416702;6;24.0;1;16.2000274658;9.3333568573;3;19.3355960846;
11;1;12.2000007629;12.0;6;25.2000007629;1;17.2000274658;9.6677980423;3;19.8991127014;
12;2;14.1463851929;13.0;5;27.1576004028;1;18.2000274658;9.94955635071;3;20.3669185638;
13;2;16.1463851929;13.4787998199;5;27.9561039209;1;19.2000274658;10.1834592819;3;20.7504444122;
14;2;18.1463851929;13.872551918;5;28.5781753063;1;20.2000274658;10.3752222061;3;21.0616092682;
15;2;19.1463851929;14.1778430939;5;29.0595070124;1;21.2000274658;10.5308046341;4;21.25;
16;2;20.1463851929;14.4125156403;6;29.2348380089;1;22.2000274658;10.625;4;21.25;
17;2;21.1463851929;14.493935585;6;29.2998542786;1;23.2000274658;10.625;4;21.25;
18;2;22.1463851929;14.51994133;6;29.3674485683;1;24.2000274658;10.625;4;21.25;
19;2;22.3999996185;14.6837244034;6;29.4376335144;1;24.75;10.625;4;21.25;
20;2;22.3999996185;14.7188167572;6;29.5104117393;1;24.75;10.625;4;21.25;
21;2;22.3999996185;14.7552061081;6;29.5857750177;1;24.75;10.625;5;21.25;
22;2;22.3999996185;14.7928876877;6;29.6637035608;1;24.75;10.625;5;21.25;
23;2;22.3999996185;14.8318519592;6;29.7441651821;1;24.75;10.625;6;21.25;
24;2;22.3999996185;14.8720827103;8;29.8271148205;1;24.75;10.625;6;21.25;
25;2;22.3999996185;14.9135570526;8;29.912493825;1;24.75;10.625;6;21.25;
26;2;22.3999996185;14.9562473297;8;30.0002295971;1;24.75;10.625;6;21.25;
27;2;22.3999996185;15.4001607895;8;30.0902352333;1;24.75;10.625;6;21.25;
28;2;22.3999996185;15.4631643295;10;30.1824097633;1;24.75;10.625;6;21.25;
29;2;22.3999996185;15.5276870728;10;30.2766373158;1;24.75;10.625;6;21.25;
30;2;21.0829906464;15.0;10;30.3727879524;1;24.75;10.625;6;21.25;
31;2;20.1118354797;16.0;10;30.470717907;1;24.75;10.625;6;21.25;
32;2;19.1412143707;17.0;11;30.5702700615;1;24.75;10.625;6;21.25;
