Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.1000003815;4;23.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;11.5;6;23.0;1;11.8999996185;8.625;6;17.25;
5;1;9.60000038147;11.5;6;23.0;1;12.8999996185;8.625;5;17.25;
6;1;10.6000003815;11.5;6;23.0;1;13.8999996185;8.625;5;17.25;
7;1;11.6000003815;11.5;6;23.0;1;14.8999996185;8.625;5;17.5949993134;
8;1;11.8999996185;11.5;6;23.4599990845;1;15.5569992065;8.79749965668;5;17.8861961365;
9;1;12.0380001068;11.7299995422;5;23.8212833405;1;15.7317180634;8.94309806824;5;18.6667137146;
10;1;12.1463851929;11.9106416702;5;24.0;2;16.8000278473;9.3333568573;4;20.3355960846;
11;1;12.2000007629;12.0;5;25.2000007629;2;18.8000278473;9.6677980423;3;20.9491126537;
12;1;14.1463851929;12.6000003815;5;26.1576004028;2;20.8000278473;9.94955635071;3;21.468893528;
13;1;15.1463851929;13.0788002014;5;26.9011039734;2;21.8612117767;10.1834592819;3;21.9063943624;
14;1;16.1463851929;13.4505519867;5;27.4657306671;2;22.1438369751;10.3752222061;3;22.2735539675;
15;1;17.1463851929;13.7328653336;5;27.88712883;2;22.3641338348;10.5308046341;3;22.519973278;
16;1;18.1463851929;13.943564415;6;28.0;2;22.5119838715;10.625;3;22.5800433159;
17;1;19.1463851929;14.0;6;28.0;2;22.5480270386;10.625;3;22.6421557665;
18;1;20.1463851929;14.0;6;28.0;2;22.5852928162;10.625;3;22.7063041925;
19;1;20.3999996185;14.0;6;28.0;2;22.6237831116;10.625;3;22.7724741697;
20;1;20.3999996185;14.0;6;28.0;2;22.6634845734;10.625;3;22.8406432867;
21;1;20.3999996185;14.0;6;28.0;2;24.7043857574;10.625;4;22.9107804298;
22;1;20.3999996185;14.0;7;28.0;2;25.7464675903;10.625;4;22.9828453064;
23;1;20.3999996185;14.0;7;28.0;2;26.7897071838;10.625;5;23.0567884445;
24;1;20.3999996185;14.0;7;28.0;2;27.834072113;10.625;5;23.1325509548;
25;1;20.3999996185;14.0;7;28.0;2;27.879529953;10.625;5;23.2100640535;
26;1;20.3999996185;14.0;6;28.0;2;27.9260387421;10.625;5;23.2892494202;
27;1;20.3999996185;14.0;6;28.0;2;27.9735488892;10.625;5;23.370018959;
28;1;20.3999996185;14.0;6;28.0;2;28.0220108032;10.625;5;23.4522752762;
29;1;20.3999996185;14.0;6;28.0;2;28.0713653564;10.625;5;23.5359115601;
30;1;20.3999996185;14.0;7;28.0;2;28.121547699;10.625;5;23.6208124161;
31;1;20.3999996185;14.0;7;28.0;2;28.1724872589;10.625;5;23.7068536282;
32;1;20.3999996185;14.0;7;28.0;2;28.224111557;10.625;5;23.7939035892;
