Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.1000003815;4;23.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;11.5;6;23.0;1;11.8999996185;8.625;5;17.25;
5;1;9.60000038147;11.5;6;23.0;1;12.8999996185;8.625;5;17.25;
6;1;10.6000003815;11.5;6;23.0;1;13.8999996185;8.625;5;17.25;
7;1;11.6000003815;11.5;5;23.0;1;14.8999996185;8.625;4;17.5949993134;
8;1;11.8999996185;11.5;5;23.4599990845;1;15.5569992065;8.79749965668;4;17.8861961365;
9;1;12.0380001068;11.7299995422;4;23.8212833405;1;15.7317180634;8.94309806824;4;18.6667137146;
10;1;12.1463851929;11.9106416702;4;24.0;2;16.8000278473;9.3333568573;3;20.3355960846;
11;2;12.2000007629;12.1999998093;3;26.2000007629;2;18.8000278473;9.6677980423;3;20.9491126537;
12;2;14.4463853836;12.6000003815;3;27.1876003742;2;20.8000278473;9.94955635071;3;21.468893528;
13;2;16.4463844299;13.0788002014;2;27.9616949558;2;21.2000274658;10.1834592819;3;21.9063943624;
14;2;18.4463844299;13.4505519867;2;28.5574967861;2;22.8935966492;10.3752222061;3;22.2735539675;
15;2;19.4739151001;13.7328653336;2;29.0106461048;2;23.9271945953;10.5308046341;4;22.519973278;
16;2;20.4834403992;13.943564415;2;29.1558350325;2;24.9620113373;10.625;4;22.5800433159;
17;2;21.4931354523;14.0;3;29.1887089014;2;25.9980545044;10.625;4;22.6421557665;
18;2;22.5029983521;14.0;3;29.2221269608;2;27.035320282;10.625;4;22.7063041925;
19;2;22.7666378021;14.0;3;29.2560760975;2;27.6237831116;10.625;4;22.7724741697;
20;3;22.7768230438;14.0;1;29.2905418873;2;27.6634845734;10.625;4;22.8406432867;
21;3;22.7871627808;14.0;2;29.3255085945;2;27.7043857574;10.625;4;22.9107804298;
22;4;22.7976531982;14.0;2;29.3609591722;2;27.7464675903;10.625;4;22.9828453064;
23;4;22.8082866669;14.0;1;29.3968753815;2;27.7897071838;10.625;4;23.0567884445;
24;4;22.8190612793;14.0;1;29.4332377911;2;27.834072113;10.625;5;23.1325509548;
25;4;22.3999996185;14.4299716949;2;29.4700255394;3;27.879529953;10.625;4;23.2100640535;
26;4;22.3999996185;14.7350130081;2;29.5072168112;3;27.9260387421;10.625;4;23.2892494202;
27;4;20.8521652222;15.0;2;29.5447884798;3;27.9735488892;10.625;4;23.370018959;
28;4;19.8634357452;16.0;2;29.5827163458;3;28.0220108032;10.625;4;23.4522752762;
29;4;18.8748149872;17.0;2;29.6209751368;3;28.0713653564;10.625;4;23.5359115601;
30;4;17.8862915039;18.0;2;29.6595385075;3;26.75;11.625;4;23.6208124161;
31;4;16.8978614807;19.0;2;30.6983793974;3;26.75;11.8104057312;4;23.7068536282;
