Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;6.0;14.1000003815;4;23.0;1;11.8999996185;8.625;4;17.25;
2;1;7.0;13.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
3;1;8.0;12.1000003815;6;23.0;1;11.8999996185;8.625;5;17.25;
4;1;9.0;11.5;6;23.0;1;11.8999996185;8.625;5;17.25;
5;2;9.60000038147;11.8999996185;5;24.0;1;12.8999996185;8.625;5;17.25;
6;2;10.9000005722;11.5;5;24.0275000334;1;13.8999996185;8.625;5;17.25;
7;2;11.9082508087;11.5;5;24.0554736853;1;14.8999996185;8.625;5;17.5949993134;
8;2;12.2166414261;11.5;5;24.5544675589;1;15.5569992065;8.79749965668;5;17.8861961365;
9;2;12.3663406372;11.7299995422;5;24.955760479;1;15.7317180634;8.94309806824;5;18.6667137146;
10;2;12.4867286682;11.9106416702;5;25.1754944324;1;16.2000274658;9.3333568573;5;19.3355960846;
11;2;12.552649498;12.0;5;26.4292682409;1;17.2000274658;9.6677980423;5;19.8991127014;
12;2;14.515165329;12.6000003815;5;27.4424397945;1;18.2000274658;9.94955635071;5;20.3669185638;
13;2;16.515165329;13.0788002014;5;28.2433135509;1;19.2000274658;10.1834592819;5;20.7504444122;
14;2;18.515165329;13.4505519867;5;28.8671020269;1;20.2000274658;10.3752222061;5;21.0616092682;
15;2;19.5667972565;13.7328653336;5;29.3494405746;1;21.2000274658;10.5308046341;6;21.25;
16;2;20.5850791931;13.943564415;5;29.5250110626;1;22.2000274658;10.625;6;21.25;
17;2;21.6038894653;14.0;6;29.5894426107;1;23.2000274658;10.625;6;21.25;
18;2;22.6232185364;14.0;6;29.6555722952;1;24.2000274658;10.625;6;21.25;
19;2;22.8966712952;14.0;6;29.7233585119;1;24.75;10.625;6;21.25;
20;2;22.9170074463;14.0;6;29.7927520275;1;24.75;10.625;6;21.25;
21;2;22.9378242493;14.0;6;29.8636956215;1;24.75;10.625;7;21.25;
22;2;22.9591083527;14.0;7;29.9361245632;1;24.75;10.625;7;21.25;
23;2;22.9808368683;14.0;7;30.0099658966;1;24.75;10.625;7;21.25;
24;2;23.0029888153;14.0;7;30.0851392746;1;24.75;10.625;7;21.25;
25;2;22.3999996185;15.0;7;30.1615567207;1;24.75;10.625;7;21.25;
26;2;22.3999996185;15.5130901337;7;30.2391228676;1;24.75;10.625;7;21.25;
27;2;22.3999996185;15.5673856735;7;30.317735672;1;24.75;10.625;7;21.25;
28;2;22.3999996185;15.6224155426;7;30.3972864151;1;24.75;10.625;7;21.25;
29;2;22.3999996185;15.6781005859;7;30.477660656;1;24.75;10.625;7;21.25;
30;2;22.3999996185;15.7343626022;7;30.5587382317;1;24.75;10.625;7;21.25;
31;2;22.3999996185;15.7911167145;8;30.6403942108;1;24.75;10.625;7;21.25;
32;2;21.192117691;15.0;9;30.7225000858;1;24.75;10.625;7;21.25;
