Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.1000003815;6;23.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;12.1000003815;6;23.0;1;8.0;10.6999998093;5;21.0;
4;1;9.0;11.5;6;23.0;1;8.14999961853;10.5;5;21.0;
5;1;9.60000038147;11.5;6;23.0;1;8.14999961853;10.5;5;21.0;
6;1;10.6000003815;11.5;6;23.0;1;9.14999961853;10.5;5;21.0;
7;1;11.6000003815;11.5;6;23.0;1;9.72500038147;10.5;5;21.0;
8;1;11.8999996185;11.5;6;23.4599990845;1;9.72500038147;10.5;5;21.4200000763;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;9.81949996948;10.9099998474;4;22.758436203;
10;1;12.1463851929;11.9106416702;6;24.0;2;10.1206493378;10.8792181015;4;23.1000000238;
11;1;12.2000007629;12.0;6;25.2000007629;2;10.1975002289;11.0;4;24.8149009943;
12;1;14.1463851929;12.6000003815;6;26.1576004028;2;10.5833530426;11.7700004578;5;26.3006643057;
13;1;15.1463851929;13.0788002014;6;26.9011039734;2;12.2819604874;12.4126424789;5;27.5660959482;
14;1;16.1463851929;13.4505519867;6;27.4657306671;2;14.2819604874;12.9308347702;4;28.6384222507;
15;1;17.1463851929;13.7328653336;6;27.88712883;2;16.2819595337;13.3366470337;4;29.5544860363;
16;1;18.1463851929;13.943564415;7;28.0;2;17.4586315155;13.6469516754;4;30.3533427715;
17;1;19.1463851929;14.0;7;28.0;2;18.5335998535;13.879781723;4;30.9674448967;
18;1;20.1463851929;14.0;7;28.0;2;19.6176757812;14.0;4;31.3838531971;
19;1;20.3999996185;14.0;7;28.0;2;20.7113685608;14.0;4;31.8446035385;
20;1;20.3999996185;14.0;7;28.0;2;21.1650352478;14.0;4;32.350376606;
21;1;20.3999996185;14.0;7;28.0;2;21.2788333893;14.0;4;32.9006829262;
22;1;20.3999996185;14.0;6;28.0;2;21.4026527405;14.0;4;33.4936323166;
23;1;20.3999996185;14.0;6;28.0;2;21.5360660553;14.0;5;34.1257500648;
24;1;20.3999996185;14.0;6;28.0;2;21.6782932281;14.0;5;34.7918796539;
25;1;20.3999996185;14.0;6;28.0;2;21.8281726837;14.0;5;35.4852027893;
26;1;20.3999996185;14.0;6;28.0;2;21.9841690063;14.0;5;36.1974048615;
27;1;20.3999996185;14.0;7;28.0;2;22.1444149017;14.0;5;36.9189891815;
28;1;20.3999996185;14.0;7;28.0;2;22.3067722321;14.0;5;37.6397333145;
29;1;20.3999996185;14.0;7;28.0;2;22.4689388275;14.0;5;38.3492431641;
30;1;20.3999996185;14.0;7;28.0;2;20.628578186;15.0;6;39.0375461578;
31;1;20.3999996185;14.0;7;28.0;2;19.7834472656;16.0;6;39.6956548691;
32;1;20.3999996185;14.0;7;28.0;2;18.9315223694;17.0;6;40.3160324097;
33;1;20.3999996185;14.0;7;28.0;3;19.071105957;18.5;5;41.8929109573;
34;1;20.3999996185;14.0;7;28.0;3;19.2009048462;19.0;5;42.5824338198;
35;1;20.3999996185;14.0;7;28.0;3;19.281047821;20.0;5;43.2463737726;
36;1;20.3999996185;14.0;7;28.0;3;19.4304351807;21.0;5;43.8873701096;
37;1;20.3999996185;14.0;8;28.0;4;19.5746574402;22.0;4;44.5096508265;
38;1;20.3999996185;14.0;8;28.0;4;19.3109817505;23.0;4;45.118647337;
39;1;20.3999996185;14.0;8;28.0;4;19.8516960144;24.0;4;45.7205688953;
40;1;20.3999996185;14.0;8;28.0;4;19.9871292114;25.0;5;46.3219640255;
41;1;20.3999996185;14.0;8;28.0;4;20.1224422455;26.0;5;46.9292941093;
42;1;20.3999996185;14.0;8;28.0;4;20.2590904236;27.0;6;47.544028759;
43;1;20.3999996185;14.0;8;28.0;4;21.3974075317;25.0;6;48.0209121704;
44;1;20.3999996185;14.0;9;28.0;4;20.5047054291;26.0;6;48.5427899361;
45;1;20.3999996185;15.0;9;28.0;4;21.622127533;26.0;7;49.1086950302;
46;1;20.3999996185;16.0;9;28.0;4;22.7494564056;27.0;7;49.7161855698;
47;1;20.3999996185;17.0;10;28.0;6;24.8861427307;29.0;5;51.3611893654;
48;1;20.3999996185;18.0;10;28.0;6;25.0312690735;31.0;5;52.1979442835;
49;1;20.3999996185;19.0;10;28.0;6;27.1835365295;33.0;5;53.0828119516;
50;1;20.3999996185;19.0;10;28.0;6;29.3412895203;33.0;6;54.0099020004;
51;1;20.3999996185;19.0;10;28.0;6;29.8025493622;34.0;6;54.9724308252;
52;1;20.3999996185;19.0;10;28.0;6;29.9651069641;34.8970870972;6;55.9631488323;
53;1;20.3999996185;19.0;10;28.0;6;30.1266365051;35.033493042;6;56.9748203754;
54;1;20.3999996185;19.0;11;28.0;6;30.8193359375;34.0;6;58.0006797314;
55;1;20.3999996185;19.0;11;28.0;6;30.4374599457;35.0;8;59.0348010063;
56;1;20.3999996185;19.0;11;28.0;6;30.5826644897;35.5559234619;9;60.0723137856;
57;1;20.3999996185;19.0;11;28.0;6;30.7188644409;35.7720146179;9;62.1094264984;
58;1;20.3999996185;19.0;11;28.0;6;32.749622345;35.0;10;63.1632595062;
59;1;20.3999996185;19.0;11;28.0;6;33.9822349548;36.0;10;64.2117123604;
60;1;20.3999996185;19.0;11;28.0;6;34.4476356506;37.0;11;66.2526394129;
61;1;20.3999996185;19.0;11;28.0;6;35.681842804;39.0;11;67.4436020851;
62;1;20.3999996185;19.0;13;28.0;6;36.91381073;41.0;12;68.6452306509;
63;3;21.3999996185;20.0;11;29.0;6;37.1428337097;42.0;12;69.8563741446;
64;3;22.3999996185;21.0;11;29.0850000381;6;37.3680076599;43.0;12;71.075021863;
65;3;22.7255001068;22.0;11;29.1763027906;6;37.5881881714;44.0;12;72.2983593941;
66;3;22.7528915405;23.0;12;29.2742146254;6;37.5399055481;45.5825614929;13;75.3856420517;
67;3;22.3999996185;24.0;12;29.3790287971;6;38.6948051453;45.0132522583;13;78.1741708517;
68;3;22.813709259;24.0;12;29.4910193682;6;39.3173866272;45.3354797363;13;80.7088450193;
69;3;22.3999996185;24.0;13;29.6104347706;6;39.8828163147;45.5727348328;13;82.7910130024;
70;3;22.3999996185;24.0;14;29.7374911308;6;40.3464050293;45.6257171631;14;84.7067226171;
71;3;22.3999996185;24.0;14;29.8723640442;6;39.7904052734;46.6366577148;14;86.5237779617;
72;3;22.3999996185;24.0;14;30.0151810646;6;38.3420066833;48.0;14;87.9465581179;
73;3;22.3999996185;24.0;15;31.6214308739;6;37.2081451416;50.5107307434;14;89.3353174925;
74;3;23.4864292145;24.7000007629;15;32.9026079178;6;37.2081451416;46.8520393372;15;90.7062906027;
75;3;23.1375198364;26.2291984558;15;34.916413784;6;36.2081451416;48.8520393372;15;92.0521092415;
76;3;24.369758606;27.9582061768;15;35.8051820993;6;36.8499984741;50.8520393372;15;93.3646332026;
77;3;26.417552948;27.8922767639;15;36.3799165487;6;34.8499984741;53.8520393372;16;94.6347702742;
78;3;26.5643157959;29.0;17;36.7616691589;6;33.8499984741;56.8520393372;16;95.8526780605;
79;3;25.6000003815;31.0;17;37.1654917002;6;32.8499984741;59.8520393372;17;97.0083130598;
80;4;25.6000003815;33.0;16;38.5906541348;6;30.7999992371;63.8520393372;17;98.0460754633;
81;4;24.6000003815;37.0;17;39.0110721588;6;28.7999992371;65.8520355225;17;98.8780636787;
82;5;23.6000003815;40.4108848572;16;39.4527993798;6;28.75;68.8520355225;18;99.6541211605;
83;5;22.6000003815;41.4080657959;17;39.9137851;6;28.75;71.8520355225;18;100.366322398;
84;5;21.6000003815;44.5870819092;17;40.3916729093;6;28.75;74.8520355225;19;101.010111928;
85;5;21.6000003815;44.3307151794;18;40.883836925;6;28.75;77.8520355225;19;101.584114194;
86;5;21.6000003815;43.4538612366;19;41.3874322176;6;28.75;80.8520355225;19;102.08968091;
87;5;22.6000003815;43.583152771;20;41.899459064;6;30.75;77.8520355225;19;102.530283093;
88;5;23.6000003815;43.7185287476;21;42.4168359637;6;28.75;80.8520355225;20;102.910860419;
