Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.1000003815;4;23.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.1000003815;4;23.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;12.1000003815;4;23.0;1;8.0;10.6999998093;5;21.0;
4;1;9.0;11.5;4;23.0;1;8.14999961853;10.5;5;21.0;
5;1;9.60000038147;11.5;4;23.0;2;8.14999961853;10.6999998093;4;22.0;
6;1;10.6000003815;11.5;4;23.0;2;9.375;10.5;3;22.0900000334;
7;1;11.6000003815;11.5;4;23.0;2;9.9702501297;10.5;3;22.1871190071;
8;1;11.8999996185;11.5;4;23.4599990845;2;9.99210166931;10.5;3;22.7236096859;
9;2;12.0380001068;11.9299993515;3;24.8212833405;2;10.1128120422;10.7100000381;3;23.1884489059;
10;2;12.4463853836;11.9106416702;3;25.0;2;10.2174015045;10.8792181015;2;23.5668647289;
11;2;12.5000009537;12.0;3;26.2400007248;2;10.3025445938;11.0;2;25.3486820459;
12;2;14.4583854675;12.6000003815;3;27.2387843132;2;10.703453064;11.7700004578;3;26.9087285995;
13;2;16.4583854675;13.0788002014;3;28.0246574879;2;12.4187746048;12.4126424789;3;28.2558913231;
14;2;18.4583854675;13.4505519867;4;28.63283813;2;14.4187746048;12.9308347702;3;29.4172105789;
15;3;19.4965171814;13.7328653336;4;29.098970294;2;16.4187736511;13.3366470337;3;30.428994894;
16;3;20.1463851929;13.943564415;5;29.2577478886;2;17.6553955078;13.6469516754;3;31.3293325901;
17;3;21.5237102509;14.0;5;29.3048160076;2;18.7531986237;13.879781723;3;32.049197197;
18;3;22.5378303528;14.0;5;29.3530313969;2;19.8610706329;14.0;3;32.573600769;
19;3;22.8059082031;14.0;5;29.4023760557;2;20.9790611267;14.0;3;33.1419348717;
20;3;22.8207130432;14.0;6;29.4528282881;2;21.4569339752;14.0;3;33.7516689301;
21;4;22.8358478546;14.0;5;29.5043625832;2;21.5941238403;14.0;3;34.3986358643;
