Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;14.1000003815;4;23.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;13.1000003815;6;23.0;1;11.3999996185;16.0;6;32.0;
3;1;8.0;12.1000003815;6;23.0;1;11.3999996185;16.0;6;32.0;
4;1;9.0;11.5;6;23.0;1;11.3999996185;16.0;6;32.0;
5;1;9.60000038147;11.5;6;23.0;1;12.3999996185;16.0;6;32.0;
6;1;10.6000003815;11.5;6;23.0;1;13.3999996185;16.0;6;31.7439994812;
7;1;11.6000003815;11.5;6;23.0;2;14.6999998093;15.8719997406;5;32.6056003571;
8;1;11.8999996185;11.5;6;23.4599990845;2;14.7816801071;15.8028001785;5;32.4994409084;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;14.7498321533;15.7405204773;5;33.6524373293;
10;1;12.1463851929;11.9106416702;6;24.0;2;16.7969799042;16.3007202148;5;34.4807407856;
11;1;12.2000007629;12.0;6;25.2000007629;2;18.7969779968;16.698223114;5;35.063621521;
12;1;14.1463851929;12.6000003815;6;26.1576004028;2;20.7969779968;16.9726676941;5;35.1929641962;
13;1;15.1463851929;13.0788002014;6;26.9011039734;2;21.8275680542;17.0200004578;6;35.2283167839;
14;1;16.1463851929;13.4505519867;6;27.4657306671;2;22.8381748199;17.0200004578;6;35.2643332481;
15;2;18.1463851929;13.9328651428;5;28.88712883;2;23.84897995;17.0200004578;6;35.3010003567;
16;2;20.1463851929;13.943564415;5;29.0299999714;2;24.5902996063;17.0200004578;6;35.3383032084;
17;2;21.4553852081;14.0;6;29.0605909824;2;24.6014900208;17.0200004578;6;35.3762252331;
18;2;22.4645614624;14.0;6;29.091766119;2;24.6128673553;17.0200004578;7;35.414748311;
19;2;22.7275295258;14.0;6;29.1235172749;2;24.6244239807;17.0200004578;7;35.4538522959;
20;2;22.7370548248;14.0;6;29.1558350325;3;24.6361560822;17.0200004578;6;35.4935157299;
21;2;22.7467498779;14.0;7;29.1887089014;3;24.2119998932;17.0200004578;6;35.5337153673;
22;3;22.7566127777;14.0;6;29.2221269608;3;24.6601142883;17.0200004578;7;35.5744262934;
23;3;22.7666378021;14.0;6;29.2560760975;3;24.6723270416;17.0200004578;7;35.6156221628;
24;3;22.7768230438;14.0;6;29.2905418873;3;24.2119998932;17.8078117371;7;35.6572749615;
25;3;22.3999996185;14.3871622086;6;29.3255085945;3;24.6971817017;17.0200004578;7;35.6993552446;
26;4;22.3999996185;14.397652626;5;29.3609591722;3;24.7098064423;17.0200004578;6;35.7418321371;
27;4;20.3999996185;15.0;5;29.3968753815;3;24.2119998932;17.8709163666;6;35.7846734524;
28;4;19.8190612793;16.0;4;29.4332377911;3;24.2119998932;17.8923358917;6;36.8278458118;
29;4;18.8299713135;17.0;4;29.4700255394;3;25.7483539581;17.5200004578;6;36.9035066366;
30;4;17.8410072327;18.0;4;29.5072168112;3;26.7613945007;17.5360965729;6;36.9801323414;
31;4;16.8521652222;19.0;3;29.5447884798;3;26.5315265656;17.9575214386;6;37.0576802492;
32;4;15.8634357452;20.0;3;29.5827163458;3;27.1173038483;17.0200004578;6;37.1361056566;
33;4;14.8748149872;21.0;4;29.6209751368;3;27.1408309937;17.0200004578;7;37.2153612375;
34;4;14.4862928391;22.0;4;29.6595385075;3;26.2119998932;18.6039657593;7;37.2953977585;
35;4;14.4978618622;23.0;4;29.6983793974;3;26.5730705261;18.0459136963;7;37.3761637211;
36;4;14.509513855;24.0;4;29.7374696732;3;27.2128486633;21.0459136963;7;37.4576057196;
37;4;14.521241188;25.0;5;29.7767804861;3;27.2372817993;24.0459136963;7;37.5396687984;
38;4;14.5330343246;26.0;5;29.8162822723;3;27.2618999481;27.0459136963;7;37.6222957373;
39;4;14.5448846817;27.0;6;30.8559447527;3;27.286687851;30.0200004578;7;37.7054283619;
40;4;16.5567836761;25.5;6;31.0482373238;3;27.3116283417;32.0200004578;7;37.7890068293;
41;4;16.5687217712;26.0;5;31.2621272802;3;27.3367004395;32.0200004578;6;37.8729698658;
42;4;17.9786376953;27.7000007629;4;32.5000458956;3;27.3618907928;32.0200004578;8;37.9572553635;
43;4;19.0;25.7000007629;4;32.7945246696;3;27.3871765137;32.0200004578;9;37.8025232553;
44;4;18.604675293;26.8744716644;4;33.1187286377;3;27.34075737;31.901599884;9;37.6715775728;
45;4;18.6007671356;28.0;5;33.475186348;3;26.0770244598;33.5891685486;10;37.5619871616;
46;4;20.3150253296;29.0;4;33.8662817478;3;26.7803630829;32.5128593445;10;37.4715572596;
47;4;21.4228286743;31.0;5;34.2941230536;4;27.4677810669;33.6128234863;9;38.398307085;
48;4;22.5414867401;33.0;6;34.7603851557;4;27.9210853577;35.6991539001;10;38.4909055233;
49;4;22.6644897461;35.0;7;35.2661314011;4;29.2021331787;34.4652252197;11;38.6181856394;
50;4;24.0;37.0;8;35.8116233349;4;29.1889095306;35.402305603;11;38.7810440063;
51;4;24.6881561279;36.0;7;36.3961303234;5;28.631067276;37.2595291138;10;38.9806063175;
52;4;26.6998977661;34.0;7;37.017758131;5;27.7768230438;37.2289199829;12;39.2181651592;
53;4;28.307674408;34.0;7;37.6733225584;5;27.7493019104;38.2034835815;12;39.495080471;
54;4;27.1231498718;35.0;7;38.3582866192;5;29.1692047119;36.2075500488;12;39.8126773834;
55;4;27.1346435547;36.0;7;39.0667922497;5;29.1708641052;36.1703948975;12;40.1721158028;
56;4;27.1460399628;37.0;9;39.7917969227;5;28.2919025421;37.1369552612;11;40.5742285252;
57;4;27.1573295593;37.8986701965;8;40.5253208876;5;29.1801376343;36.1068611145;11;42.0193521976;
58;4;27.3999996185;36.8986701965;7;41.2587953806;5;29.2822551727;38.0797729492;13;42.5682456493;
59;4;26.3999996185;34.0;7;41.9834867716;5;30.5491580963;39.0553970337;13;44.3497186899;
60;4;27.1904830933;35.0;10;42.690947175;5;31.5448932648;39.5578041077;13;45.8806122541;
61;5;27.2012729645;36.0;9;43.3734526634;5;31.8037071228;40.9095573425;14;47.1764881611;
62;5;26.3999996185;37.0;10;44.0243717432;5;30.9859619141;43.1200027466;16;48.094086647;
63;5;26.3999996185;39.0;9;44.6384351254;5;32.0088310242;43.0559768677;16;49.0473916531;
64;5;26.3999996185;40.3879623413;10;45.2118779421;5;32.0735702515;43.1100158691;17;50.0277010202;
65;5;26.3999996185;41.4049530029;8;45.7424590588;6;29.0550498962;45.1664085388;16;51.0248042345;
66;5;27.3999996185;39.421672821;8;46.2293645144;6;27.2719993591;46.2251739502;18;52.0274487734;
67;5;27.2628688812;39.0;8;47.6730316877;6;27.1016731262;47.2863121033;19;53.0239394903;
