Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;14.1000003815;4;23.0;2;11.5999994278;16.0;3;33.0;
2;1;7.0;13.1000003815;6;23.0;2;11.5999994278;16.0;3;32.9647995234;
3;1;8.0;12.1000003815;6;23.0;2;11.592959404;15.8719997406;3;33.0012565851;
4;1;9.0;11.5;6;23.0;2;11.6002511978;15.7567996979;3;32.7053456306;
5;1;9.60000038147;11.5;6;23.0;2;12.8330440521;15.4687995911;3;32.5148174763;
6;1;10.6000003815;11.5;6;23.0;2;13.9314060211;15.2095994949;3;32.4300701618;
7;1;11.6000003815;11.5;6;23.0;2;14.7290210724;14.976319313;3;32.5525028706;
8;1;11.8999996185;11.5;6;23.4599990845;2;14.765750885;14.8066072464;3;32.7814054489;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;14.8344221115;14.6538667679;3;33.9369897842;
10;2;12.1463851929;12.1106414795;5;25.0;2;17.1435070038;14.8692588806;3;34.8216743469;
11;2;12.5000009537;12.0;5;26.2350007296;2;19.1435050964;14.8887996674;3;35.7949347496;
12;2;14.4568853378;12.6000003815;5;27.2284631729;2;21.1435050964;14.8887996674;3;36.8974227905;
13;2;16.4568843842;13.0788002014;5;28.0086880922;2;23.0199127197;14.8887996674;4;38.1234121323;
14;2;18.4568862915;13.4505519867;5;28.6108886003;2;24.3877086639;14.8887996674;4;39.4581899643;
15;2;19.4899330139;13.7328653336;5;29.0707050562;2;25.7881412506;14.8887996674;5;40.8772296906;
16;2;20.5014572144;13.943564415;5;29.2228286266;2;26.2631702423;14.8887996674;5;42.3467731476;
17;2;21.5132331848;14.0;6;29.2629028559;2;26.7040328979;14.8887996674;5;43.8261680603;
18;2;22.5252571106;14.0;6;29.3037842512;2;27.147851944;14.8887996674;5;45.2718544006;
19;2;22.7911338806;14.0;6;29.3454560041;2;27.5815582275;14.8887996674;6;46.6423130035;
20;2;22.8036365509;14.0;7;29.3878990412;2;27.9926948547;14.8887996674;6;47.9028644562;
21;2;22.8163700104;14.0;7;29.4310919046;2;28.3708610535;14.8887996674;6;49.0291557312;
22;2;22.8293266296;14.0;7;29.4750107527;2;28.7087478638;14.8887996674;6;50.008605957;
23;2;22.3999996185;14.4425029755;7;29.5196297169;2;29.00258255;14.8887996674;6;50.8397350311;
24;2;22.8558883667;14.0;7;29.5649203062;2;29.2519226074;14.8887996674;6;51.5299549103;
25;2;22.3999996185;14.4694757462;7;29.6108520031;2;27.2519226074;15.8887996674;6;52.0926551819;
26;2;20.8832550049;15.0;7;29.6573919058;2;26.2519226074;16.8887996674;7;52.5443439484;
27;2;19.8972167969;16.0;7;29.7045050859;2;25.2519226074;17.8887996674;8;52.9023399353;
28;2;18.9113502502;17.0;7;29.7521544695;2;24.2519226074;18.8887996674;9;53.1167984009;
29;2;17.9256458282;18.0;7;29.8003009558;2;25.2519226074;16.8887996674;9;53.1167984009;
30;2;16.9400901794;19.0;7;29.848903656;2;26.2519226074;15.8887996674;9;53.1167984009;
31;2;15.9546709061;20.0;7;29.8979198933;3;27.2519226074;14.8887996674;8;53.1167984009;
32;2;14.9693756104;21.0;8;29.9473053217;3;28.2519226074;14.8887996674;8;53.1167984009;
33;2;14.5841913223;22.0;8;29.9970140457;3;29.2519226074;14.8887996674;8;53.1167984009;
34;2;14.5991039276;23.0;8;30.0469989777;3;29.9350414276;14.8887996674;8;53.1167984009;
35;2;14.6140995026;24.0;8;30.0972118378;3;29.9350414276;16.8887996674;9;53.1167984009;
