Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;14.1000003815;4;23.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;13.1000003815;6;23.0;1;11.3999996185;16.0;6;32.0;
3;1;8.0;12.1000003815;6;23.0;1;11.3999996185;16.0;6;32.0;
4;1;9.0;11.5;6;23.0;1;11.3999996185;16.0;6;32.0;
5;1;9.60000038147;11.5;6;23.0;1;12.3999996185;16.0;6;32.0;
6;1;10.6000003815;11.5;6;23.0;1;13.3999996185;16.0;6;32.0;
7;1;11.6000003815;11.5;6;23.0;1;14.3999996185;16.0;6;32.6399993896;
8;1;11.8999996185;11.5;6;23.4599990845;2;15.0920000076;16.3199996948;5;34.0;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;15.1999998093;16.5;5;35.7100014687;
10;1;12.1463851929;11.9106416702;6;24.0;2;17.1100006104;17.3250007629;5;36.9337396622;
11;1;12.2000007629;12.0;6;25.2000007629;2;19.1100006104;17.9053878784;5;37.7837141752;
12;2;14.1463851929;12.8000001907;5;27.1576004028;2;21.1100006104;18.2973766327;5;38.2580518723;
13;2;16.1463851929;13.0788002014;5;27.9311039448;2;22.1694145203;18.5;6;38.3302885294;
14;2;18.1463851929;13.4505519867;5;28.5263216496;2;23.1910858154;18.5;6;38.4057120085;
15;2;19.4645614624;13.7328653336;5;28.978894949;2;24.2137126923;18.5;7;38.484351635;
16;2;20.4739151001;13.943564415;5;29.1235172749;2;25.2373046875;18.5;7;38.5662232637;
17;2;21.4834403992;14.0;6;29.1558350325;2;25.5698680878;18.5;7;38.6513283253;
18;2;22.4931354523;14.0;6;29.1887089014;2;25.5953979492;18.5;7;38.7396525145;
19;2;22.7566127777;14.0;6;29.2221269608;2;25.6218967438;18.5;7;38.8311642408;
20;2;22.7666378021;14.0;7;29.2560760975;2;25.6493492126;18.5;7;38.9258141518;
21;2;22.7768230438;14.0;7;29.2905418873;2;25.6777439117;18.5;7;39.0235335827;
22;2;22.7871627808;14.0;7;29.3255085945;2;25.7070598602;18.5;7;39.1242339611;
23;2;22.7976531982;14.0;8;29.3609591722;2;25.7372703552;18.5;7;39.2278065681;
24;3;22.8082866669;14.0;7;29.3968753815;2;25.7683429718;18.5;8;39.3341217041;
25;3;22.8190612793;14.0;7;29.4332377911;2;25.8002376556;18.5;8;39.4430289268;
26;3;22.3999996185;14.7166185379;7;29.4700255394;2;25.8329086304;18.5;8;39.5543570518;
27;3;22.3999996185;14.7350130081;7;29.5072168112;2;25.8663082123;18.5;8;39.667914629;
28;3;22.8521652222;14.0;7;29.5447884798;2;25.9003753662;18.5;8;39.7834908962;
29;3;22.8634357452;14.0;7;29.5827163458;3;26.9350471497;18.5;7;40.9008569717;
30;3;22.8748149872;14.0;7;29.6209751368;3;27.1000003815;20.0;7;41.0797672272;
31;3;22.8862915039;14.0;7;29.6595385075;3;27.4180011749;20.5;7;41.2629249096;
32;3;22.8978614807;14.0;6;29.6983793974;3;27.4368896484;20.6979732513;7;41.4501255751;
33;3;22.9095134735;14.0;6;29.7374696732;3;27.1000003815;21.3772964478;7;41.641146183;
34;3;22.9212398529;14.0;6;29.7767804861;3;27.4774169922;20.8681659698;8;41.8357461691;
35;3;22.3999996185;14.8883905411;6;29.8162822723;3;27.1000003815;21.6189651489;8;42.0336693525;
36;3;22.9448852539;14.0;7;29.8559447527;3;28.5217132568;24.6189651489;8;42.2346453667;
37;3;22.9567832947;14.0;7;29.8957372904;3;28.6703929901;27.6189651489;8;42.4383906126;
38;3;22.9687213898;14.0;7;29.9356285334;3;28.7315177917;30.1651439667;8;42.6446106434;
39;3;22.3999996185;14.9678144455;7;29.9755871296;3;28.7933826447;32.165145874;8;42.8530014753;
40;3;22.9926757812;14.0;8;30.015581131;3;28.8559017181;33.5;9;43.0632513762;
41;3;23.0046730042;16.0;8;30.0555787086;3;28.9189758301;33.5;9;43.2750415802;
42;3;23.0166740417;18.0;9;30.0955479145;3;28.9825115204;33.5;10;43.4880492687;
43;3;23.0286636353;20.0;9;30.135456562;3;29.046415329;33.5;11;43.7019469738;
44;3;23.0406360626;22.0;10;30.17527318;3;29.110584259;33.5;12;43.9164047241;
45;3;23.0525817871;24.0;10;30.2149660587;3;29.1749229431;33.5;13;44.1310920715;
46;3;23.0644893646;24.0;10;30.2545039654;3;29.2393283844;33.5;13;44.3456778526;
47;3;22.3999996185;25.0;12;30.293856144;3;29.3037033081;33.5;13;44.5598316193;
48;3;23.0881557465;24.0;12;30.3329925537;3;29.3679504395;33.5;14;44.7732245922;
49;3;23.0998973846;24.0;12;30.3718836308;3;29.431968689;33.5;15;44.9855306149;
50;3;23.1115646362;24.0;12;30.4105007648;3;29.4956588745;33.5;15;45.1964273453;
51;3;23.1231498718;24.0;13;30.4488155842;3;29.558927536;33.5;15;45.4055967331;
52;3;23.1346435547;24.0;13;30.4868011475;3;29.621679306;33.5;15;45.6127269268;
53;3;23.1460399628;24.0;13;30.5244314671;3;29.6838188171;33.5;15;45.4700913429;
54;3;23.1573295593;24.0;14;30.5616812706;3;29.6410274506;33.3519973755;16;45.3099660873;
55;3;22.3999996185;25.0;14;30.5985264778;3;29.5929908752;33.2187995911;16;45.1763954163;
56;3;23.1795578003;24.0;14;30.6349442005;3;29.5529193878;33.0989189148;17;45.0664949417;
57;3;23.1904830933;24.0;15;30.6709127426;3;29.5199489594;32.991027832;17;46.1319074631;
58;3;23.2012729645;24.0;15;30.7064116001;3;28.121307373;34.3180923462;17;46.7068815231;
59;4;23.2119235992;24.0;15;30.7414214611;3;27.0400009155;36.4000015259;18;47.1163949966;
60;4;22.3999996185;25.0;15;30.7759244442;3;28.0400009155;36.4000015259;18;47.5227417946;
61;4;22.3999996185;25.3879623413;16;30.8099038601;3;28.3599967957;37.4000015259;18;47.9244408607;
62;4;22.3999996185;25.4049530029;16;30.84334445;3;27.0400009155;38.9568138123;19;48.3200674057;
63;4;22.3999996185;25.421672821;17;30.8762321472;4;27.0400009155;40.0830497742;18;48.7082705498;
64;4;23.2628688812;24.0;17;30.9085543156;4;27.0400009155;40.7268028259;18;49.0877904892;
65;4;23.2725658417;24.0;17;30.940299511;4;27.0400009155;40.9497337341;19;49.457473278;
66;4;22.3999996185;25.0;17;30.9714579582;4;27.0400009155;41.1662216187;19;49.8162817955;
67;4;22.3999996185;25.4857292175;18;33.4465920925;4;27.0400009155;43.1596717834;19;50.1633076668;
68;4;23.8199996948;27.2232971191;18;34.6172367334;4;27.0400009155;44.2619285583;19;50.4977750778;
69;4;25.1375198364;28.7898674011;18;35.5041319132;4;27.0400009155;45.3618507385;21;50.8190460205;
