Turn;Planet_count_KI_1_SP_LAENFA;Research_KI_1_SP_LAENFA;Industry_KI_1_SP_LAENFA;Ships_KI_1_SP_LAENFA;Population_KI_1_SP_LAENFA;Planet_count_KI_6_SP_TRITH;Research_KI_6_SP_TRITH;Industry_KI_6_SP_TRITH;Ships_KI_6_SP_TRITH;Population_KI_6_SP_TRITH;
1;1;6.0;14.1000003815;4;23.0;1;11.3999996185;16.0;4;32.0;
2;1;7.0;13.1000003815;6;23.0;1;11.3999996185;16.0;6;31.7439994812;
3;1;8.0;12.1000003815;6;23.0;1;11.3487997055;15.8719997406;6;31.5135993958;
4;1;9.0;11.5;6;23.0;1;11.3027200699;15.7567996979;6;31.3062400818;
5;1;9.60000038147;11.5;6;23.0;2;12.6027202606;15.6531200409;5;32.1196155548;
6;1;10.6000003815;11.5;6;23.0;2;13.6027202606;15.5598077774;5;31.970054388;
7;1;11.6000003815;11.5;6;23.0;2;14.5910167694;15.4758272171;5;31.9294396639;
8;1;11.8999996185;11.5;6;23.4599990845;2;14.5788326263;15.4462442398;5;31.8948870897;
9;1;12.0380001068;11.7299995422;6;23.8212833405;2;14.5684661865;15.4196195602;5;33.2286319733;
10;1;12.1463851929;11.9106416702;6;24.0;2;16.5959186554;16.0673618317;5;34.2014619112;
11;1;12.2000007629;12.0;6;25.2000007629;2;18.5959186554;16.5341625214;5;34.8936531544;
12;1;14.1463851929;12.6000003815;6;26.1576004028;2;20.5959186554;16.860162735;5;35.2544733286;
13;2;16.1463851929;13.2788000107;5;27.9011039734;2;21.6320877075;17.0200004578;6;35.2965612411;
14;2;18.1463851929;13.4505519867;5;28.5257306099;2;22.6447143555;17.0200004578;6;35.339578867;
15;2;19.4643859863;13.7328653336;5;29.0100927353;2;23.6576194763;17.0200004578;6;35.3835101128;
16;2;20.4832744598;13.943564415;5;29.1889609098;2;24.6150531769;17.0200004578;6;35.4283361435;
17;2;21.5030727386;14.0;6;29.2580518723;3;24.6284999847;17.0200004578;6;35.4740355015;
18;2;22.5237998962;14.0;6;29.3302885294;4;24.6422100067;17.0200004578;5;35.5205837488;
19;2;22.3999996185;14.3990869522;6;29.4057120085;4;24.6561737061;17.0200004578;5;35.567953825;
20;2;22.3999996185;14.421713829;7;29.484351635;4;24.6703853607;17.0200004578;6;35.6161155701;
21;2;22.8453044891;14.0;7;29.5662232637;4;24.2119998932;17.4928340912;5;35.6650363207;
22;2;22.8698673248;14.0;7;29.6513283253;4;24.6995105743;17.0200004578;5;35.7146805525;
23;2;22.8953971863;14.0;7;29.7396525145;4;24.7144031525;17.0200004578;5;35.7650099993;
24;2;22.9218959808;14.0;9;29.8311642408;4;24.7295036316;17.0200004578;5;35.8159838915;
25;2;22.3999996185;14.5493488312;9;29.9258141518;4;24.7447948456;17.0200004578;5;36.8675587177;
26;2;20.9777431488;15.0;9;30.0235335827;4;25.7602672577;17.5200004578;5;36.9380886555;
27;2;20.0070590973;16.0;10;30.1242339611;4;26.2119998932;17.9598445892;5;37.0092769861;
28;2;19.0372695923;17.0;10;30.2278065681;4;26.7916984558;17.538476944;5;37.0810678005;
29;2;18.0683422089;18.0;10;30.3341217041;4;26.2119998932;18.5405330658;5;37.1534029245;
30;2;17.1002368927;19.0;10;30.4430289268;4;25.1460208893;18.0200004578;5;37.2262225151;
31;2;16.1329078674;20.0;10;30.5543570518;4;24.1678657532;19.0200004578;5;37.2994650602;
32;2;15.1663064957;21.0;10;30.667914629;4;23.1898384094;20.0200004578;6;37.3730671406;
33;2;14.8003749847;22.0;10;30.7834908962;4;22.2119197845;21.0200004578;5;37.4469639063;
34;2;14.8350467682;23.0;10;30.9008569717;4;21.2340888977;22.0200004578;5;37.5210900307;
35;2;14.8702573776;24.0;11;31.0197672844;4;20.2563266754;23.0200004578;5;37.5953791142;
36;2;14.9059305191;25.0;11;31.1399610043;4;19.2786140442;24.0200004578;5;37.6697640419;
37;2;15.0;24.0;12;31.2611646652;4;19.9380111694;24.0200004578;6;37.7441779375;
38;2;14.9783496857;24.0;13;31.3830943108;4;20.9544200897;26.0200004578;6;37.8185533285;
39;2;15.0149288177;25.0;13;31.5054576397;4;21.2119998932;28.0200004578;6;37.8928233385;
40;2;15.0;24.0;14;31.6279573441;4;22.5927352905;30.0200004578;6;37.9669216871;
41;2;15.0;24.0;14;31.7502937317;4;23.2119998932;32.0200004578;6;38.0407830477;
42;2;15.125087738;25.0;14;31.8721673489;4;25.41223526;32.0200004578;7;38.1143426895;
43;3;15.161649704;26.0;13;47.9932823181;4;25.6107254028;33.0200004578;8;38.1875377893;
44;3;17.1979846954;25.0;13;48.7533483505;5;27.2119998932;35.0937690735;7;39.2603065968;
45;3;19.2340049744;25.0;13;49.4311914444;5;29.0673065186;34.7046432495;8;39.3808773756;
46;3;20.2696266174;25.0;15;50.030061245;5;28.5264854431;36.7147102356;12;39.5027300119;
47;3;22.3047676086;26.0;15;50.5553970337;5;28.6348724365;37.4973754883;12;39.6258285046;
48;3;24.3393554688;27.0;15;51.0139713287;5;29.4588260651;37.7348709106;12;39.7501344681;
49;3;26.3733139038;27.0;15;51.4131522179;5;28.2119998932;39.3470420837;14;39.8756070137;
50;3;28.4065799713;28.0;15;51.760345459;6;29.5216636658;37.755027771;14;40.0022016764;
51;3;30.4390907288;29.0;15;51.9026489258;6;29.605430603;37.6787147522;15;40.1298713684;
52;4;31.5707931519;29.0;15;52.0054745674;6;29.0781517029;38.0200004578;16;40.2585644722;
53;4;31.6016426086;29.0;16;52.1053099632;6;29.6461200714;37.7390823364;17;40.3882260323;
54;4;31.6315917969;29.0;16;52.2020397186;6;28.6771316528;38.770652771;18;40.5187962055;
55;4;31.660610199;29.0;16;52.2955703735;6;29.6831283569;37.8031387329;18;40.6502110958;
56;4;31.6886711121;29.0;16;52.3858294487;6;30.1950626373;37.0200004578;18;40.7824012041;
57;4;31.7157478333;29.0;16;52.4727659225;6;29.7516479492;37.8251190186;19;40.9152926207;
58;4;31.7418289185;29.0;16;53.556347847;6;28.7435340881;38.8350219727;19;41.0488054752;
59;4;32.7669029236;30.0;17;53.6665623188;6;30.2600288391;37.0200004578;19;41.18285501;
60;4;33.7909698486;31.0;18;53.774004221;6;30.3548564911;37.0200004578;19;42.7243361473;
61;4;34.1322021484;32.0;18;53.8786871433;6;30.2057743073;38.6599502563;20;43.8664819002;
62;4;32.1636047363;34.0;18;53.9806382656;7;28.789806366;39.8938827515;16;64.9675562382;
63;4;31.194190979;36.0;19;54.079895854;7;31.0737400055;39.3882522583;16;66.8347808123;
64;5;29.8772182465;37.5779190063;19;54.1765090227;7;32.1541595459;40.4000015259;16;68.4612102509;
65;5;28.8963394165;38.5943527222;19;54.2221269608;7;32.2291793823;41.4000015259;16;69.8616206646;
66;5;28.5666389465;39.0;21;54.2560760975;7;32.3050308228;42.4000015259;16;71.0468245745;
67;5;28.5768222809;40.0;20;54.2905418873;7;29.936000824;46.2812156677;17;72.0404623747;
68;5;28.5871620178;41.0;20;56.2748656273;7;31.2794761658;46.4000015259;17;72.8721905947;
69;5;29.0684585571;42.7000007629;20;57.8476262093;7;30.4723052979;48.4522781372;18;73.5723547935;
70;5;29.4461021423;44.2291984558;17;60.0752137899;8;30.4818172455;50.0326385498;17;74.0071051121;
71;6;30.2997627258;46.6162643433;16;75.935464263;8;30.8830394745;49.5357208252;18;74.2953951359;
72;6;32.5052566528;50.6508293152;16;77.4596406221;8;29.936000824;53.4979095459;23;74.582826376;
73;6;34.0812416077;53.0;16;78.6727133989;8;30.5101852417;55.5357208252;23;74.8687593937;
74;6;35.5003204346;56.0;13;79.7796347141;8;30.5195655823;58.5357208252;22;75.1525492668;
75;6;34.1895332336;59.0;13;80.7768307924;9;30.5288944244;61.5357208252;21;90.4335565567;
76;7;32.0918235779;62.8836784363;9;81.6666836739;9;31.5381679535;65.5357208252;22;91.7611498833;
77;7;31.6000003815;66.6490325928;8;82.4560600519;9;32.54737854;68.7585220337;22;92.9896943569;
78;7;33.0670433044;65.9502716064;9;83.1547163725;9;33.5565223694;71.7913665771;23;94.1080551147;
79;7;34.1906890869;62.8266143799;9;83.7738362551;9;34.5655937195;74.0560531616;23;95.1120193005;
