Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;13.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;14.0;10.0;4;20.0;
5;1;8.0;10.0;6;20.0;1;15.0;10.0;4;20.0;
6;1;9.0;10.0;6;20.0;1;16.0;10.0;4;20.3999996185;
7;1;9.5;10.0;6;20.0;1;17.0;10.1999998093;4;20.7264003754;
8;1;9.5;10.0;6;20.3999996185;1;17.4358406067;10.3632001877;4;21.8194274902;
9;1;9.59000015259;10.1999998093;6;20.7264003754;2;18.6916561127;10.9097137451;3;23.7316036224;
10;1;9.66343975067;10.3632001877;6;20.9903717041;2;20.6916561127;11.3658018112;3;24.5645617247;
11;1;9.72283363342;10.4951858521;5;22.0419120789;2;22.6916561127;11.7372808456;3;25.2545170784;
12;2;9.95943069458;11.3209562302;4;23.9143505096;2;23.8039264679;12.0336990356;4;25.8242644072;
13;2;11.9478340149;11.4571752548;4;24.6414065361;2;24.8666992188;12.2662630081;4;26.2967605591;
14;2;13.9478340149;11.8107032776;4;25.2234597206;2;25.9341907501;12.446267128;4;26.5249304771;
15;2;15.9478340149;12.0916318893;4;25.6831918955;2;27.0066146851;12.5;4;26.6541694403;
16;2;16.9614639282;12.3113050461;4;26.0429104567;2;28.0841579437;12.5;4;26.7922235727;
17;2;17.9660930634;12.4808797836;4;26.1018965244;2;29.1669902802;12.5;4;26.9393253326;
18;2;18.9707603455;12.5;5;26.1228116751;2;30.1635951996;12.5;4;27.0956480503;
19;2;19.8776321411;12.5;5;26.1438889503;2;30.2573890686;12.5;5;27.261295557;
20;2;19.8823757172;12.5;4;26.1651208401;2;30.3567771912;12.5;5;27.4362905025;
21;2;19.8871517181;12.5;4;26.1864993572;2;30.461774826;12.5;5;27.6205644608;
22;2;19.625;12.9745998383;4;26.2080165148;2;30.5723381042;12.5;4;27.8139474392;
23;2;19.625;12.983206749;4;26.2296639681;2;30.6883678436;12.5;4;28.016159296;
24;2;19.625;12.9918651581;5;26.2514331341;2;30.8096961975;12.5;4;28.2268030643;
25;2;19.625;13.0005731583;5;26.2733153105;2;30.9360809326;12.5;5;28.445360899;
26;2;19.625;13.0093259811;5;26.2953014374;3;31.0672168732;12.5;4;28.6711919308;
27;3;19.9164428711;12.5;4;26.3173824549;4;31.20271492;12.5;4;28.9035346508;
28;3;19.625;12.5;4;26.3395489454;4;31.3421211243;12.5;4;29.141512394;
29;3;19.625;12.5;4;26.3617914915;4;31.4849071503;12.5;4;29.3841423988;
30;3;17.9314041138;13.5;4;26.3841004372;4;27.4849071503;14.5;4;29.6303496361;
31;3;16.936422348;14.5;4;26.4064661264;4;29.4849071503;12.5;4;29.8789830208;
32;3;15.9414548874;15.5;4;26.428878665;4;31.4849071503;14.5;4;30.1288366318;
33;3;14.625;16.5;4;26.4513280392;4;32.0773010254;16.5;3;30.3786706924;
34;3;14.3265485764;17.5;4;26.4738043547;4;32.2272033691;18.5;3;31.6272368431;
35;3;14.3316059113;18.5;4;26.4962974787;4;33.3763427734;21.5;4;31.9033024311;
36;3;14.3366670609;19.5;4;26.5187973976;4;34.523979187;24.5;3;32.1762669086;
37;3;14.3417291641;20.5;5;26.5412938595;4;34.6694068909;25.5;3;32.444994688;
38;3;14.3467912674;21.5;5;26.5637768507;4;34.8119354248;26.5;2;33.7084333897;
39;3;14.351849556;22.5;5;26.5862361193;4;35.9509506226;28.5;3;34.0056313276;
40;3;14.3569030762;23.5;6;26.6086617708;4;37.0858764648;30.077917099;3;34.2969356775;
41;3;14.361948967;24.5;7;26.6310436726;4;37.2162246704;31.0943546295;4;34.5816342831;
42;3;14.366985321;25.5;7;26.6533719301;4;37.3415718079;32.1110649109;4;34.8591424227;
43;3;14.3720092773;26.5;7;27.6756366491;4;37.4615745544;33.128036499;4;35.1290031672;
44;3;15.0;28.5;9;27.787828207;4;37.5759735107;33.1452713013;4;35.3908851147;
45;3;16.0;29.6884803772;9;27.9070558548;4;37.6845779419;33.1627540588;5;35.6445759535;
