Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;13.0;10.0;4;20.0;
4;1;8.0;11.0;6;20.0;1;14.0;10.0;3;20.0;
5;1;8.0;10.0;6;20.0;2;15.6000003815;10.0;2;21.0;
6;1;9.0;10.0;6;20.0;2;16.6000003815;10.0;2;21.4999996424;
7;2;9.5;10.3000001907;5;21.0;2;17.6599998474;10.1999998093;2;21.9353003502;
8;2;9.72500038147;10.0;5;21.3999996185;2;18.1611804962;10.3632001877;2;23.1829590797;
9;2;9.81500053406;10.1999998093;5;21.7264003754;2;18.9097747803;10.9097137451;2;24.267437458;
10;2;9.88844013214;10.3632001877;5;21.9903717041;2;20.9097747803;11.3658018112;2;25.2018244267;
11;2;9.94783401489;10.4951858521;4;23.0719120502;2;22.9097747803;11.7372808456;2;26.0066431761;
12;2;10.1911802292;11.0209560394;4;23.9749414921;2;24.2552032471;12.0336990356;3;26.7056586742;
13;2;11.9614667892;11.4571752548;4;24.7131726742;2;25.3955345154;12.2662630081;3;27.3226804733;
14;2;13.9614667892;11.8107032776;4;25.3067810535;2;26.5497436523;12.446267128;3;27.7113106251;
15;2;15.9614667892;12.0916318893;4;25.7784451246;2;27.7184410095;12.5;3;28.0173821449;
16;2;16.9828968048;12.3113050461;4;26.1504684687;2;28.9020843506;12.5;3;28.3487696648;
17;2;17.9902935028;12.4808797836;3;26.2221269608;2;30.1009178162;12.5;3;28.7054548264;
18;2;18.9978122711;12.5;3;26.2560760975;2;31.2232723236;12.5;3;29.0869145393;
19;2;19.907617569;12.5;3;26.2905418873;2;31.4521484375;12.5;3;29.4920539856;
20;2;19.9153709412;12.5;3;26.3255085945;2;31.6952323914;12.5;3;29.9191560745;
21;2;19.9232387543;12.5;3;26.3609591722;2;31.9514942169;12.5;3;30.3658571243;
22;2;19.9312152863;12.5;3;26.3968753815;2;32.2195129395;12.5;2;30.8291530609;
23;2;19.9392967224;12.5;3;26.4332377911;2;32.4974899292;12.5;2;31.3054442406;
24;3;19.947479248;12.5;2;26.4700255394;2;32.7832679749;12.5;2;31.790620327;
25;3;19.9557552338;12.5;2;26.5072168112;2;33.0743713379;12.5;2;32.2801818848;
26;3;19.9641227722;12.5;2;26.5447884798;2;33.3681106567;12.5;2;32.7693967819;
27;3;19.9725780487;12.5;3;26.5827163458;2;33.6616363525;12.5;2;33.2534770966;
28;3;19.9811115265;12.5;3;26.6209751368;2;33.9520874023;12.5;2;33.7277650833;
29;3;17.9897193909;13.5;3;26.6595385075;2;34.2366600037;12.5;3;34.187912941;
30;3;16.9983959198;14.5;3;26.6983793974;2;34.5127487183;12.5;3;34.6300430298;
31;3;16.0071353912;15.5;3;26.7374696732;2;34.7780265808;14.5;3;35.0508718491;
32;3;15.0159301758;16.5;3;26.7767804861;2;35.0305252075;16.5;3;35.4477939606;
33;3;14.3997755051;17.5;3;26.8162822723;2;35.2686767578;18.5;5;35.8189210892;
34;3;14.4086637497;18.5;3;26.8559447527;2;35.4913520813;20.5;5;36.1630792618;
35;3;14.4175872803;19.5;4;26.8957372904;2;35.697845459;22.5;5;36.4797668457;
36;3;14.4265403748;20.5;4;26.9356285334;2;35.8878593445;22.5;6;36.7690839767;
37;3;14.4355163574;21.5;4;26.9755871296;2;36.0614509583;22.5;7;37.0316419601;
38;3;14.4445075989;22.5;4;27.015581131;2;36.2189865112;22.5;7;37.2684679031;
39;3;14.4535055161;23.5;4;27.0555787086;2;36.3610801697;22.5;7;37.4809007645;
40;3;14.4625053406;24.5;5;27.0955479145;2;36.4885406494;22.5;7;37.6704978943;
41;3;14.4714984894;25.5;5;27.135456562;2;36.6022987366;22.5;5;37.8389520645;
42;3;14.4804782867;26.5;6;27.17527318;2;36.7033691406;22.5;5;37.9880180359;
43;3;14.4894361496;27.5;6;27.2149660587;2;36.7928085327;22.5;7;38.0;
44;3;14.4983673096;28.5;7;27.2545039654;3;36.7999992371;22.5;6;38.0;
45;3;14.5072631836;29.5;8;27.293856144;3;36.7999992371;22.5;7;38.0;
