Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;6.0;14.0;4;20.0;1;13.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;13.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;13.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;14.0;10.0;5;20.0;
5;1;8.0;10.0;6;20.0;1;15.0;10.0;5;20.0;
6;2;9.0;10.5;5;21.0;1;16.0;10.0;4;20.3999996185;
7;2;9.5;10.0;5;21.0199999809;1;17.0;10.1999998093;4;20.7264003754;
8;2;9.5;10.0;5;22.2503967285;2;18.0358409882;10.3632001877;3;22.8194274902;
9;2;9.77000045776;10.6000003815;5;23.2989783287;2;18.6916561127;10.9097137451;3;23.7516036034;
10;2;9.998960495;11.1087999344;5;24.1708984375;2;20.6916561127;11.3658018112;2;24.5147576332;
11;2;10.1880407333;11.5289793015;5;25.8259812593;2;22.6916561127;11.7372808456;2;25.1279798746;
12;2;10.5481967926;12.329325676;5;27.1994987726;2;23.7280044556;12.0336990356;3;25.6136769056;
13;2;12.1880407333;12.9878778458;5;28.303276062;2;24.7403469086;12.2662630081;3;25.9944307804;
14;2;14.1880407333;13.5105419159;5;29.1687028408;2;25.7527942657;12.446267128;3;26.1228116751;
15;2;16.188041687;13.9130096436;5;29.8361686468;2;26.7653427124;12.5;3;26.1438889503;
16;2;17.188041687;14.2154760361;4;30.346829772;2;27.7779884338;12.5;3;26.1651208401;
17;2;18.188041687;14.4385232925;5;30.5363675356;2;28.7907276154;12.5;3;26.1864993572;
18;2;19.188041687;14.5;5;30.604945302;2;29.7118988037;12.5;3;26.2080165148;
19;2;20.188041687;14.5;4;30.6754835844;2;29.7248096466;12.5;4;26.2296639681;
20;2;20.5249996185;14.5;4;30.7479401827;2;29.7377986908;12.5;4;26.2514331341;
21;2;20.5249996185;14.5;4;30.8222635984;2;29.7508602142;12.5;4;26.2733153105;
22;2;20.5249996185;14.5;5;30.8983929157;2;29.7639884949;12.5;4;26.2953014374;
23;3;20.5249996185;14.5;4;30.9762575626;2;29.0;13.1476507187;4;26.3173824549;
24;3;20.5249996185;14.5;4;31.0557770729;2;29.0;13.1586914062;4;26.3395489454;
25;3;18.5249996185;15.5;4;31.1368615627;3;29.0;13.1697740555;2;26.3617914915;
26;3;17.5249996185;16.5;4;31.2194113731;3;29.0;13.1808958054;2;26.3841004372;
27;3;16.5249996185;17.5;4;31.3033182621;3;29.0;13.1920499802;2;26.4064661264;
28;3;15.5249996185;18.5;4;31.3884646893;3;29.0;13.2032327652;2;26.428878665;
29;3;14.5249996185;19.5;4;31.474725008;3;29.0;13.2144393921;2;26.4513280392;
30;3;14.0;20.5;4;31.5619659424;3;27.0;14.2256641388;3;26.4738043547;
31;3;14.0;21.5;5;31.6500473022;3;28.0;13.2369022369;3;26.4962974787;
32;3;14.0;22.5;5;31.7388226986;3;29.0;13.2481489182;3;26.5187973976;
33;3;14.0;23.5;6;31.8281404972;3;29.0;15.2481489182;3;26.5412938595;
34;3;14.0;24.5;6;31.9178452492;3;29.0;17.2481479645;2;26.5637768507;
35;3;15.0;26.2000007629;5;33.0077776909;3;29.0;19.2481479645;2;26.5862361193;
36;3;16.0;26.5;5;33.1677771807;3;29.0;21.2481498718;2;27.6086617708;
37;3;16.2407493591;27.5;5;33.3318325281;3;30.0;24.2481498718;3;27.6910436153;
38;3;16.257434845;28.5;6;33.4999215603;3;31.0;25.3155212402;3;27.7763358355;
39;3;16.2750835419;29.5;6;33.6720124483;3;31.0;26.3266868591;3;27.864597559;
40;3;16.2937278748;30.5;6;33.8480629921;3;31.0;27.3378181458;4;27.9558800459;
41;3;16.3133907318;31.5;7;34.0280183554;3;31.0;28.3489151001;4;28.0502253771;
42;3;16.3340969086;32.5;7;34.2118097544;3;31.0;29.0251121521;4;28.147665143;
43;3;16.3558635712;33.5;7;34.3993525505;3;31.0;29.0738315582;5;28.2482193708;
44;3;16.378704071;34.5;8;34.5905439854;3;31.0;29.1241092682;8;28.3518947363;
45;3;17.4026260376;32.5;9;34.7852611542;3;31.0;29.1759471893;7;28.4586837292;
46;3;16.4276313782;33.5;9;34.9833593369;3;31.0;29.2293434143;7;28.5685632229;
