Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;6.0;14.0;4;20.0;1;6.0;12.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;8.0;10.0;5;20.0;
5;1;8.0;10.0;6;20.0;1;8.0;10.0;5;20.0;
6;1;9.0;10.0;6;20.0;1;9.0;10.0;5;20.0;
7;1;9.5;10.0;6;20.0;1;9.5;10.0;4;20.0;
8;1;9.5;10.0;6;20.3999996185;1;9.5;10.0;4;20.3999996185;
9;1;9.59000015259;10.1999998093;6;20.7264003754;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;9.66343975067;10.3632001877;6;20.9903717041;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;9.72283363342;10.4951858521;6;22.0419120789;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;9.95943069458;11.3209562302;5;23.9143505096;1;9.95943069458;11.0209560394;5;22.9143505096;
13;2;11.9478340149;11.4571752548;5;24.7114065886;2;11.7228336334;11.6571750641;4;24.6214065552;
14;2;13.9478340149;11.8107032776;4;25.3703827858;2;13.7228336334;11.8107032776;4;25.3532637358;
15;2;15.9478340149;12.0916318893;4;25.9143484831;2;15.7228336334;12.0916318893;4;25.9895210266;
16;2;16.7228336334;12.6988267899;4;26.3659858704;2;17.0303878784;12.3113050461;4;26.556030035;
17;2;17.7228336334;12.9021472931;4;26.5249304771;2;18.0815448761;12.4808797836;4;26.8558222055;
18;2;19.0659427643;12.5;5;26.6541694403;2;19.1403942108;12.5;4;27.1554293633;
