Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;9.0;10.0;6;20.0;
4;1;8.0;11.0;6;20.0;1;9.0;10.0;6;20.0;
5;1;8.0;10.0;6;20.0;1;10.0;10.0;6;20.0;
6;1;9.0;10.0;6;20.0;1;11.0;10.0;6;20.0;
7;1;9.5;10.0;6;20.0;1;11.0;10.0;6;20.3999996185;
8;2;9.5;10.3000001907;5;21.3999996185;1;11.1199998856;10.1999998093;6;20.7264003754;
9;2;9.81500053406;10.1999998093;5;21.8264003992;1;11.2179203033;10.3632001877;6;20.9903717041;
10;2;9.91094017029;10.3632001877;5;22.1992716789;2;11.597111702;10.4951858521;5;23.0419120789;
11;2;9.99483585358;10.4951858521;5;23.4054436684;2;11.9125738144;11.0209560394;5;23.944350481;
12;2;10.2662248611;11.0209560394;5;24.4501843452;2;12.1833057404;11.4571752548;5;24.6819975376;
13;2;12.0683965683;11.4571752548;5;25.3486692905;2;14.1833057404;11.8107032776;5;25.2750298977;
14;2;14.0683965683;11.8107032776;5;26.1225088835;2;16.1833057404;12.0916318893;5;25.746127367;
15;2;15.7228336334;12.6734056473;5;26.7957427502;2;16.7238388062;12.3113050461;5;26.1175945997;
16;2;16.7228336334;12.9632444382;5;27.3919057846;2;16.8352775574;12.4808797836;5;26.1887089014;
17;2;18.2696170807;12.4808797836;5;27.7113106251;2;18.743396759;12.5;5;26.2221269608;
18;2;19.3328781128;12.5;6;28.0173821449;2;19.7534217834;12.5;5;26.2560760975;
19;2;20.3039112091;12.5;5;28.3487696648;2;20.7636070251;12.5;5;26.2905418873;
20;2;20.3784732819;12.5;5;28.7054548264;2;21.7739467621;12.5;7;26.3255085945;
21;2;20.4587268829;12.5;5;29.0869145393;2;21.8976516724;12.5;7;26.3609591722;
22;2;19.625;13.5;5;29.4920539856;2;21.9082870483;12.5;7;26.3968753815;
23;2;20.625;12.5;5;29.9191560745;2;21.9190635681;12.5;7;26.4332377911;
24;3;19.625;13.5;4;30.3658571243;2;21.5;12.9299716949;7;26.4700255394;
25;3;18.625;13.5;6;30.8291530609;2;21.5;12.9410076141;7;26.5072168112;
26;4;17.9365596771;14.5;5;31.3054442406;2;21.9521656036;12.5;8;26.5447884798;
27;4;17.0437240601;15.5;6;31.790620327;2;19.9634361267;13.5;8;26.5827163458;
28;4;16.1528892517;16.5;6;32.2801818848;2;20.5;13.2913579941;8;26.6209751368;
29;4;14.0;18.5;6;32.7693967819;3;18.9862918854;13.5;7;26.6595385075;
30;4;14.0;20.5;6;33.2534770966;3;17.9978618622;14.5;7;26.6983793974;
31;4;14.0;22.5;7;33.7277650833;3;17.009513855;15.5;7;26.7374696732;
32;5;14.0;24.5;6;34.187912941;3;16.0212402344;16.5;7;26.7767804861;
