Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;9.0;10.0;5;20.0;
4;1;8.0;11.0;6;20.0;1;9.0;10.0;5;20.0;
5;1;8.0;10.0;6;20.0;1;10.0;10.0;5;20.0;
6;1;9.0;10.0;6;20.0;1;11.0;10.0;5;20.0;
7;1;9.5;10.0;6;20.0;1;11.0;10.0;5;20.3999996185;
8;1;9.5;10.0;5;20.3999996185;2;11.4200000763;10.1999998093;4;21.7264003754;
9;1;9.59000015259;10.1999998093;5;20.7264003754;2;11.5179204941;10.3632001877;3;21.9903717041;
10;1;9.66343975067;10.3632001877;5;20.9903717041;2;11.597111702;10.4951858521;3;23.0719120502;
11;2;9.72283363342;10.7951860428;4;23.0419120789;2;11.9215736389;11.0209560394;3;23.9749414921;
12;2;10.184431076;11.0209560394;4;23.944350481;2;13.9215736389;11.4571752548;3;24.7131726742;
13;2;11.954583168;11.4571752548;4;24.6819975376;2;15.9215736389;11.8107032776;4;25.3067810535;
14;2;13.9545841217;11.8107032776;3;25.2750298977;2;16.94962883;12.0916318893;4;25.7784451246;
15;2;15.9545841217;12.0916318893;3;25.746127367;2;17.9593238831;12.3113050461;4;26.1504684687;
16;2;16.9756240845;12.3113050461;3;26.1175945997;2;18.9691867828;12.4808797836;4;26.2221269608;
17;2;17.9828968048;12.4808797836;3;26.1887089014;2;19.9792118073;12.5;4;26.2560760975;
18;2;18.7228336334;12.8566131592;3;26.2221269608;2;20.989397049;12.5;4;26.2905418873;
19;2;19.8999786377;12.5;3;26.2560760975;2;21.8871631622;12.5;4;26.3255085945;
20;2;19.625;13.0024299622;4;26.2905418873;2;21.8976516724;12.5;4;26.3609591722;
21;2;19.625;13.0162162781;5;26.3255085945;2;21.9082870483;12.5;6;26.3968753815;
22;2;19.9232387543;12.5;5;26.3609591722;2;21.9190635681;12.5;6;26.4332377911;
23;2;19.625;13.0443840027;6;26.3968753815;2;21.9299716949;12.5;6;26.4700255394;
24;2;19.9392967224;12.5;6;26.4332377911;2;21.9410076141;12.5;5;26.5072168112;
25;2;17.947479248;13.5;6;26.4700255394;2;21.9521656036;12.5;5;26.5447884798;
26;2;16.9557552338;14.5;6;26.5072168112;2;21.9634361267;12.5;6;26.5827163458;
27;2;15.9641237259;15.5;6;26.5447884798;2;21.5;13.2913579941;7;26.6209751368;
28;2;14.972577095;16.5;6;26.5827163458;2;21.9862918854;12.5;8;26.6595385075;
29;3;14.0;18.1330871582;4;39.3709751368;3;21.9978618622;12.5;7;26.6983793974;
30;3;15.0;19.6346817017;4;40.0470383167;3;20.009513855;13.5;7;26.7374696732;
31;3;16.0;20.6616764069;4;40.669909358;3;19.0212402344;14.5;7;26.7767804861;
