Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.0;6;20.0;1;9.0;10.0;6;20.0;
4;1;8.0;11.0;6;20.0;1;9.0;10.0;6;20.0;
5;1;8.0;10.0;6;20.0;2;10.3000001907;10.0;5;21.0;
6;1;9.0;10.0;6;20.0;2;11.3000001907;10.0;5;21.0599999428;
7;1;9.5;10.0;6;20.0;2;11.3179998398;10.0;5;21.5335636139;
8;1;9.5;10.0;6;20.3999996185;2;11.4600687027;10.1999998093;5;21.9377998114;
9;1;9.59000015259;10.1999998093;6;20.7264003754;2;11.5813398361;10.3632001877;5;22.2840082645;
10;1;9.66343975067;10.3632001877;6;20.9903717041;2;11.6852025986;10.4951858521;5;23.4481773376;
11;1;9.72283363342;10.4951858521;6;22.0419120789;2;12.034453392;11.0209560394;5;24.4414664507;
12;1;9.95943069458;11.0209560394;6;22.9143505096;2;14.034453392;11.4571752548;4;25.2779132128;
13;1;11.7228336334;11.4571752548;6;23.6214065552;2;16.0344524384;11.8107032776;4;25.9779809713;
14;1;12.7228336334;11.8107032776;6;24.1832637787;2;16.7933940887;12.0916318893;4;26.5645889044;
15;1;13.7228336334;12.0916318893;6;24.6226100922;2;16.9693775177;12.3113050461;4;27.060223341;
16;1;14.7228336334;12.3113050461;6;24.9617595673;2;17.1180667877;12.4808797836;4;27.2642745972;
17;1;15.7228336334;12.4808797836;6;25.0;2;19.0660667419;12.5;4;27.439432621;
18;1;16.7228336334;12.5;7;25.0;2;20.1186141968;12.5;4;27.6238675117;
19;1;17.625;12.5;7;25.0;2;21.1739444733;12.5;5;27.8174073696;
20;1;17.625;12.5;7;25.0;2;22.232006073;12.5;5;28.0197701454;
21;1;17.625;12.5;7;25.0;2;21.5;13.4059314728;5;28.2305569649;
22;1;17.625;12.5;8;25.0;2;21.5;13.4691667557;5;28.4492475986;
23;1;17.625;12.5;8;25.0;2;22.5;12.5;5;28.6751992702;
24;1;17.625;12.5;8;25.0;2;22.6025600433;12.5;6;28.907648325;
25;1;17.625;12.5;8;25.0;3;22.6722946167;12.5;6;29.1457161903;
26;1;15.625;13.5;9;25.0;4;22.7437152863;12.5;5;29.3884181976;
27;1;14.625;14.5;9;25.0;4;22.8165245056;12.5;5;29.634677887;
28;1;13.625;15.5;9;25.0;4;21.5;13.5;5;29.8833432198;
29;1;12.625;16.5;9;25.0;4;22.5;12.5;5;30.1332073212;
30;1;12.0;17.5;9;25.0;4;23.0399627686;12.5;5;30.3830299377;
31;1;12.0;18.5;9;25.0;4;23.1149101257;12.5;5;30.6315627098;
32;1;12.0;19.5;9;25.0;4;21.1894683838;13.5;5;30.877573967;
33;1;12.0;20.5;9;25.0;4;20.2632713318;14.5;5;31.11987257;
