Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;6.0;14.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;13.0;6;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;12.0;5;20.0;1;9.0;10.0;5;20.0;
4;1;8.0;11.0;5;20.0;1;9.0;10.0;4;20.0;
5;1;8.0;10.0;5;20.0;1;10.0;10.0;4;20.0;
6;1;9.0;10.0;5;20.0;1;11.0;10.0;4;20.0;
7;1;9.5;10.0;4;20.0;1;11.0;10.0;3;20.3999996185;
8;1;9.5;10.0;4;20.3999996185;1;11.1199998856;10.1999998093;3;20.7264003754;
9;1;9.59000015259;10.1999998093;4;20.7264003754;1;11.2179203033;10.3632001877;3;20.9903717041;
10;1;9.66343975067;10.3632001877;4;20.9903717041;1;11.2971115112;10.4951858521;3;22.0419120789;
11;2;9.72283363342;10.7951860428;3;23.0419120789;1;11.6125736237;11.0209560394;3;22.9143505096;
12;2;10.184431076;11.0209560394;3;23.9543504715;1;11.8743057251;11.4571752548;2;23.6214065552;
13;2;11.9568338394;11.4571752548;2;24.7025904655;1;12.8743057251;11.8107032776;2;24.1832637787;
14;2;13.9568338394;11.8107032776;2;25.3068172932;1;13.8743057251;12.0916318893;2;24.6226100922;
15;2;15.9568338394;12.0916318893;2;25.789717555;1;14.3867835999;12.3113050461;2;24.9617595673;
16;2;16.9854335785;12.3113050461;2;26.1736010313;1;14.488527298;12.4808797836;2;25.0;
17;2;17.9954986572;12.4808797836;2;26.2577478886;1;16.3867835999;12.5;2;25.0;
18;2;19.0058269501;12.5;3;26.3048160076;1;17.3867835999;12.5;2;25.0;
19;2;19.9185829163;12.5;3;26.3530313969;1;18.3867835999;12.5;3;25.0;
20;2;19.9294319153;12.5;4;26.4023760557;1;19.3867835999;12.5;4;25.0;
21;2;19.9405345917;12.5;4;26.4528282881;1;19.5;12.5;4;25.0;
22;2;19.9518871307;12.5;4;26.5043625832;1;19.5;12.5;4;25.0;
23;2;19.9634819031;12.5;5;26.5569496155;1;19.5;12.5;4;25.0;
24;2;19.9753131866;12.5;6;26.6105561256;1;19.5;12.5;4;25.0;
25;2;19.9873752594;12.5;6;26.6651450396;1;19.5;12.5;4;25.0;
26;2;19.9996566772;12.5;6;26.72067523;1;19.5;12.5;5;25.0;
27;2;20.0121517181;12.5;6;26.7771017551;1;19.5;12.5;5;25.0;
28;2;20.024848938;12.5;6;26.8343759775;1;19.5;12.5;5;25.0;
29;2;18.0377349854;13.5;6;26.8924454451;1;19.5;12.5;5;25.0;
30;2;17.0508003235;14.5;6;26.9512542486;1;19.5;12.5;5;25.0;
31;2;16.064031601;15.5;6;27.0107431412;1;19.5;12.5;5;25.0;
32;2;15.0774173737;16.5;6;27.0708494186;1;19.5;12.5;5;25.0;
33;2;14.4659414291;17.5;6;27.1315076351;1;19.5;12.5;5;25.0;
