Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.6999998093;5;21.0;
4;1;8.0;11.0;6;20.0;1;8.14999961853;10.5;5;21.0;
5;1;8.0;10.0;6;20.0;1;8.14999961853;10.5;5;21.0;
6;1;9.0;10.0;6;20.0;1;9.14999961853;10.5;5;21.0;
7;2;9.5;10.3000001907;5;21.0;1;9.72500038147;10.5;5;21.0;
8;2;9.72500038147;10.0;5;21.469999671;1;9.72500038147;10.5;5;21.4200000763;
9;2;9.83075046539;10.1999998093;5;21.8705514669;1;9.81949996948;10.7100000381;5;21.758436203;
10;2;9.92087364197;10.3632001877;5;22.2129640579;1;9.8956489563;10.8792181015;5;22.0;
11;2;9.99791717529;10.4951858521;5;23.3718163967;1;9.94999980927;11.0;5;23.5400009155;
12;2;10.2586593628;11.0209560394;5;24.3595588207;1;10.296500206;11.7700004578;6;24.8252849579;
13;2;12.0480051041;11.4571752548;5;25.1902494431;1;11.9499998093;12.4126424789;5;25.8616695404;
14;2;14.0480051041;11.8107032776;5;25.884378314;1;12.9499998093;12.9308347702;5;26.6732940674;
15;2;16.0480060577;12.0916318893;5;26.4648982286;1;13.9499998093;13.3366470337;5;27.2939033508;
16;2;17.137348175;12.3113050461;5;26.9543362856;1;14.9499998093;13.6469516754;5;27.759563446;
17;2;18.171163559;12.4808797836;5;27.1521308422;1;15.9499998093;13.879781723;5;28.0;
18;2;19.2070636749;12.5;6;27.3210272789;1;16.9500007629;14.0;5;28.0;
19;2;20.1472320557;12.5;6;27.4992582798;1;17.9500007629;14.0;5;28.0;
20;2;20.1873321533;12.5;6;27.6867210865;1;18.2999992371;14.0;5;28.0;
21;2;20.229511261;12.5;6;27.8832085133;1;18.2999992371;14.0;5;28.0;
22;2;20.2737216949;12.5;6;28.0884003639;1;18.2999992371;14.0;5;28.0;
23;2;20.3198890686;12.5;7;28.3018581867;1;18.2999992371;14.0;6;28.0;
24;3;20.3679180145;12.5;6;28.5230212212;1;18.2999992371;14.0;6;28.0;
25;3;20.417678833;12.5;6;28.7512066364;1;18.2999992371;14.0;6;28.0;
26;3;20.4690208435;12.5;6;28.9856116772;1;18.2999992371;14.0;6;28.0;
27;3;20.5217628479;12.5;6;29.2253217697;1;18.2999992371;14.0;6;28.0;
28;4;20.5756969452;12.5;5;29.4693202972;1;18.2999992371;14.0;6;28.0;
29;4;18.6305961609;13.5;5;29.716504097;1;18.2999992371;14.0;7;28.0;
30;4;17.686214447;14.5;5;29.9657006264;1;18.2999992371;14.0;7;28.0;
31;4;16.7422828674;15.5;5;30.2156887054;1;18.2999992371;14.0;7;28.0;
32;4;15.7985305786;16.5;5;30.4652233124;1;18.2999992371;14.0;7;28.0;
33;4;15.229675293;17.5;5;30.7130589485;1;18.2999992371;14.0;7;28.0;
34;4;15.2854385376;18.5;5;30.9579744339;1;18.2999992371;14.0;7;28.0;
35;4;15.3405437469;19.5;6;31.198797226;1;18.2999992371;14.0;7;28.0;
36;4;15.3947296143;20.5;6;31.4344263077;1;18.2999992371;14.0;7;28.0;
37;4;15.4477462769;21.5;6;31.6638503075;1;18.2999992371;14.0;8;28.0;
38;4;15.4993667603;22.5;6;31.8861660957;1;18.2999992371;14.0;8;28.0;
39;4;15.5493869781;23.5;7;32.1005897522;2;18.2999992371;14.0;7;28.0;
40;4;15.5976333618;24.5;7;32.3064651489;2;18.2999992371;14.0;7;28.0;
41;4;14.0;26.5;8;32.5032672882;2;18.2999992371;14.0;7;28.0;
42;4;14.0;28.5;8;32.6906037331;2;18.2999992371;14.0;8;28.0;
43;4;14.0;30.5;8;32.8682103157;2;18.2999992371;14.0;8;28.0;
44;5;14.0;32.5;7;33.035943985;2;18.2999992371;14.0;8;28.0;
45;5;14.0;34.5;8;33.1937742233;2;18.2999992371;14.0;8;28.0;
46;5;15.0;33.2356414795;8;33.3417720795;2;18.2999992371;14.0;8;28.0;
47;5;14.0;34.3392410278;9;33.4800977707;2;18.2999992371;14.0;8;28.0;
48;5;14.0;35.4360694885;10;33.6089868546;2;18.2999992371;14.0;8;28.0;
49;5;15.0;33.5262908936;10;33.7287387848;2;18.2999992371;15.0;9;28.0;
50;5;14.0;34.610118866;8;33.8397035599;2;18.2999992371;16.0;9;28.0;
51;5;15.0;33.610118866;9;34.9422702789;2;18.2999992371;17.0;9;28.0;
52;5;17.0;34.6101150513;9;35.0499999523;2;18.2999992371;18.0;10;28.0;
53;5;20.0;32.6101150513;9;36.6219754219;2;18.2999992371;19.0;10;28.0;
54;5;22.0;31.6101169586;11;37.9133962393;2;18.2999992371;19.0;10;28.0;
55;6;23.1426906586;31.5;8;53.9584714174;2;18.2999992371;19.0;10;28.0;
56;6;25.1957645416;32.5;9;55.5484318733;2;18.2999992371;19.0;11;28.0;
57;6;26.6689033508;32.5;9;56.8934159279;2;18.2999992371;19.0;11;28.0;
58;6;27.8073978424;32.5;12;57.7642050982;3;18.2999992371;19.0;10;28.0;
59;6;28.8570709229;33.5;12;58.5068222284;3;18.2999992371;19.0;10;28.0;
60;6;29.8952064514;34.5;12;59.1624544859;3;18.2999992371;19.0;10;28.0;
61;6;30.9299468994;34.5;13;59.7385524511;3;18.2999992371;19.0;10;28.0;
62;7;31.083278656;34.5;14;60.2434430122;3;18.2999992371;19.0;11;28.0;
63;7;31.181098938;34.5;13;60.6156082153;3;18.2999992371;19.0;11;28.0;
64;8;31.2486209869;34.5;9;78.0567884445;3;18.2999992371;19.0;11;28.0;
65;8;32.2750015259;35.5;8;78.9950501919;3;18.2999992371;19.0;10;28.0;
66;8;33.2750015259;36.5;10;79.8219681978;3;18.2999992371;19.0;11;28.0;
67;8;33.2750015259;37.5;12;80.5402126312;3;18.2999992371;19.0;11;28.0;
68;9;33.2750015259;38.5;9;81.1570711136;4;19.2999992371;20.0;11;29.0;
69;9;33.2750015259;39.5;9;81.6827363968;4;20.2999992371;21.0;11;29.1599999666;
70;9;33.2750015259;40.5;11;82.1287822723;4;20.2999992371;22.0;11;29.3437439203;
71;9;33.2750015259;41.5;11;82.5069684982;4;20.2999992371;23.0;11;29.5541238785;
72;9;33.2750015259;42.5;11;82.7068536282;4;20.2999992371;24.0;11;29.7941719294;
73;9;33.2750015259;43.5;11;82.7939035892;4;20.2999992371;24.8970870972;12;31.0669906139;
74;9;33.2750015259;44.5;11;85.6541371346;4;21.2999992371;26.0334949493;12;31.4056544304;
75;9;33.7137489319;46.0800018311;11;87.9524183273;4;22.2999992371;26.0;12;31.7836694717;
76;8;34.0584068298;47.5082702637;11;89.7795908451;5;22.2999992371;27.0;10;32.2036163807;
77;8;34.3255844116;48.8158721924;11;91.1615900993;5;22.2999992371;28.0;11;32.6675460339;
78;8;34.516834259;50.0;13;93.7024512291;5;22.2999992371;29.0;12;33.1767472029;
79;8;35.6043281555;52.0;13;94.7679052353;5;22.2999992371;29.0;12;33.7314988375;
80;8;34.6043281555;55.0;12;95.5606179237;5;22.2999992371;29.0;12;35.261677742;
81;8;34.1636352539;58.0;13;96.2031726837;5;22.4890003204;29.4200000763;13;36.6361320019;
82;8;34.1706466675;61.0;14;97.7254502773;5;22.6291618347;29.7314720154;15;37.8975884914;
83;9;35.1777915955;65.0;13;98.074763298;6;22.7310562134;29.9579029083;14;38.8403582573;
84;9;36.1850624084;68.0;14;98.4398423433;6;22.75;30.0;14;39.7389003038;
85;9;36.2378158569;72.0;17;98.8392819166;6;22.75;30.0;15;40.6647262573;
86;9;36.2929000854;76.0;18;99.2773407698;6;22.75;30.0;15;41.6030499935;
87;9;35.3567848206;75.0;19;99.7584691048;6;22.75;30.0;15;42.5378508568;
88;10;35.4305381775;76.0;19;100.287149906;6;22.75;30.0;14;43.4529613256;
89;10;35.2152290344;77.0;19;100.867672563;6;22.75;30.0;13;45.3332167864;
90;11;34.5868911743;79.0;17;101.503831148;6;21.75;33.0;12;46.2255066633;
91;12;34.6964302063;81.0;16;102.198548555;6;21.75;36.0;12;47.094337821;
92;12;34.8195610046;83.0;17;102.953436375;6;20.75;36.0;12;47.9053537846;
93;12;34.9566955566;86.0;17;103.768319488;6;19.75;38.0;13;48.6553063393;
94;12;35.107837677;88.3000030518;17;104.64076817;6;18.75;41.0;13;49.343998909;
95;12;35.2724876404;90.0723953247;19;105.565710902;6;18.0;43.0;13;49.9737706184;
96;12;35.4495391846;91.0913619995;19;107.535206914;6;18.0;45.0;13;50.5488539934;
97;12;36.6372375488;93.1104888916;18;109.568455219;6;18.0;47.8731956482;12;51.0747283697;
98;13;38.8331794739;96.129776001;17;110.832707047;6;18.0;49.9452667236;13;51.5575174093;
99;13;38.0343894958;100.14919281;18;115.659180284;6;18.0;51.0;13;52.0035122633;
100;14;37.961479187;105.966209412;16;119.807165027;6;18.0;53.0;13;52.3540046215;
101;14;38.4905319214;111.32195282;17;123.402680159;6;18.0;55.0;14;52.5752716064;
102;14;40.9375038147;109.308502197;19;126.51951623;7;18.0;57.0;14;52.8057181835;
103;14;43.3064613342;107.991325378;20;128.756972909;7;18.0;59.0;14;53.0450687408;
104;14;45.5549316406;107.089767456;20;131.911743402;7;18.0;61.0;14;53.2929327488;
105;14;47.8625831604;107.142295837;21;134.090080023;7;18.7104320526;63.0;15;53.5488004684;
106;15;47.1104354858;109.196159363;21;137.215177059;7;18.7590446472;65.0;16;53.8120391369;
107;16;45.2934761047;113.251274109;20;139.24987936;8;19.0;64.0;15;54.081895113;
108;16;44.4519805908;117.307548523;21;141.278334975;8;18.0;66.0;15;55.3574972153;
109;17;45.5868301392;120.910835266;21;143.301596642;8;20.0;66.0;16;55.6678659916;
110;17;46.6997909546;123.992431641;22;145.31730926;8;21.0;66.0;16;55.9825162888;
111;17;48.7931785583;124.075195312;23;147.31816113;8;20.0;69.0;16;56.3002839088;
112;17;49.9008293152;120.158935547;23;148.006254554;8;21.0;69.0;17;56.6199417114;
113;17;51.705745697;118.953041077;25;147.867617249;8;21.0;69.0;17;57.9402221441;
114;18;53.5301704407;118.254737854;23;147.816733479;8;21.0;74.0;18;58.2898408175;
115;19;54.3498153687;117.869262695;21;177.544007301;8;23.0;76.0;18;58.6381108761;
