Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.6999998093;5;21.0;
4;2;8.0;11.3000001907;4;21.0;1;8.14999961853;10.5;5;21.0;
5;2;8.14999961853;10.0;4;21.1200000048;1;8.14999961853;10.5;5;21.0;
6;2;9.25199985504;10.0;4;21.2530560493;2;9.14999961853;10.6999998093;4;22.0;
7;2;9.78193759918;10.0;4;21.4002518654;2;9.95000076294;10.5;4;22.0900000334;
8;2;9.81505680084;10.0;4;21.9766796827;2;9.9702501297;10.5;4;22.618019104;
9;2;9.94475364685;10.1999998093;4;22.4989564419;2;10.0890541077;10.7100000381;4;23.0738848448;
10;2;10.0622644424;10.3632001877;4;22.9796661139;2;10.1916246414;10.8792181015;4;23.442843914;
11;2;10.1704244614;10.4951858521;4;24.3497066498;2;10.2746400833;11.0;4;25.2073103189;
12;2;10.4786844254;11.0209560394;4;25.5842888355;2;10.6716451645;11.7700004578;5;26.7482377291;
13;2;12.3235692978;11.4571752548;4;26.7006480694;2;12.3826637268;12.4126424789;5;28.074546814;
14;2;14.3235702515;11.8107032776;4;27.7219514847;2;14.3826637268;12.9308347702;5;29.2133922577;
15;2;16.3235702515;12.0916318893;4;28.6730384827;2;16.3826637268;13.3366470337;5;30.2012972832;
16;2;17.634180069;12.3113050461;4;29.5772051811;2;17.6041641235;13.6469516754;5;31.0766849518;
17;2;18.76130867;12.4808797836;4;30.2332024574;2;18.696352005;13.879781723;5;31.7709991932;
18;2;19.9003047943;12.5;4;30.9013147354;2;19.7984752655;14.0;5;32.2698645592;
19;2;20.952796936;12.5;4;31.6152963638;2;20.9107208252;14.0;5;32.8134241104;
20;2;21.1134414673;12.5;5;32.3684282303;2;21.383020401;14.0;5;33.400015831;
21;2;21.2828960419;12.5;6;33.151807785;2;21.5150032043;14.0;5;34.0264167786;
22;2;21.4591560364;12.5;6;33.9546136856;2;21.6559429169;14.0;5;34.6877307892;
23;3;21.639787674;12.5;6;34.7645931244;2;21.8047389984;14.0;5;35.3773875237;
24;3;21.8220329285;12.5;6;35.5687475204;2;21.9599113464;14.0;5;36.0872850418;
25;3;22.0029678345;12.5;6;36.3541374207;2;22.119638443;14.0;6;36.8080816269;
26;3;20.0029678345;13.5;6;37.1087179184;2;22.2818183899;14.0;7;37.5296325684;
27;3;19.625;14.5;4;37.8220767975;2;22.4441661835;14.0;7;38.2415313721;
28;3;17.625;16.5;4;38.485994339;2;22.6043434143;14.0;7;38.9337024689;
29;3;16.625;18.5;4;39.0947532654;2;22.7600822449;14.0;7;39.5969734192;
30;3;15.625;20.5;4;39.6451883316;2;20.9093170166;15.0;9;40.2235612869;
31;3;15.625;19.5;4;40.1365070343;2;20.0503005981;16.0;9;40.8074121475;
32;3;16.0;19.5;4;40.5699396133;2;19.1816673279;17.0;9;41.344373703;
33;3;15.0;18.5;4;40.9482984543;3;19.302482605;18.5;9;42.8321943283;
34;3;15.0;17.5;4;41.275510788;3;19.4122428894;19.0;9;43.4303714037;
35;3;16.0;17.5;5;41.556180954;4;19.4718341827;20.0;6;59.0036436319;
36;3;17.0;18.5;5;41.7952213287;4;20.600818634;21.0;6;60.3070802689;
37;3;17.0;18.2000007629;5;42.9975662231;4;21.3756656647;22.7770614624;6;61.5161186457;
38;3;18.0;18.2000007629;5;43.0399999619;4;22.4430789948;23.8970851898;6;62.636603117;
39;3;19.0;18.2280006409;6;43.0811839104;4;23.5015220642;25.0334949493;7;63.6779825687;
40;3;20.0;18.2568283081;7;43.1235535145;4;25.0863857269;25.0;6;64.6520965099;
41;3;21.0;18.2864875793;8;43.1671074629;4;25.5949802399;27.0;6;65.4309401512;
42;3;21.8875999451;18.5;8;43.211841464;4;26.6000003815;28.5559253693;6;66.1710467339;
43;4;21.625;20.3482894897;6;53.2577478886;4;28.6000003815;26.7720146179;6;66.9036750793;
44;4;22.625;21.5;6;53.7048156261;4;31.5047054291;28.7720146179;6;67.5427899361;
45;4;23.9185829163;23.5;6;54.1274311543;4;33.622127533;30.7720146179;6;68.1086950302;
46;4;23.9294319153;25.5;6;54.5243147612;4;35.2994537354;32.7720146179;6;68.7161855698;
47;4;24.9405345917;26.5;6;54.8948630095;4;36.4361419678;34.0;7;69.3611893654;
48;4;25.9518871307;28.5;6;55.2390809059;4;37.5812683105;35.0;8;70.0379443169;
49;4;26.9634819031;30.5;7;55.5574922562;4;36.4499969482;35.0;9;70.7390680313;
50;4;27.8003120422;32.5;8;55.851044178;4;37.4499969482;34.0;10;71.4557781219;
51;4;27.812374115;35.5;8;56.1210061312;5;38.3525466919;34.0;9;72.1782588959;
52;4;27.4500007629;37.5;9;56.3688724041;5;38.5151062012;34.0;9;72.8961582184;
53;4;27.8371505737;37.5;10;56.5962774754;5;38.6766357422;34.0;9;73.5991659164;
54;5;28.8498497009;39.5;9;57.8049236536;5;38.8348121643;34.0;9;74.2776012421;
55;5;29.8627357483;40.9852752686;10;57.9324454069;5;38.9874572754;34.0;9;74.9229507446;
56;5;30.1097984314;42.0;10;58.032438159;5;39.1326637268;34.0;9;75.5282850266;
57;5;30.1322975159;43.0;11;58.1342966557;5;37.1326637268;35.0;9;76.088514328;
58;5;30.155216217;44.0;11;58.2379568815;5;38.1326637268;34.0;9;77.6004695892;
59;5;30.1785392761;44.0;12;58.3433490992;5;40.1326637268;35.0;10;78.0828213692;
60;6;30.202255249;44.0;12;58.4503977299;5;41.6141357422;36.0;10;78.5160679817;
61;6;29.9433479309;44.0;12;58.5590212345;5;41.9411125183;37.0;11;81.0813604593;
62;6;30.2507781982;44.0;13;58.6691324711;7;41.4991989136;40.4199981689;9;84.2011650801;
63;6;30.275554657;44.0;13;58.7806390524;7;43.7081756592;41.7314720154;9;86.1182364225;
64;6;30.3006439209;44.0;14;58.8934429884;7;42.5798034668;43.957901001;10;87.5039876699;
65;6;30.3260269165;44.0;15;59.0074419975;7;42.6053009033;46.0;11;88.6539906263;
66;6;30.3516731262;44.0;16;59.1225290298;7;42.8317756653;48.0;11;89.4821795225;
67;6;30.3775672913;44.0;16;59.2385926247;7;42.6817817688;49.5825614929;12;90.1100587845;
68;6;30.4036827087;44.0;16;59.3555175066;8;41.7555351257;48.5932502747;11;90.7418996096;
69;6;30.4299888611;44.0;16;61.5002962351;8;41.8402290344;48.6040077209;11;92.2825018167;
70;6;30.8540687561;44.6300010681;17;63.307698369;8;42.25;51.5932502747;11;92.811111927;
71;7;31.208820343;45.1353607178;16;64.8193932772;8;43.25;54.5932502747;12;93.4004358053;
72;7;30.3816661835;47.5344276428;16;66.0809719563;8;40.25;59.5932502747;12;94.0522938967;
73;8;30.5761032104;49.2738456726;15;66.9590167999;8;40.2000007629;64.59324646;12;94.7666993141;
74;8;31.9157791138;46.0;15;67.4715213776;9;40.2000007629;69.59324646;12;95.5413910151;
75;8;31.2645149231;47.0;15;67.880674839;9;40.2000007629;74.59324646;12;96.3714449406;
76;8;30.1231498718;47.0;16;68.1124699116;9;40.2000007629;79.59324646;13;97.249045372;
77;8;29.1753044128;48.0;16;69.3464345932;9;40.2000007629;84.59324646;13;98.1634963751;
78;8;30.6491889954;50.0;16;69.6420755386;9;40.2000007629;89.59324646;13;99.1015411615;
79;8;31.7999992371;54.0;17;69.941848278;9;40.2000007629;93.4575195312;17;100.048005939;
80;9;33.0526657104;58.0;17;70.2453023195;11;40.2000007629;97.4687423706;17;101.986732483;
81;9;33.7307548523;59.0;17;70.551971674;11;41.2000007629;102.479980469;17;103.081694603;
82;9;34.0404663086;62.0;17;70.8613785505;11;42.2000007629;107.491226196;17;104.168417335;
83;10;35.0830001831;65.0;18;72.1730376482;11;42.5128135681;112.502479553;18;105.238700032;
84;11;36.1258201599;68.0;17;72.5764569044;11;42.2000007629;117.513725281;18;106.287624002;
85;11;33.8349075317;73.0;17;75.6728549004;11;43.2000007629;119.183662415;19;107.313794374;
86;12;34.2057952881;79.6999969482;16;79.2919209003;11;42.2000007629;123.205970764;19;109.31914711;
87;13;34.5001373291;85.2292022705;16;81.5896574259;11;43.2000007629;128.228302002;22;110.368376493;
88;13;35.9757957458;86.6162643433;17;83.5598480701;12;47.2000007629;124.250648499;22;111.411046982;
89;14;37.1778297424;88.8922729492;16;85.1055119038;13;44.2000007629;129.272994995;22;112.454712987;
90;14;38.3052940369;92.0;16;87.3653894663;14;44.2000007629;134.295349121;22;113.506729245;
91;14;40.3852577209;94.0459823608;16;88.4577593803;15;45.2000007629;136.947494507;21;114.573214531;
92;14;42.3660125732;95.34765625;17;89.4467331171;15;46.2000007629;138.97869873;23;115.658136606;
93;14;42.4473991394;98.3957366943;18;91.4556411505;16;47.2000007629;142.009857178;23;116.653858542;
94;15;43.529258728;101.569976807;17;92.5122933388;16;48.2000007629;145.040939331;23;117.61424458;
95;15;44.1751098633;104.742622375;18;93.5849796534;16;50.25;142.071960449;23;118.614369988;
96;16;44.6938781738;107.912849426;18;94.6712867022;16;48.25;145.102874756;27;119.640962481;
97;16;44.2676124573;111.079849243;19;95.7686977386;16;48.25;148.133682251;28;120.851498365;
98;16;44.8589401245;114.242874146;19;96.8745983839;16;50.25;145.212188721;29;122.074110508;
99;16;44.9414024353;117.401260376;20;97.9862769842;16;48.25;147.796676636;30;123.293514013;
100;17;45.0237045288;120.554412842;20;100.100930214;16;48.25;150.040771484;29;124.495526075;
101;18;46.1057662964;124.701812744;17;101.235670447;16;50.25;146.299728394;28;126.668019414;
102;18;47.1875038147;128.843048096;18;103.367730618;16;49.25;149.573791504;28;128.861584544;
103;18;50.2688217163;131.701812744;20;104.534084439;16;52.25;151.862976074;28;131.072790384;
104;19;52.2903938293;134.501815796;19;105.692848921;16;57.25;150.167129517;29;133.301209807;
105;19;52.4655647278;135.726669312;21;106.840950847;16;60.25;153.48576355;29;135.549029231;
106;21;52.6372947693;135.759002686;19;108.975329995;16;65.25;154.818145752;31;136.82046175;
107;21;53.8051757812;136.791717529;19;111.122981071;16;68.2999954224;157.163223267;32;138.061080813;
108;21;55.9688148499;138.824829102;21;112.747974992;16;69.3499984741;159.519638062;29;139.274217963;
