Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.6999998093;5;21.0;
4;1;8.0;11.0;6;20.0;1;8.14999961853;10.5;5;21.0;
5;1;8.0;10.0;6;20.0;1;8.14999961853;10.5;5;21.0;
6;1;9.0;10.0;6;20.0;1;9.14999961853;10.5;5;21.0;
7;1;9.5;10.0;6;20.0;1;9.72500038147;10.5;5;21.0;
8;1;9.5;10.0;6;20.3999996185;1;9.72500038147;10.5;5;21.4200000763;
9;1;9.59000015259;10.1999998093;6;20.7264003754;1;9.81949996948;10.7100000381;5;21.758436203;
10;1;9.66343975067;10.3632001877;6;20.9903717041;1;9.8956489563;10.8792181015;5;22.0;
11;2;10.7228336334;10.7951860428;5;23.0419120789;1;9.94999980927;11.0;5;23.5400009155;
12;2;11.9594306946;11.0209560394;5;23.9543504715;1;10.296500206;11.7700004578;6;24.8252849579;
13;2;14.7228336334;11.4571752548;5;24.7025904655;1;11.9499998093;12.4126424789;6;25.8616695404;
14;2;16.7228336334;12.135058403;5;25.3068172932;1;12.9499998093;12.9308347702;6;26.6732940674;
15;2;18.7228336334;12.4286975861;5;25.789717555;1;13.9499998093;13.3366470337;6;27.2939033508;
16;2;19.7228336334;12.6614370346;5;26.1736010313;1;14.9499998093;13.6469516754;6;27.759563446;
17;2;20.7228336334;12.8444318771;5;26.2577478886;1;15.9499998093;13.879781723;6;28.0;
18;2;22.0058269501;12.5;6;26.3048160076;1;16.9500007629;14.0;5;28.0;
19;2;22.9185829163;12.5;6;26.3530313969;1;17.9500007629;14.0;5;28.0;
20;2;22.625;13.0412120819;6;26.4023760557;1;18.2999992371;14.0;5;28.0;
21;2;22.625;13.0609502792;6;26.4528282881;1;18.2999992371;14.0;5;28.0;
22;2;22.625;13.0811309814;6;26.5043625832;1;18.2999992371;14.0;5;28.0;
23;3;22.9634819031;12.5;5;26.5569496155;1;18.2999992371;14.0;6;28.0;
24;3;22.625;12.5;5;26.6105561256;1;18.2999992371;14.0;6;28.0;
25;3;22.9873752594;12.5;7;26.6651450396;1;18.2999992371;14.0;6;28.0;
26;4;22.9996566772;12.5;6;26.72067523;1;18.2999992371;14.0;6;28.0;
27;4;21.0121517181;13.5;6;26.7771017551;1;18.2999992371;14.0;6;28.0;
28;4;20.024848938;14.5;6;26.8343759775;1;18.2999992371;14.0;6;28.0;
29;4;19.0377349854;15.5;6;26.8924454451;1;18.2999992371;14.0;7;28.0;
30;4;18.0508003235;16.5;6;26.9512542486;1;18.2999992371;14.0;8;28.0;
31;4;17.439031601;17.5;7;28.0107431412;1;18.2999992371;14.0;8;28.0;
32;4;18.4524173737;18.5;7;28.1108493805;1;18.2999992371;14.0;8;28.0;
33;4;19.4659423828;19.5;8;28.2126915455;1;18.2999992371;14.0;8;28.0;
34;4;19.7228546143;20.5;8;28.3162033558;1;18.2999992371;14.0;8;28.0;
35;4;19.7461471558;21.5;8;28.4213126898;1;18.2999992371;14.0;8;28.0;
36;4;19.7697944641;22.5;8;28.5279425383;1;18.2999992371;14.0;8;28.0;
37;4;19.7937870026;23.5;8;28.6360108852;1;18.2999992371;14.0;8;28.0;
38;4;19.8181018829;24.5;9;28.7454307079;1;18.2999992371;14.0;8;28.0;
39;4;19.8427219391;25.5;8;29.8561108112;1;18.2999992371;14.0;9;28.0;
40;5;20.8676242828;26.5;5;58.7579554319;1;18.2999992371;14.0;9;28.0;
41;5;22.0;29.2280006409;4;60.9245494604;1;18.2999992371;14.0;9;28.0;
42;5;23.0;31.0964546204;4;62.6150681973;1;18.2999992371;14.0;10;28.0;
43;5;24.0;32.1697463989;4;63.8886269331;1;18.2999992371;14.0;10;28.0;
44;5;26.2625999451;34.1697463989;4;64.8299845457;1;18.2999992371;14.0;10;28.0;
45;5;28.9956092834;37.1697502136;4;65.5243059397;1;18.2999992371;14.0;11;28.0;
46;5;30.2829933167;40.1697502136;5;65.7124626637;1;18.2999992371;14.0;11;28.0;
47;5;32.6807327271;43.1697502136;5;65.8776950836;1;18.2999992371;14.0;11;28.0;
48;5;34.7042808533;45.3832626343;6;66.0443382263;1;18.2999992371;14.0;11;28.0;
49;5;35.625;46.6219749451;7;66.212250948;1;18.2999992371;15.0;12;28.0;
50;5;37.3776855469;43.6818847656;7;66.3812874556;1;18.2999992371;16.0;12;28.0;
51;5;38.6780090332;41.6818847656;8;66.5512981415;1;18.2999992371;17.0;12;28.0;
52;6;39.625;44.0894050598;7;67.7221291065;1;18.2999992371;18.0;13;28.0;
53;6;41.8783187866;42.6818847656;7;67.9336236715;1;18.2999992371;19.0;13;28.0;
54;6;42.037071228;42.6818847656;7;68.1468064785;1;18.2999992371;19.0;13;28.0;
55;6;42.202671051;43.0348548889;7;68.3615164757;1;18.2999992371;19.0;14;28.0;
56;6;41.449848175;45.0779418945;6;68.5775885582;1;18.2999992371;19.0;15;28.0;
57;6;42.1023521423;45.1212692261;6;68.794852972;1;18.2999992371;19.0;15;28.0;
58;6;42.2773170471;45.0130729675;10;69.0131350756;1;18.2999992371;19.0;15;28.0;
59;6;42.1460342407;45.2084312439;10;69.2322576046;1;18.2999992371;19.0;16;28.0;
60;6;41.3435821533;46.6596755981;11;69.4520392418;1;18.2999992371;19.0;16;28.0;
61;6;41.8203735352;46.2959060669;11;73.0382115841;1;18.2999992371;19.0;16;28.0;
62;6;42.2481842041;48.5597839355;13;75.7455962896;1;18.2999992371;19.0;15;28.0;
63;6;43.5222206116;47.7536697388;14;77.7570030689;1;18.2999992371;19.0;16;28.0;
64;6;42.9841003418;50.210521698;14;79.2202554941;1;18.2999992371;19.0;16;28.0;
65;6;45.8245582581;44.7632408142;14;79.8404519558;1;18.2999992371;19.0;16;28.0;
66;6;44.4068450928;46.8535003662;16;80.2846457958;1;18.2999992371;19.0;18;28.0;
67;6;43.2999992371;50.7591819763;16;80.7325494289;1;18.2999992371;19.0;18;28.0;
68;6;44.2999992371;50.2094764709;16;81.1833314896;1;18.2999992371;19.0;19;28.0;
69;6;43.6009292603;47.0698890686;15;81.6361398697;1;18.2999992371;19.0;19;28.0;
70;6;42.1908950806;49.1535758972;17;82.0901048183;1;18.2999992371;19.0;18;28.0;
71;6;41.2423782349;50.8201141357;18;82.544346571;1;18.2999992371;19.0;18;28.0;
72;7;41.0398635864;49.8950958252;17;82.9979801178;1;18.2999992371;19.0;19;28.0;
73;8;39.4418334961;53.971862793;13;84.4501225948;1;18.2999992371;19.0;19;28.0;
74;8;40.1638183594;58.0502853394;14;85.0998980999;1;18.2999992371;19.0;19;28.0;
75;8;40.5630569458;57.5801467896;14;85.7840439081;1;18.2999992371;19.0;20;28.0;
76;8;40.9577865601;60.238067627;15;86.5077451468;1;18.2999992371;19.0;21;28.0;
77;8;43.0475845337;61.238067627;15;87.2767367363;1;18.2999992371;19.0;21;28.0;
78;8;43.7201919556;63.238067627;16;88.0971541405;1;18.2999992371;19.0;21;28.0;
79;9;43.5487213135;65.238067627;15;88.9752874374;1;18.2999992371;19.0;21;28.0;
80;9;44.0;69.238067627;15;89.9172077179;1;18.2999992371;19.0;21;28.0;
81;9;46.0;69.6324234009;13;90.9282500744;1;18.2999992371;19.0;22;28.8400001526;
82;9;45.8291625977;68.6324234009;13;92.0123491287;1;18.4890003204;19.4200000763;22;29.4629440308;
83;9;45.0569496155;71.6324234009;13;93.1712460518;1;18.6291618347;19.7314720154;22;29.9158058167;
84;9;45.0;76.6324234009;13;94.3736000061;1;18.7310562134;19.9579029083;22;30.0;
85;9;47.2999992371;76.6324234009;14;95.6158242226;1;18.75;20.0;22;30.0;
86;10;49.1426429749;79.8605499268;13;97.9197225571;1;18.75;20.0;22;30.0;
87;11;50.3862686157;82.9315490723;10;109.350845456;1;18.75;20.0;21;30.0;
88;11;51.6415252686;88.5458602905;11;115.154912591;1;18.75;20.0;21;30.0;
89;11;53.5463676453;93.9501800537;11;121.272458315;1;18.75;20.0;19;30.0;
90;11;54.520565033;99.3637619019;12;126.993503928;1;18.75;20.0;19;30.0;
91;12;53.8724632263;104.763870239;15;132.312305689;1;18.75;20.0;20;30.0;
92;13;55.577709198;107.382743835;16;137.229316592;1;18.75;20.0;20;30.0;
93;13;56.9233665466;110.563995361;17;141.577877879;2;19.75;21.0;19;31.0;
94;13;57.5205383301;113.530723572;20;145.368247628;2;20.75;22.0;20;31.1799999475;
95;15;58.0029983521;116.323043823;19;148.849284291;2;21.015499115;23.0;21;31.3902759552;
96;15;58.4285354614;119.087600708;19;154.116831779;2;20.75;24.0;21;31.6350997686;
97;15;58.9123764038;122.881027222;21;159.166174173;2;20.75;25.0;21;31.9190331697;
98;16;60.3415412903;127.681739807;22;164.962857485;2;20.75;25.0;21;32.2468225956;
99;17;62.718208313;129.578582764;21;169.721003771;2;20.75;25.0;21;32.6232366562;
100;17;64.0465621948;132.453918457;22;174.139553428;2;20.75;25.0;20;33.0528378487;
