Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;2;7.0;14.3000001907;3;21.0;1;6.0;12.6999998093;4;21.0;
2;2;9.0;13.0;3;21.0599999428;2;7.0;11.8999996185;4;22.0;
3;2;11.0;12.0;2;21.1229639053;2;8.14999961853;10.6999998093;4;22.0900000334;
4;2;11.1684446335;11.0;2;21.1889609098;2;8.31349945068;10.5;3;22.1871190071;
5;2;12.2675161362;10.0;2;21.2580518723;2;8.32806777954;10.5;3;22.2917383909;
6;2;12.7830619812;10.0;2;21.3302885294;2;9.44064044952;10.5;3;22.4042263031;
7;2;12.7993144989;10.0;2;21.8190145493;2;10.0409517288;10.5;3;22.5249304771;
8;2;12.9092788696;10.1999998093;2;22.2388005257;2;10.0681095123;10.5;3;23.0894187689;
9;2;13.0037298203;10.3632001877;2;23.4601941109;2;10.1951189041;10.7100000381;3;23.5836213827;
10;2;13.2785434723;10.9097137451;2;24.5095257759;2;10.3063154221;10.8792181015;3;23.9926425219;
11;2;13.5146427155;11.3658018112;2;25.3986660242;2;10.3983440399;11.0;3;25.8316864967;
12;2;15.5146427155;12.3145122528;3;26.1468911171;2;10.8121290207;11.7700004578;4;27.4540388584;
13;2;17.114610672;12.6575469971;3;26.7767255306;2;12.541469574;12.4126424789;4;28.8682081699;
14;2;18.114610672;12.9395227432;3;27.3107893467;2;14.541469574;12.9308347702;4;30.1005516052;
15;2;19.6587181091;12.446267128;5;27.6016011238;2;16.541469574;13.3366470337;4;31.1863336563;
16;2;20.6999702454;12.5;5;27.7940778732;2;17.8257961273;13.6469516754;4;32.1621966362;
17;2;21.7432785034;12.5;6;27.9954168797;2;18.9405918121;13.879781723;4;32.9572491646;
18;2;22.7885799408;12.5;6;28.2052333355;2;20.0653820038;14.0;4;33.5542383194;
19;2;23.3461780548;12.5;6;28.4230215549;2;21.1997051239;14.0;4;34.1899633408;
