Turn;Planet_count_KI_1_SP_REPLICON;Research_KI_1_SP_REPLICON;Industry_KI_1_SP_REPLICON;Ships_KI_1_SP_REPLICON;Population_KI_1_SP_REPLICON;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;6.0;14.0;4;20.0;1;6.0;12.6999998093;4;21.0;
2;1;7.0;13.0;6;20.0;1;7.0;11.6999998093;5;21.0;
3;1;8.0;12.0;6;20.0;1;8.0;10.6999998093;5;21.0;
4;1;8.0;11.0;6;20.0;1;8.14999961853;10.5;5;21.0;
5;1;8.0;10.0;3;20.0;1;8.14999961853;10.5;5;21.0;
6;1;9.0;10.0;3;20.0;1;9.14999961853;10.5;5;21.0;
7;2;9.5;10.3000001907;2;21.0;1;9.72500038147;10.5;5;21.0;
8;2;9.72500038147;10.0;2;21.4999996424;1;9.72500038147;10.5;5;21.4200000763;
9;2;9.8375005722;10.1999998093;2;21.9353003502;1;9.81949996948;10.7100000381;5;21.758436203;
10;2;9.93544197083;10.3632001877;2;22.3176362514;2;9.8956489563;11.0792179108;4;23.0;
11;2;10.0214681625;10.4951858521;2;23.5373773575;2;10.1750001907;11.0;4;24.7000008821;
12;2;10.2959108353;11.0209560394;2;24.5968167782;2;10.5574998856;11.7700004578;5;26.1690288782;
13;2;12.1013889313;11.4571752548;2;25.5111111403;2;12.2523422241;12.4126424789;5;27.4157934189;
14;2;14.1013889313;11.8107032776;2;26.3018171787;2;14.2523422241;12.9308347702;5;28.4674659967;
15;2;16.1013889313;12.0916318893;2;26.9928781986;2;16.2523422241;13.3366470337;5;29.3608939648;
16;2;17.2561435699;12.3113050461;2;27.6076834202;2;17.4150733948;13.6469516754;5;30.135217905;
17;2;18.3181667328;12.4808797836;2;27.9463441372;2;18.4845218658;13.879781723;5;30.7230784893;
18;2;19.385761261;12.5;3;28.2720229626;2;19.5626926422;14.0;5;31.1118502617;
19;2;20.3612060547;12.5;3;28.6230447292;2;20.6501674652;14.0;5;31.544028759;
20;3;20.4401855469;12.5;2;28.9990065098;2;21.0974063873;14.0;5;32.0209121704;
21;3;20.5247764587;12.5;2;29.3989467621;2;21.2047042847;14.0;5;32.5427899361;
22;3;20.6147632599;12.5;2;29.8212919235;2;21.3221263885;14.0;5;33.1086950302;
23;3;20.7097911835;12.5;2;30.2638244629;2;21.4494552612;14.0;6;33.7161855698;
24;3;20.8093605042;12.5;3;30.7236814499;2;21.5861415863;14.0;6;34.3611893654;
25;3;20.9128284454;12.5;3;31.19739151;2;21.7312660217;14.0;6;35.0379443169;
26;3;21.0194129944;12.5;3;31.680949688;2;21.8835372925;14.0;6;35.7390680313;
27;3;21.1282138824;12.5;3;32.1699318886;2;22.0412902832;14.0;6;36.4557781219;
28;3;21.2382354736;12.5;3;32.6596431732;2;22.2025489807;14.0;6;37.1782588959;
29;3;17.625;14.5;3;33.1452922821;2;22.36510849;14.0;6;37.8961582184;
30;3;16.625;16.5;4;34.6221752167;3;21.5266342163;15.5;5;39.5991659164;
31;3;16.625;18.5;4;35.1158602238;3;21.6848106384;16.0;5;40.4376012087;
32;3;16.625;20.5;4;35.5929434299;3;21.0984592438;17.0;5;41.266694665;
33;3;16.2386322021;22.5;4;36.0499904156;3;20.2850055695;18.0;5;42.082408905;
34;3;16.2456474304;24.5;4;36.4842302799;3;19.4685401917;19.0;5;42.8826862574;
35;3;16.2527923584;26.5;4;36.8936041594;3;19.3486042023;20.0;5;43.6674602032;
36;4;16.2600631714;28.0164375305;3;37.2767692804;3;19.5251789093;21.0;6;44.4384758472;
37;4;16.0;29.2616424561;4;37.6330652237;3;19.6986579895;22.0;6;45.1989505291;
38;4;16.2749786377;30.487657547;4;37.9624502659;3;19.8697624207;23.0;6;45.9531121254;
39;4;16.282617569;31.6944618225;4;38.2654163837;3;20.0394496918;24.0;7;46.7056746483;
40;4;16.2903709412;32.8824119568;5;38.5428891182;3;20.208776474;25.0;7;47.4612827301;
41;5;16.2982387543;34.0521659851;4;38.7961293459;3;20.3787879944;26.0;8;48.2239727974;
42;5;16.3062152863;35.2046203613;4;40.02663517;3;20.5503940582;27.0;8;48.9966840744;
43;5;17.3142967224;36.3408317566;4;40.2760560513;3;21.7242546082;25.0;9;49.7161855698;
44;5;19.322479248;35.3408317566;5;40.5073003769;3;20.8861427307;26.0;10;50.3611893654;
45;5;19.0;36.0976600647;5;40.6307703257;3;22.0312690735;26.0;11;51.0379443169;
46;5;19.59192276;33.3408317566;5;40.7118959427;3;21.6000003815;27.0;11;51.7390680313;
47;5;20.6101779938;33.3408317566;5;40.7945578098;3;23.6000003815;28.0;11;52.4557781219;
48;5;22.2811107635;33.5;6;40.8787230253;3;25.5025501251;29.0;12;53.1782588959;
49;5;23.2079925537;34.5;6;40.9643545151;3;26.6651077271;30.0;12;53.8961582184;
50;5;24.5919780731;35.5;8;41.0514107943;3;27.8266372681;29.0;12;54.5991659164;
51;5;25.6115665436;36.5;8;41.1398457289;3;28.2848129272;29.0;14;55.2776012421;
52;5;25.9249992371;37.5;8;41.2296087742;3;28.4374599457;29.0;14;55.9229507446;
53;5;26.8768863678;37.5;9;41.3206448555;3;28.5826644897;29.0;14;56.5282850266;
54;5;27.2971439362;35.5;9;41.4128943682;3;28.7188644409;29.0;15;57.088514328;
55;5;26.9003124237;35.5;9;41.506293416;4;28.84491539;29.0;15;57.6004695892;
56;5;27.3389148712;33.5;9;41.6007735729;4;28.960105896;29.0;15;58.0628213882;
57;5;26.5499992371;34.5;9;41.6962623596;4;29.0641345978;29.0;16;58.4758720398;
58;5;26.9371509552;33.8829116821;9;41.7926828861;4;29.1570701599;29.0;16;58.8412618637;
59;5;27.4033546448;32.5;9;41.8899546862;4;29.2392845154;29.0;16;59.1616458893;
60;5;27.0125045776;33.5;9;41.9879933596;4;29.3113708496;29.0;17;59.4403705597;
61;5;26.9757995605;33.5;8;42.0867108107;4;29.3740825653;29.0;17;59.6811828613;
62;5;27.0304775238;33.5;8;42.1860163212;4;29.4282646179;29.0;19;59.8879890442;
63;5;26.5499992371;34.9075202942;9;42.2858154774;5;27.4747962952;30.0;18;60.0;
64;6;27.5143070221;32.5;10;55.1360116005;5;26.5;31.0;19;60.0;
65;6;26.0572624207;35.5;12;55.8740057945;5;25.5;32.0;19;60.0;
66;6;26.043346405;37.5;13;56.5587277412;5;24.5;33.0;20;60.0;
67;6;26.0749225616;39.5;13;57.1874248981;5;23.5;34.0;20;61.7999992371;
68;6;26.0836734772;42.1212692261;14;57.7595164776;5;22.6079998016;33.0;20;63.2535362244;
69;7;27.5499992371;42.1647834778;13;58.2762567997;5;22.4014415741;33.0;21;64.417591095;
70;7;26.9249992371;42.2084312439;14;58.7403240204;5;21.4814510345;32.0;22;65.1052589417;
71;7;27.9249992371;44.252155304;16;59.1553928852;5;21.5493431091;32.0;22;65.6133613586;
72;7;28.9249992371;46.0630073547;15;61.1931142807;5;21.0065040588;31.0;22;66.0;
73;7;28.9249992371;45.1863937378;15;62.9081130028;5;21.0499992371;31.0;22;67.0;
74;7;30.1787757874;43.3545455933;16;64.3413648605;5;23.0499992371;33.0;22;67.0599999428;
75;7;28.7816314697;43.3981399536;17;65.5366692543;5;25.0499992371;35.0;23;67.1229639053;
76;7;29.5385780334;42.5;17;66.3876876831;5;26.3026676178;37.0;23;67.1889609098;
77;7;31.3734436035;41.5;17;67.9433193207;5;24.0499992371;40.0;25;67.2580518723;
78;8;32.7517814636;44.5;15;81.1374651194;5;23.3330612183;43.0;26;67.3302885294;
79;9;34.4647521973;48.5;15;82.2482129335;5;22.0499992371;45.665145874;26;67.4057120085;
80;9;33.4647521973;52.9623680115;15;83.2605662346;6;21.0499992371;47.0;20;82.484351635;
81;9;34.0303344727;58.0481147766;16;84.2128292322;6;22.0499992371;50.0;20;83.6162225008;
82;9;34.7093772888;63.1337280273;18;85.1011033058;6;23.0499992371;53.0;21;84.6563026905;
83;9;35.7559661865;64.2189941406;19;85.9245640039;6;25.0;56.0;21;85.594030261;
84;10;36.8054428101;67.3037109375;17;86.684961915;6;27.0;58.8698272705;21;86.4257172346;
85;10;37.8578720093;70.3876724243;19;87.3859876394;6;29.0;60.9155807495;23;87.1535954475;
86;10;38.913318634;73.4706878662;21;88.0326246023;6;30.75;62.9629058838;23;87.7843501568;
87;10;39.9718170166;76.5525665283;21;88.6305599213;6;31.75;65.0117645264;24;88.3275306225;
88;10;40.9558486938;79.6331253052;21;89.1856987476;6;32.75;67.0621185303;24;88.7940964699;
89;10;41.1309738159;82.7122116089;23;89.6477138996;6;32.9198875427;69.1139068604;24;89.1952724457;
90;10;41.2657241821;85.7896575928;24;89.9637210369;6;34.0083465576;68.1670608521;25;89.4430289268;
91;10;41.3364028931;88.8653411865;23;90.2823429108;6;33.0499992371;70.2215118408;26;89.5543570518;
92;10;41.4099807739;91.9391174316;25;90.6031382084;6;33.0499992371;72.2771759033;26;89.667914629;
93;10;30.3863430023;88.0108947754;25;72.9256193638;7;34.0499992371;71.3339538574;22;107.783490896;
94;11;30.465341568;90.0805664062;25;73.2492523193;7;32.0499992371;75.391746521;22;107.900856972;
95;11;32.5467987061;90.1480560303;26;73.5734562874;7;32.0499992371;79.4504241943;23;108.019767284;
96;11;32.6304931641;90.2133026123;27;73.8976056576;7;33.0499992371;80.5098876953;23;108.139961004;
97;11;31.7161846161;93.2762527466;27;74.2210335732;7;32.0499992371;84.5699768066;27;108.261164665;
98;11;32.8035964966;93.1046905518;28;74.5430371761;7;33.0499992371;85.6305847168;29;108.383094311;
99;11;32.8924255371;92.19190979;28;74.8273653984;8;33.2999992371;85.6915435791;28;108.50545764;
100;11;31.9823474884;94.2510681152;28;77.1053771973;8;33.2999992371;88.7527313232;28;108.627957344;
101;11;35.0730209351;95.3046264648;29;77.6009198427;8;35.2999992371;88.8139801025;28;108.750293732;
102;11;37.1640853882;96.3558502197;29;78.1199246645;8;36.2999992371;88.8751449585;29;108.872167349;
103;11;36.2551727295;100.404762268;29;78.6645826101;8;36.2999992371;91.9360809326;29;108.993282318;
104;11;36.3459243774;107.430557251;29;79.2372356653;8;37.4000015259;91.9966430664;30;109.113348961;
105;11;36.4359664917;111.493980408;30;79.7860354185;8;35.4000015259;90.9966430664;30;109.232087135;
106;11;36.5249404907;113.5;33;80.3647238016;8;35.4000015259;91.9966430664;30;110.349227428;
107;13;36.6125106812;115.5;32;80.9815509319;8;35.4000015259;92.9966430664;30;110.624515653;
