Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;5;20.0;
4;1;11.8999996185;8.625;5;17.25;1;14.0;10.0;5;20.0;
5;1;12.8999996185;8.625;5;17.25;1;15.0;10.0;4;20.0;
6;1;13.8999996185;8.625;5;17.25;1;16.0;10.0;4;20.3999996185;
7;1;14.8999996185;8.625;5;17.5949993134;1;17.0;10.1999998093;4;20.7264003754;
8;1;15.5569992065;8.79749965668;5;17.8861961365;1;17.4358406067;10.3632001877;4;21.8194274902;
9;2;16.3317184448;8.94309806824;4;19.6667137146;1;18.0916557312;10.9097137451;4;22.7316036224;
10;2;16.8000278473;9.3333568573;4;20.4405961037;1;19.0916557312;11.3658018112;4;23.4745616913;
11;2;18.8000278473;9.6677980423;4;21.1189774275;1;20.0916557312;11.7372808456;4;24.0673980713;
12;2;20.8000278473;9.94955635071;4;21.7121870518;1;21.0916557312;12.0336990356;5;24.5325260162;
13;2;22.007188797;10.1834592819;4;22.2323212624;2;23.0916557312;12.2662630081;4;25.892534256;
14;2;23.0891532898;10.3752222061;4;22.6919423342;2;25.0916557312;12.446267128;4;26.0499999523;
15;2;23.2000274658;10.8568716049;5;23.0412415266;2;26.7216567993;12.5;4;26.1019749641;
16;2;24.2000274658;11.1623725891;5;23.2151488066;2;27.7528400421;12.5;4;26.1559499502;
17;2;25.2000274658;11.2145442963;5;23.4025228024;2;28.7852249146;12.5;4;26.2119446993;
18;2;26.2000274658;11.2707567215;5;23.6037294865;2;29.7271671295;12.5;5;26.269973278;
19;2;27.75;10.625;5;23.8190078735;2;29.7619838715;12.5;5;26.3300433159;
20;2;28.2914047241;10.625;5;24.0484457016;2;29.7980270386;12.5;6;26.3921557665;
21;2;26.75;11.4645338058;6;24.2919540405;2;29.8352928162;12.5;6;26.4563041925;
22;2;26.75;11.5375862122;5;24.549243927;2;29.8737831116;12.5;5;26.5224741697;
