Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;13.0;10.0;5;20.0;
3;1;11.8999996185;8.625;4;17.25;1;13.0;10.0;6;20.0;
4;1;11.8999996185;8.625;4;17.25;1;14.0;10.0;5;20.0;
5;1;12.8999996185;8.625;4;17.25;1;15.0;10.0;5;20.0;
6;1;13.8999996185;8.625;4;17.25;1;16.0;10.0;5;20.3999996185;
7;1;14.8999996185;8.625;4;17.5949993134;1;17.0;10.1999998093;5;20.7264003754;
8;1;15.5569992065;8.79749965668;4;17.8861961365;1;17.4358406067;10.3632001877;5;21.8194274902;
9;1;15.7317180634;8.94309806824;4;18.6667137146;1;18.0916557312;10.9097137451;5;22.7316036224;
10;1;16.2000274658;9.3333568573;4;19.3355960846;1;19.0916557312;11.3658018112;5;23.4745616913;
11;1;17.2000274658;9.6677980423;4;19.8991127014;1;20.0916557312;11.7372808456;5;24.0673980713;
12;1;18.2000274658;9.94955635071;4;20.3669185638;1;21.0916557312;12.0336990356;5;24.5325260162;
13;1;19.2000274658;10.1834592819;4;20.7504444122;1;21.7195167542;12.2662630081;5;24.892534256;
14;1;20.2000274658;10.3752222061;4;21.0616092682;1;21.9355201721;12.446267128;5;25.0;
15;2;22.2000274658;10.5308046341;3;22.25;1;22.0;12.5;5;25.0;
16;2;24.2000274658;10.625;3;22.4025000334;1;23.9355201721;12.5;5;25.0;
17;2;25.8915271759;10.625;3;22.5764987469;1;24.9355201721;12.5;5;25.0;
18;2;26.9959259033;10.625;3;22.774458766;1;25.9355201721;12.5;6;25.0;
19;2;27.6646747589;10.625;3;22.9989435673;1;26.9355201721;12.5;6;25.0;
20;2;27.7993659973;10.625;3;23.2525589466;1;27.0;12.5;6;25.0;
21;2;27.9515342712;10.625;4;23.5378723145;1;27.0;12.5;6;25.0;
22;2;28.1227226257;10.625;4;23.8573079109;1;27.0;12.5;6;25.0;
23;2;28.3143844604;10.625;4;24.2130148411;1;27.0;12.5;6;25.0;
24;2;28.5278091431;10.625;4;24.6067101955;1;27.0;12.5;6;25.0;
