Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;11.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;10.0;5;20.0;
4;1;11.8999996185;8.625;6;17.25;1;9.0;10.0;5;20.0;
5;1;12.8999996185;8.625;6;17.25;1;9.0;10.0;5;20.0;
6;1;13.8999996185;8.625;6;17.25;1;10.0;10.0;5;20.0;
7;1;14.8999996185;8.625;6;17.5949993134;1;11.0;10.0;5;20.0;
8;1;15.5569992065;8.79749965668;6;17.8861961365;2;11.0;10.1999998093;4;21.3999996185;
9;1;15.7317180634;8.94309806824;6;18.6667137146;2;11.4200000763;10.1999998093;4;21.8264003992;
10;1;16.2000274658;9.3333568573;6;19.3355960846;2;11.5479202271;10.3632001877;4;22.1992716789;
11;2;18.2000274658;9.6677980423;5;20.8991127014;2;11.659781456;10.4951858521;4;23.4054436684;
12;2;20.2000274658;9.94955635071;5;21.3969185352;2;12.0216331482;11.0209560394;4;24.4501843452;
13;2;21.8180274963;10.1834592819;5;21.8110353947;2;14.0216331482;11.4571752548;5;25.3486692905;
14;2;22.0866222382;10.3752222061;5;22.1533753872;2;16.0216331482;11.8107032776;5;26.1225088835;
15;2;22.2920265198;10.5308046341;5;22.3735172749;2;17.1943473816;12.0916318893;5;26.7957427502;
16;2;22.4241104126;10.625;5;22.4058350325;2;18.2645130157;12.3113050461;5;27.3919057846;
17;2;22.4435005188;10.625;5;22.4387089014;2;19.3416175842;12.4808797836;5;27.7113106251;
18;2;22.4632263184;10.625;5;22.4721269608;2;20.4259662628;12.5;5;28.0173821449;
19;2;22.4832763672;10.625;5;22.5060760975;2;21.5177879333;12.5;5;28.3487696648;
20;2;22.5036449432;10.625;5;22.5405418873;2;22.5046310425;12.5;6;28.7054548264;
21;2;23.75;11.0121622086;5;22.5755085945;2;22.6116371155;12.5;6;29.0869145393;
22;2;24.75;11.022652626;5;22.6109591722;2;21.5;13.5;6;29.4920539856;
23;2;25.75;11.033288002;5;22.6468753815;2;22.5;12.5;6;29.9191560745;
24;2;26.75;11.3234376907;6;22.6832377911;2;22.9757461548;12.5;6;30.3658571243;
25;2;26.75;11.3416185379;7;22.7200255394;2;21.5;13.5;7;30.8291530609;
26;2;26.75;11.3600130081;7;22.7572168112;3;22.5;12.5;6;31.3054442406;
27;2;26.75;11.3786087036;7;22.7947884798;3;21.3916339874;13.5;6;31.790620327;
28;2;26.75;11.3973941803;7;22.8327163458;3;20.5371856689;14.5;6;32.2801818848;
29;2;26.75;11.4163579941;7;22.8709751368;3;19.5371856689;13.5;6;32.7693967819;
30;2;26.75;11.4354877472;7;22.9095385075;3;18.5371856689;13.5;6;33.2534770966;
31;2;26.75;11.4547691345;7;22.9483793974;3;18.5371856689;14.5;6;33.7277650833;
32;2;26.75;11.4741897583;8;22.9874696732;3;18.1183300018;15.5;6;34.187912941;
33;2;26.75;11.4937343597;9;23.0267804861;3;17.2563743591;16.5;6;34.6300430298;
34;2;26.75;11.5133905411;9;23.0662822723;3;16.8890132904;17.5;6;35.0508718491;
35;2;26.75;11.5331411362;9;23.1059447527;3;17.0152626038;18.5;6;35.4477939606;
36;2;26.75;11.5529727936;9;23.1457372904;3;17.1343383789;19.5;6;35.8189210892;
37;2;26.75;13.5529727936;10;23.1856285334;3;17.2456760406;20.5;7;36.1630792618;
38;2;26.75;15.5529727936;11;23.2255871296;3;18.3489227295;22.0;6;37.4797668457;
39;2;26.75;17.5529727936;11;23.265581131;3;17.3489227295;24.0;6;37.8190839291;
40;2;26.75;19.5529727936;11;23.3055787086;3;16.6639251709;25.5;7;38.1336169243;
41;2;26.75;21.5529727936;13;23.3455479145;3;17.3489227295;25.0509872437;7;38.4244178534;
42;2;26.75;21.6727733612;13;23.385456562;3;17.0;24.0779743195;7;38.6928454638;
43;2;26.75;21.6927280426;14;23.42527318;3;17.0;24.10597229;7;38.9404711723;
44;2;26.75;21.7126369476;14;23.4649660587;3;18.0;25.1349868774;7;39.1689953804;
45;3;26.75;21.7324829102;9;40.7545039654;3;17.0;24.1650218964;7;39.3801738024;
46;3;27.75;21.625;9;41.656355381;3;18.0;25.1650218964;7;39.4563041925;
47;3;29.75;22.625;9;42.444896698;3;19.0;26.1650218964;7;39.5224741697;
48;3;30.1497955322;23.625;10;43.1228468418;3;20.456741333;27.1650218964;7;39.5906432867;
49;3;30.1731300354;24.625;11;43.6975529194;3;21.477191925;28.1650218964;7;39.6607804298;
50;3;30.1963005066;25.625;12;44.1792767048;3;22.4982337952;28.5;8;39.7328453064;
51;3;30.2192897797;26.625;12;44.5796718597;3;23.5198535919;29.5;8;39.8067884445;
52;4;30.2420806885;27.625;11;44.9105875492;3;24.0420360565;30.5;9;39.8825509548;
53;4;30.2646598816;28.625;11;45.0616812706;3;23.5;32.4412765503;9;39.9600640535;
54;4;30.2870082855;29.625;11;45.0985264778;4;23.5;33.4800338745;9;40.0392494202;
55;4;30.3091163635;30.625;12;45.1349442005;4;24.1117744446;33.5;10;40.120018959;
56;4;30.3309669495;31.625;12;45.1709127426;5;25.5;33.5;10;41.2022752762;
57;4;30.3525466919;32.625;12;45.2064116001;5;26.1606826782;34.5;10;41.3159115314;
58;4;30.3738479614;33.625;12;46.8757677078;5;25.8090000153;37.5;10;41.4314033985;
59;4;30.8973369598;35.0234375;12;48.2535254955;5;26.8181762695;36.6854057312;10;41.5486197472;
60;4;31.3333473206;36.3489723206;13;50.3740708828;5;25.8275299072;38.728427887;10;41.6674208641;
61;4;32.6921615601;38.6102333069;13;51.3432916403;5;26.600227356;38.5;10;42.7876583338;
62;4;32.1802062988;41.8168411255;14;52.1354088783;5;27.5;39.0779190063;10;42.9391766787;
63;4;32.3739547729;44.5199890137;13;52.3720275164;5;28.3161392212;40.0943527222;14;43.0924043655;
64;4;32.4000015259;46.5789489746;12;52.5253424644;6;28.7095451355;41.5;13;43.2471663952;
65;4;32.4000015259;48.6159324646;12;52.6821591854;6;28.8768234253;41.5;13;43.4032819271;
66;4;32.4000015259;50.3410797119;15;52.8424580097;6;28.7839298248;42.5;14;43.560565114;
67;6;32.4000015259;51.4212303162;9;63.0062060356;6;27.8976516724;45.0779190063;16;43.7188267708;
68;6;34.4000015259;51.7784042358;9;63.673355937;6;28.9082870483;43.6789321899;15;43.8778748512;
69;6;34.4000015259;54.8266143799;10;64.3163434267;6;27.9190635681;44.7405014038;14;44.0375163555;
70;6;34.4000015259;57.6719207764;10;64.9320037365;6;28.5;44.8446540833;15;44.211889863;
71;6;35.4000015259;59.8266143799;11;65.5181716681;6;29.9764041901;42.1452713013;16;46.8931469917;
72;6;36.4000015259;62.8266143799;12;66.0736494064;6;31.8884563446;43.4374771118;16;48.3797506094;
73;6;36.6751251221;65.8266143799;14;66.5981171131;6;30.5109291077;46.0837097168;18;49.6500695944;
74;6;36.7139854431;68.8266143799;14;67.0920059681;6;30.7055492401;49.4060287476;18;50.7415914536;
75;6;36.7520141602;71.8266143799;14;67.5563499928;6;32.8555908203;46.6541213989;18;51.5413470268;
76;6;36.7891731262;74.8266143799;15;67.992631197;6;33.7268829346;47.6481323242;18;52.1354078054;
77;6;36.8254432678;77.8266143799;15;68.4026358128;6;35.3312683105;46.462310791;20;52.7064754963;
78;6;36.8607940674;80.8266143799;16;68.7883188725;6;32.4000015259;48.4621505737;21;53.1458650827;
79;6;37.8952140808;80.8266143799;17;69.1516969204;6;32.4785461426;49.5941162109;22;53.5428322554;
80;6;36.9286842346;83.4940719604;19;69.3990857601;6;31.4963150024;51.277557373;22;53.9420255423;
81;6;36.96118927;85.5652160645;20;69.5962605476;6;31.5142784119;50.3486213684;23;54.3425636292;
82;6;37.992729187;84.2375259399;21;69.7937555313;7;31.2184028625;50.8072776794;22;54.743588686;
83;8;37.0232925415;85.3108062744;19;69.9911673069;7;28.5507030487;52.8823318481;22;55.1442751884;
84;8;37.0528793335;86.3848571777;20;70.1880786419;7;26.8999996185;55.9593009949;22;55.5438373089;
85;8;38.081489563;84.4594650269;20;70.368844986;7;27.5;55.1842193604;22;55.9415357113;
86;8;37.1000022888;85.5344238281;20;70.5190010071;7;29.4049491882;55.118724823;22;56.336681366;
87;8;35.1000022888;83.6094970703;21;70.6689500809;8;26.5;58.2010116577;20;56.7286376953;
88;8;34.4000015259;82.6844711304;21;70.8182420731;8;26.5;60.1670608521;21;57.1168227196;
89;8;34.4000015259;84.6227722168;21;71.9664335251;8;26.5;64.2215118408;21;57.5007073879;
90;9;35.4000015259;85.7265014648;20;73.1730918884;8;25.5;65.4569549561;22;57.8798146248;
91;9;37.4000015259;88.8291625977;21;73.4407644272;8;25.5;67.544883728;21;58.2537147999;
92;9;38.4000015259;91.9304580688;21;73.7120884657;8;24.5;67.391746521;21;58.6220257282;
93;9;38.4000015259;95.0301132202;21;73.9868229628;8;24.5;69.4504241943;21;58.9844050407;
94;9;39.4000015259;96.0301132202;24;74.2647391558;8;26.5;70.5098876953;21;60.3405487537;
95;10;38.4000015259;99.0301132202;23;74.5456190109;8;25.5;72.3625335693;22;60.7301859856;
96;11;38.4000015259;101.96131897;22;75.8292568922;8;26.5;75.4846343994;20;61.1142601967;
97;11;40.4000015259;101.614112854;21;76.2354571819;8;26.5;73.6066970825;20;61.4925587177;
98;11;40.4000015259;103.669158936;22;77.6170881987;8;26.5;76.728515625;21;61.8648892641;
99;11;40.4000015259;106.726470947;19;78.8138381243;8;25.5;77.849861145;22;62.1528860331;
100;11;41.4000015259;108.669158936;20;79.8557528257;9;25.0;76.4808197021;21;62.4383075237;
101;11;40.4000015259;112.666290283;20;81.8278832436;9;25.0;78.5704803467;21;62.7226684093;
102;11;40.4000015259;115.245773315;21;83.7124824524;9;26.0;81.2089233398;22;63.0055475235;
103;11;40.4000015259;117.569168091;23;86.4590091705;9;27.3999996185;80.3262557983;22;63.2865365744;
104;11;41.4000015259;120.469551086;27;88.4064794779;9;26.3999996185;82.4420776367;22;63.565241456;
105;11;42.4000015259;122.876533508;27;90.4710309505;9;26.3999996185;82.9193878174;23;63.8412866592;
106;11;42.4000015259;125.281234741;29;92.6504775286;9;26.3999996185;81.0033874512;23;65.1143164635;
107;11;43.4000015259;125.281234741;27;94.9405388832;9;26.3999996185;82.0858001709;22;65.5339964628;
108;11;42.4000015259;128.281234741;27;97.3342242241;9;28.3999996185;86.1665115356;23;65.9707916975;
109;11;43.4000015259;128.281234741;29;99.8211501837;9;27.7962322235;89.9435577393;23;66.4267460108;
110;11;44.4000015259;129.183746338;28;102.03730154;9;28.4543952942;92.5339889526;24;66.9040179253;
111;11;46.4000015259;130.052536011;29;104.337644815;9;29.0;94.6750030518;24;67.4048271179;
112;11;47.5579681396;130.9712677;28;106.695788383;9;31.5944309235;92.8123092651;22;67.9313777685;
113;11;48.6489105225;131.934448242;29;109.081908464;9;31.6777610779;91.9112930298;22;68.4857624769;
114;13;49.7419433594;130.554397583;26;115.984865785;7;28.0;82.0531158447;22;64.1443459988;
