Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.0;4;20.0;
2;1;11.8999996185;8.625;4;17.25;1;7.0;11.0;5;20.0;
3;1;11.8999996185;8.625;4;17.25;1;8.0;10.0;6;20.0;
4;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;6;20.0;
5;1;12.8999996185;8.625;5;17.25;1;9.0;10.0;6;20.0;
6;1;13.8999996185;8.625;5;17.25;1;10.0;10.0;6;20.0;
7;1;14.8999996185;8.625;5;17.5949993134;1;11.0;10.0;6;20.0;
8;2;16.156999588;8.79749965668;4;18.8861961365;1;11.0;10.0;6;20.3999996185;
9;2;16.3317184448;8.94309806824;4;19.7067136765;1;11.1199998856;10.1999998093;6;20.7264003754;
10;2;16.8240280151;9.3333568573;4;20.416779995;1;11.2179203033;10.3632001877;6;20.9903717041;
11;2;18.8240280151;9.6677980423;4;21.0226662159;1;11.2971115112;10.4951858521;6;22.0419120789;
12;2;20.8240280151;9.94955635071;4;21.5340260267;2;11.6125736237;11.2209558487;5;23.9143505096;
13;2;21.9002914429;10.1834592819;4;21.9622858763;2;13.6125736237;11.4571752548;5;24.661406517;
14;2;22.1773719788;10.3752222061;4;22.3193571568;2;15.6125736237;11.8107032776;5;25.2644476891;
15;2;22.3916149139;10.5308046341;4;22.5548160076;2;16.579334259;12.0916318893;5;25.7461636066;
16;2;22.5328903198;10.625;4;22.6030313969;2;16.7238502502;12.3113050461;5;26.1288670301;
17;2;22.5618190765;10.625;4;22.6523760557;2;16.8386592865;12.4808797836;5;26.211841464;
18;2;22.591424942;10.625;4;22.7028282881;2;18.7503356934;12.5;5;26.2577478886;
19;2;22.6216964722;10.625;4;22.7543625832;2;19.7641086578;12.5;6;26.3048160076;
20;2;22.6526184082;10.625;4;22.8069496155;2;20.7782287598;12.5;6;26.3530313969;
21;2;24.6841697693;10.625;5;22.8605561256;2;21.7926940918;12.5;6;26.4023760557;
22;2;25.7163333893;10.625;5;22.9151450396;2;21.5;12.920712471;6;26.4528282881;
