Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;11.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;10.0;5;20.0;
4;1;11.8999996185;8.625;5;17.25;1;8.0;10.0;5;20.0;
5;1;12.8999996185;8.625;5;17.25;1;8.0;10.0;5;20.0;
6;1;13.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
7;1;14.8999996185;8.625;5;17.5949993134;1;9.5;10.0;4;20.0;
8;1;15.5569992065;8.79749965668;5;17.8861961365;1;9.5;10.0;4;20.3999996185;
9;1;15.7317180634;8.94309806824;5;18.6667137146;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;16.2000274658;9.3333568573;5;19.3355960846;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;17.2000274658;9.6677980423;5;19.8991127014;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;19.2000274658;9.94955635071;4;21.3669185638;2;9.95943069458;11.2209558487;4;23.9143505096;
13;2;21.2000274658;10.1834592819;4;21.7004444003;2;11.9478340149;11.4571752548;3;24.7514065504;
14;2;22.2000274658;10.3752222061;4;22.589122057;2;13.9478340149;11.8107032776;3;25.4586948156;
15;2;23.2000274658;10.8420610428;5;23.3218516707;2;15.9478340149;12.0916318893;3;26.0603342056;
16;2;24.2000274658;11.2286758423;5;23.9125570059;2;17.0463218689;12.3113050461;3;26.5800945759;
17;2;25.2000274658;11.5422534943;5;24.3796451688;2;18.0869598389;12.4808797836;3;26.8187118769;
18;2;26.2000274658;11.7922000885;5;24.7429429293;2;19.1320438385;12.5;3;27.0402543545;
19;2;27.2000274658;11.9886112213;5;24.989148438;2;20.0840568542;12.5;4;27.2842636108;
20;2;28.2000274658;12.125;5;24.9652335644;2;20.1389598846;12.5;4;27.5518820286;
21;2;28.5499992371;12.125;6;24.9437102079;2;20.1991729736;12.5;4;27.8440244198;
22;2;28.5499992371;12.125;6;24.9243391752;2;20.2649059296;12.5;5;28.1613030434;
23;2;28.5499992371;12.125;6;24.9069052339;2;20.3362922668;12.5;5;28.5039470196;
24;2;28.5499992371;12.125;6;24.8912147284;3;20.4133872986;12.5;4;28.871723175;
25;2;28.5499992371;12.125;6;24.8770932555;3;20.496137619;12.5;5;29.263862133;
26;3;28.5499992371;12.125;5;24.8643839359;3;20.5843696594;12.5;5;29.6789975166;
27;3;28.5499992371;12.125;5;24.8529455662;3;20.6777744293;12.5;5;30.1151270866;
28;3;28.5499992371;12.125;5;24.8426510096;3;20.7759037018;12.5;5;30.5695996284;
29;3;28.5499992371;12.125;6;24.8333858848;3;20.8781604767;12.5;5;31.0391392708;
30;4;28.5499992371;12.125;5;24.8250473142;3;19.625;13.5;5;31.5199065208;
31;4;28.5499992371;12.125;5;24.8175425529;3;20.625;12.5;5;32.007601738;
32;4;28.5499992371;12.125;5;24.8107882738;3;21.2017097473;12.5;5;32.4976010323;
33;4;28.5499992371;12.125;5;24.8047094345;3;19.625;13.5;5;32.9851250648;
34;4;28.5499992371;12.125;5;24.799238503;3;20.625;12.5;5;33.465420723;
35;4;28.5499992371;14.125;5;25.7943146229;3;19.625;13.5;5;33.9339466095;
36;4;29.5499992371;17.125;5;25.8798831701;3;20.625;12.5;5;34.3865451813;
37;4;30.5499992371;20.125;5;25.9730138183;3;21.625;12.5;6;34.8195896149;
38;4;31.2622699738;23.125;6;26.0740437508;3;21.8344078064;12.5;7;35.2300891876;
39;5;31.3250427246;26.125;5;26.1833011508;3;21.9267692566;12.5;7;35.6157541275;
40;5;30.5499992371;27.125;5;26.3010978699;3;19.9267692566;13.5;8;35.9750175476;
41;5;31.4649581909;27.125;6;26.4277200699;3;19.625;14.5;8;36.307009697;
42;5;31.5425014496;27.125;6;26.5634191632;3;19.625;15.5;9;36.6115064621;
43;6;31.625333786;27.125;6;26.708401382;3;19.625;16.5;9;36.8888463974;
44;6;31.7135944366;27.125;6;26.8628165126;3;20.625;14.5;10;37.1398382187;
45;6;31.8073883057;27.125;6;27.0267471671;3;19.625;15.5;10;37.3656587601;
46;6;31.9067764282;27.125;6;27.2001969814;3;20.625;17.5;10;37.5677556992;
47;6;32.0117721558;27.125;6;27.3830803037;3;21.625;19.5;10;37.747756958;
48;6;32.1223373413;27.125;6;28.5752117038;3;22.4932441711;20.5;11;37.9073896408;
49;6;33.238368988;28.125;6;28.7912971377;3;22.5291633606;21.5;11;38.0;
50;6;34.3596954346;29.125;6;30.015999794;3;22.5499992371;22.5;12;38.0;
51;6;36.1041259766;31.125;7;30.27878654;3;22.5499992371;22.5;12;38.0;
52;6;37.2443466187;33.125;7;30.5495930314;4;22.5499992371;22.5;9;48.0;
53;6;37.3889694214;35.125;7;30.827637434;4;23.5499992371;23.5;9;48.3999996185;
54;6;37.5375328064;36.125;7;32.2221562862;5;24.5499992371;24.5;8;48.7743997574;
55;6;38.3433380127;37.5796890259;8;33.447142005;5;24.5499992371;25.5;8;49.1219387054;
56;6;39.0466575623;38.5261726379;10;34.5306012034;5;24.5499992371;26.5;8;49.4420347214;
57;6;39.6642875671;38.8237228394;10;35.5007693768;5;24.5499992371;27.5;8;49.7347183228;
58;6;40.2131690979;39.0550308228;10;36.2310076952;5;24.5499992371;28.5;8;51.0005426407;
59;6;40.6173400879;39.1584396362;10;36.8148860931;5;26.5499992371;28.5;8;51.2604880333;
60;6;40.9329452515;39.1826896667;13;37.4074989557;5;28.5499992371;29.5;10;51.4960570335;
61;7;41.2530479431;39.2075042725;12;38.0041592121;6;29.5866127014;30.5;9;51.7087789774;
62;7;41.5748596191;39.2328681946;12;38.6000315547;6;29.634475708;31.5;9;51.9003266096;
63;7;41.8954849243;39.2587661743;13;39.1903162599;6;27.3958435059;33.5;10;52.0724442005;
64;7;41.3030204773;40.285194397;14;39.7704332471;6;26.7979278564;34.5;10;52.1228116751;
65;7;41.5834312439;41.312122345;15;40.3361929059;6;26.8026332855;35.5;11;52.1438889503;
66;7;41.8540878296;42.3395385742;15;40.8839383721;6;26.8073749542;36.5;11;52.1651208401;
67;7;42.1128501892;43.3674163818;16;42.4106510282;6;26.5499992371;38.0825614929;12;52.1864993572;
68;7;43.3579521179;45.395740509;16;42.9640087485;7;26.5499992371;39.0932502747;11;52.2080165148;
69;7;44.5880584717;47.3084602356;17;43.4943804741;8;26.5499992371;40.1040077209;10;53.2296639681;
70;8;44.8022651672;48.3639526367;16;44.0008735657;8;27.5499992371;42.1148300171;11;53.2814331055;
71;8;45.6936531067;49.4201126099;16;44.4832223058;8;28.5499992371;44.1257171631;11;54.9942069054;
72;8;45.9085769653;50.4768829346;17;44.9417069554;8;29.1037006378;45.9186553955;13;56.4184732437;
73;8;46.108455658;50.5342140198;17;45.3770552874;8;28.3296947479;45.6719970703;13;57.59252882;
74;9;44.1445007324;51.5920410156;15;60.7903462648;8;28.1720180511;47.6279525757;13;58.5568746328;
75;9;44.18176651;53.6502990723;16;62.6829078197;8;29.2721347809;49.4618530273;13;59.17217803;
76;9;44.2202568054;55.7089271545;18;64.4587307572;8;31.1637401581;46.2819976807;13;59.4503955841;
77;10;43.2599601746;57.7678565979;17;66.0850175023;8;29.9353981018;47.9285354614;14;59.701928854;
78;10;42.3008613586;59.8270225525;19;67.4823932648;8;27.9664783478;49.9852294922;15;59.8189504147;
79;10;41.3429412842;61.8863525391;19;68.6402329803;8;27.6749992371;49.6914749146;15;60.8915803432;
80;10;41.2397079468;61.9175949097;19;69.6420605183;8;26.9990558624;52.0076599121;16;61.1153259277;
81;10;41.284072876;62.948841095;20;69.7437575459;8;26.6749992371;55.7646636963;17;61.3609237671;
82;10;41.3295326233;63.9800567627;20;69.8574846387;8;27.0223655701;56.0188980103;16;61.6306610107;
83;10;41.3760375977;65.0112075806;20;70.9819771647;8;25.7343711853;60.0188980103;16;61.9269100428;
84;10;42.4235496521;67.5958709717;20;71.3260654807;8;25.375;64.8446807861;16;62.2520741224;
85;10;42.2000007629;71.4809570312;18;71.7202271223;8;26.7590446472;64.0188980103;16;62.6085116863;
86;10;43.2000007629;74.52394104;19;72.9635927677;8;25.7716903687;67.0188980103;16;62.9984395504;
87;10;43.5715484619;78.566619873;20;74.1250267625;8;25.375;69.9963989258;17;63.4238111973;
88;11;43.6224899292;82.6089324951;19;75.2309751511;9;26.7975540161;68.0975189209;17;63.8861733675;
89;11;42.2000007629;86.6508483887;19;76.3089758754;9;25.375;71.0770111084;17;64.3865027428;
90;11;42.2000007629;90.4730300903;22;79.2639629245;9;25.8240947723;72.1198196411;18;64.9250324965;
91;11;43.2000007629;91.8209533691;22;82.0839472413;9;25.375;70.1309127808;19;65.5010774136;
92;11;42.2000007629;95.9528808594;23;84.9517173171;9;24.8512039185;71.1419677734;19;66.1128787994;
93;11;43.2000007629;97.6402130127;24;87.8388047218;9;26.375;72.1529769897;19;66.7574852705;
94;11;44.2000007629;99.958770752;24;91.7223565578;9;26.375;71.1639328003;18;67.4306924343;
95;11;45.7514038086;103.285049438;25;94.6445953846;9;26.375;72.1748352051;18;68.1270644665;
96;11;47.0001068115;106.417755127;27;97.5338124037;9;25.9066467285;74.1856765747;19;68.8400496244;
97;11;45.0001068115;109.755409241;29;100.376008153;9;26.920665741;74.1964569092;18;69.5621974468;
98;12;47.0001068115;108.897163391;29;103.155731678;9;26.375;75.2071609497;18;70.2854654789;
99;12;45.2000007629;110.038642883;30;105.855196834;9;25.9487781525;77.2177963257;19;71.0015993118;
100;12;44.2000007629;114.179275513;30;108.454807639;9;26.375;78.2283630371;19;71.7025420666;
101;12;46.2000007629;113.318504333;28;110.800148845;9;26.9768695831;77.2388381958;20;72.3808395863;
102;12;44.2000007629;118.455787659;27;112.942561984;9;27.375;79.2492294312;20;73.0299912691;
103;12;46.2000007629;118.590606689;28;114.978822112;9;26.375;79.6590881348;20;73.6447167397;
104;12;44.2000007629;123.722488403;28;117.890942335;9;26.375;79.7001037598;21;74.2211077213;
105;12;46.2000007629;126.850982666;19;119.768451929;9;27.375;80.7408294678;22;74.7408838272;
106;12;48.2000007629;126.257522583;20;121.696273088;9;27.0460929871;79.2819976807;22;75.2146449089;
107;12;48.2000007629;130.570159912;10;123.504338622;9;27.0596313477;79.2819976807;22;75.6467189789;
108;12;46.2000007629;135.885620117;11;125.197921157;9;28.0730304718;80.2819976807;23;76.0381913185;
109;13;48.2000007629;136.202774048;11;126.78482008;9;27.0862770081;80.2819976807;23;76.3909320831;
