Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.8999996185;8.625;4;17.25;1;6.0;14.0;4;20.0;
2;1;11.8999996185;8.625;4;17.25;1;7.0;13.0;6;20.0;
3;1;11.8999996185;8.625;4;17.25;1;8.0;12.0;6;20.0;
4;1;11.8999996185;8.625;4;17.25;1;8.0;11.0;6;20.0;
5;1;12.8999996185;8.625;4;17.25;1;8.0;10.0;6;20.0;
6;2;14.5;8.625;3;18.25;1;9.0;10.0;6;20.0;
7;2;15.5;8.625;3;18.6424993277;2;9.5;10.3000001907;5;21.0;
8;2;16.1854991913;8.79749965668;3;18.9829548597;2;9.72500038147;10.0;5;21.469999671;
9;2;16.3897724152;8.94309806824;3;19.8254748583;2;9.83075046539;10.1999998093;5;21.8705514669;
10;2;16.8952846527;9.3333568573;3;20.5591462851;2;9.92087364197;10.3632001877;5;22.2129640579;
11;2;18.8952846527;9.6677980423;3;21.1902817488;2;9.99791717529;10.4951858521;5;23.3718163967;
12;2;20.8952846527;9.94955635071;3;21.7285703421;2;10.2586593628;11.0209560394;5;24.3595588207;
13;2;22.0170192719;10.1834592819;3;22.1854667664;2;12.0480051041;11.4571752548;5;25.1902494431;
14;2;23.0610408783;10.3752222061;3;22.5729027987;2;14.0480051041;11.8107032776;5;25.884378314;
15;2;24.106803894;10.5308046341;3;22.8404657841;2;15.7228336334;12.6019659042;5;26.4648982286;
16;2;25.1543064117;10.625;3;22.9225263596;2;16.7228336334;12.8639917374;5;26.9543362856;
17;2;26.2035427094;10.625;3;23.0074484348;2;17.7228336334;13.0786523819;5;27.1521308422;
18;2;27.2544975281;10.625;3;23.095189929;2;19.2070636749;12.5;5;27.3210272789;
19;2;27.8571128845;10.625;3;23.1856930256;2;19.625;13.196308136;5;27.4992582798;
20;2;27.9114151001;10.625;5;23.2788832188;2;20.1873321533;12.5;7;27.6867210865;
21;3;27.9673309326;10.625;4;23.374669075;2;19.625;13.5;7;27.8832085133;
22;3;28.0248012543;10.625;4;23.4729421139;2;20.2737216949;12.5;7;28.0884003639;
23;3;28.0837650299;10.625;4;23.5735759735;2;19.625;13.5;7;28.3018581867;
24;3;28.1441459656;10.625;5;23.6764273643;2;19.625;13.8207435608;7;28.5230212212;
25;3;24.75;12.625;5;23.7813358307;2;19.625;13.9092082977;9;28.7512066364;
26;3;25.75;11.8906679153;5;23.8881244659;2;20.4690208435;12.5;9;28.9856116772;
27;3;23.75;12.944062233;5;23.9966008663;2;20.5217628479;12.5;9;29.2253217697;
28;3;24.75;11.9983005524;5;24.1065583229;3;20.5756969452;12.5;9;29.4693202972;
29;3;25.75;12.053278923;5;24.2177767754;3;18.6305961609;13.5;9;29.716504097;
30;3;23.75;13.1088886261;5;24.3300247192;3;17.686214447;14.5;9;29.9657006264;
31;3;24.75;12.1650123596;5;24.4430608749;3;16.7422828674;15.5;6;30.2156887054;
32;3;25.75;12.2215309143;5;24.556636095;3;15.7985305786;16.5;6;30.4652233124;
33;3;23.75;13.2783184052;6;24.6704955101;3;15.229675293;17.5;6;30.7130589485;
34;4;24.75;12.3352479935;6;24.7843811512;3;15.2854385376;18.5;6;30.9579744339;
35;4;25.75;12.3921909332;6;24.8980333805;3;15.3405437469;19.5;6;31.198797226;
36;4;27.75;14.3921909332;6;25.0111942291;3;15.3947296143;20.5;7;31.4344263077;
37;4;28.75;16.3921909332;7;25.123609066;3;15.4477462769;21.5;7;31.6638503075;
38;4;29.0741653442;18.3921909332;7;25.2350292206;3;15.4993667603;22.5;7;31.8861660957;
39;4;29.1410179138;19.625;8;25.3452138901;3;15.5493869781;23.5;9;32.1005897522;
40;4;29.2071285248;20.625;8;25.453933239;3;15.5976333618;24.5;9;32.3064651489;
41;4;29.272359848;20.625;9;25.560968399;3;14.0;26.5;9;32.5032672882;
42;4;29.3365821838;20.625;9;25.6661143303;3;14.0;28.5;10;32.6906037331;
43;4;29.3996696472;20.625;9;25.7691812515;3;14.0;30.5;10;32.8682103157;
44;4;29.4615097046;20.625;9;25.8699960709;3;14.0;32.5;10;34.035943985;
45;4;29.5219974518;20.625;9;25.9684023857;4;15.0;34.5;9;49.2437741756;
46;4;29.5810413361;20.625;11;26.0642614365;4;19.0;31.5;10;50.1937470436;
47;4;29.6385574341;20.625;11;26.1574530602;5;21.8768997192;31.2713832855;9;51.0554221869;
48;4;29.6944713593;20.625;11;26.2478752136;5;22.9080219269;29.5;11;51.8282214403;
49;4;29.7487258911;20.625;12;26.3354444504;6;23.9370212555;29.348361969;10;52.5149817467;
50;4;29.8012657166;20.625;13;26.4200944901;6;24.0;31.348361969;10;53.121073246;
51;4;29.8520565033;20.625;13;26.5017771721;6;26.625;32.348361969;11;53.6535159349;
52;4;29.9010658264;20.625;13;26.5804605484;6;26.625;33.348361969;11;54.0833221674;
53;4;29.9482765198;20.625;13;26.6561284065;6;28.625;34.348361969;11;54.4052370787;
54;4;29.9936771393;20.625;14;26.7287797928;6;30.2161769867;34.5;17;54.5906432867;
55;4;30.0372676849;20.625;16;26.7984271049;7;30.2828941345;33.5;12;54.6607804298;
56;4;30.0790557861;20.625;16;26.8650956154;7;30.2986755371;32.5;12;54.7328453064;
57;4;30.1190567017;20.625;16;27.7397341728;7;30.3148899078;32.5;12;54.8067884445;
58;4;30.6438407898;21.0234375;16;28.4652194977;7;30.33152771;32.5;12;54.8825509548;
59;4;31.0791301727;21.3489723206;17;29.0588321686;7;29.9249992371;33.5;12;56.9600640535;
60;4;31.4352989197;21.6102333069;17;29.5398683548;7;31.9249992371;34.5;12;57.2292493582;
61;4;31.7239208221;21.8168411255;17;29.927382946;7;33.9249992371;36.5;10;57.5184139013;
62;4;31.9564285278;21.9782962799;17;30.0;7;34.211971283;38.5;10;57.8289602995;
63;4;32.0;22.0;17;30.0;7;34.2484855652;40.5;11;58.1622984409;
64;4;32.0;22.0;18;30.0;7;33.9249992371;42.5;12;58.5198128223;
65;4;32.0;22.0;18;30.0;7;31.9249992371;44.5;13;58.9028199911;
66;4;32.0;22.0;18;30.0;7;31.3840560913;44.5;15;59.3125188351;
67;4;32.0;22.0;19;30.0;7;30.4389591217;45.5;14;59.7499285936;
68;4;30.0000019073;23.0;19;30.0;7;30.2241725922;46.5;15;60.2158205509;
69;5;29.0000019073;24.0;17;54.0;7;29.6499996185;48.5;15;60.7106419802;
70;5;29.0000019073;24.0;17;55.6800003052;7;30.6499996185;47.5;16;61.2344354391;
71;7;30.0000019073;26.0;14;72.0461769104;7;30.4383869171;46.5;17;63.7670652866;
72;8;31.4000015259;29.0;13;74.1655349731;7;30.802406311;48.0;18;66.0271663666;
73;8;32.4000015259;32.0;13;75.9314918518;8;31.1285934448;47.3899993896;14;85.3088874817;
74;8;32.4000015259;35.0;13;77.3806819916;8;34.2971229553;46.6872596741;14;88.4941339493;
75;8;32.4000015259;38.0;13;78.5559844971;8;36.6610183716;46.9097442627;17;91.2289805412;
76;8;32.4000015259;41.0;14;79.2277812958;8;36.4993133545;48.0;17;93.4106757641;
77;8;33.4000015259;41.0;14;79.7608165741;8;34.526260376;49.0;17;95.4510951042;
78;8;32.4000015259;44.0;14;80.2032966614;8;33.5499992371;51.0;19;97.2592480183;
79;8;32.4000015259;47.0;13;81.5662899017;9;33.5499992371;53.0;18;98.9466600418;
80;8;34.4000015259;48.0;14;83.1011507511;9;34.4735527039;55.0;18;100.522122383;
81;8;35.4000015259;53.0;14;83.6246240139;9;32.5499992371;58.0;19;101.994934559;
82;9;37.3207778931;58.0;9;109.081848264;9;33.5499992371;59.0;20;103.27896595;
