Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.8999996185;8.625;4;17.25;1;6.0;14.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;13.0;6;20.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;12.0;6;20.0;
4;1;11.8999996185;8.625;5;17.25;1;8.0;11.0;6;20.0;
5;1;12.8999996185;8.625;5;17.25;1;8.0;10.0;5;20.0;
6;1;13.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
7;2;15.5;8.625;4;18.5949993134;1;9.5;10.0;5;20.0;
8;2;16.156999588;8.79749965668;4;19.0086960793;1;9.5;10.0;5;20.3999996185;
9;2;16.4052181244;8.94309806824;3;19.9590197802;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;16.9754104614;9.3333568573;3;20.8212013245;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;18.9754104614;9.6677980423;3;21.6040585041;1;9.72283363342;10.4951858521;4;22.0419120789;
12;2;20.9754104614;9.94955635071;3;22.3198496103;2;9.95943069458;11.3209562302;3;23.9143505096;
13;2;22.3717861176;10.1834592819;3;22.9825873375;2;11.9478340149;11.4571752548;2;24.6514065266;
14;2;23.53931427;10.3752222061;3;23.6066508293;2;13.9478340149;11.8107032776;2;25.2438547611;
15;2;24.7270526886;10.5308046341;4;24.1438384056;2;15.9478340149;12.0916318893;2;25.7143762112;
16;2;25.9363307953;10.625;4;24.5303442478;2;16.9684810638;12.3113050461;2;26.0852768421;
17;2;27.1682338715;10.625;4;24.9557936192;2;17.9756240845;12.4808797836;2;26.1558350325;
18;2;28.4235038757;10.625;4;25.4206562042;2;18.9828968048;12.5;3;26.1887089014;
19;2;29.2523937225;10.625;4;25.9244441986;2;19.8924598694;12.5;3;26.2221269608;
20;2;29.5546665192;10.625;4;26.4655370712;2;19.8999786377;12.5;3;26.2560760975;
21;2;29.879322052;10.625;4;27.0410437584;2;19.907617569;12.5;3;26.2905418873;
22;2;30.2246265411;10.625;4;27.6467266083;2;19.9153709412;12.5;4;26.3255085945;
23;2;30.5880355835;10.625;4;28.2770137787;2;19.9232387543;12.5;4;26.3609591722;
24;2;30.9662094116;10.625;5;28.9251141548;2;19.625;13.0443840027;5;26.3968753815;
25;2;31.3550682068;10.625;5;29.5832462311;2;19.625;13.0587501526;5;26.4332377911;
26;2;31.7499465942;10.625;6;30.2429685593;3;19.947479248;12.5;5;26.4700255394;
27;2;32.1457824707;10.625;6;30.8955907822;3;19.625;13.0880098343;5;26.5072168112;
28;2;32.5373535156;10.625;6;31.5326251984;3;19.625;13.1028871536;6;26.5447884798;
29;2;32.9195747375;10.625;6;32.1462278366;3;19.625;13.1179151535;6;26.5827163458;
30;3;33.2877349854;10.625;5;32.7295866013;3;17.9811115265;13.5;6;26.6209751368;
31;3;33.637752533;10.625;6;33.2772102356;3;16.9897193909;14.5;6;26.6595385075;
32;3;33.9663238525;10.625;6;33.7850942612;3;15.9983959198;15.5;6;26.6983793974;
33;3;34.2710571289;12.625;6;34.2507610321;3;15.0071353912;16.5;6;27.7374696732;
34;3;34.5504570007;14.625;6;34.6731872559;3;15.3909301758;18.2000007629;7;27.9467804432;
35;3;34.8039131165;16.625;6;35.0526351929;3;16.3997764587;19.3190002441;7;28.1831932068;
36;3;35.0315818787;18.625;6;35.3904361725;3;16.3075561523;20.5;6;28.4502152205;
37;3;35.2342605591;20.625;6;36.6887378693;3;16.4175872803;21.5;7;28.7515594959;
38;3;36.4132423401;21.625;7;37.0002610683;3;16.4175605774;22.5;7;29.0910578966;
39;3;37.5701560974;22.625;7;37.2800517082;3;16.4355163574;23.5;7;29.4725351334;
40;3;38.3680305481;23.625;7;37.5313647985;3;16.5618133545;24.5;8;29.8996322155;
41;3;38.5188179016;24.625;8;37.7119446993;4;16.4535064697;25.5;7;30.3755815029;
42;3;38.627166748;25.625;9;37.769973278;4;16.7470016479;26.5;8;30.9029269218;
43;3;38.66198349;25.625;10;37.8300433159;4;16.8566608429;27.9668827057;9;31.4832024574;
44;3;38.6980285645;25.625;10;37.8921557665;4;17.4587211609;27.5;9;32.1165845394;
45;3;38.7352905273;25.625;11;37.9563041925;4;17.6012306213;28.5;9;32.8015477657;
46;3;38.7737808228;25.625;11;38.0224741697;4;17.256980896;30.5;9;33.5345714092;
47;3;38.8134841919;25.625;12;38.0906432867;4;17.5072631836;28.5;10;34.3099431992;
48;3;38.854385376;25.625;12;38.1607804298;5;17.0;29.5;9;36.119720459;
49;3;38.8964691162;25.625;13;39.6680262089;6;18.0;30.5;8;51.9838910103;
50;4;39.800819397;26.0234375;12;40.9694895744;6;21.0;33.5;9;53.6113524437;
51;4;40.5816917419;26.3489723206;13;42.0855224133;6;24.0;36.5;10;55.1586942673;
52;4;41.2513122559;26.6102333069;13;43.040060997;6;25.0;39.5;10;56.611976862;
53;4;41.8240356445;26.8168411255;13;43.8577439785;6;27.0;42.5;10;57.9611293077;
54;4;42.3146438599;26.9782962799;14;44.3554058075;6;29.8850631714;43.2671012878;12;59.1998797655;
55;4;42.613243103;27.0;13;44.7751443386;6;30.2013778687;43.3320960999;12;60.3255352974;
56;4;42.8650894165;27.0;12;45.0263707638;6;29.8999786377;42.5;14;61.3386216164;
57;4;43.0158233643;27.0;12;45.2374186516;6;31.8059673309;42.3792533875;14;62.242420435;
58;4;41.14245224;28.0;12;45.456351757;6;31.8907852173;42.4033813477;15;62.9487168789;
59;5;40.2738113403;29.0;9;59.4325232506;7;30.6232395172;41.5;15;63.4790924788;
60;5;39.2738113403;33.0;9;60.5520409346;7;30.9418201447;40.452671051;16;63.9528872967;
61;5;40.2000007629;36.9575805664;10;62.0325250626;7;31.3250007629;42.4778137207;18;64.3735337257;
62;5;40.2000007629;40.0766983032;10;63.4536675215;8;31.6474781036;43.4669342041;16;64.745336771;
63;5;40.2000007629;43.1981163025;10;64.7953915596;8;30.3250007629;42.4903411865;16;65.0730737448;
64;5;40.2000007629;46.3212928772;12;66.0443558693;8;30.3250007629;42.5133628845;17;65.361664176;
65;6;40.2000007629;47.4456520081;11;67.194157958;9;31.3250007629;43.535987854;16;66.5230158567;
66;6;41.2000007629;46.4456520081;11;68.244589448;10;32.9865684509;43.535987854;15;88.4124331474;
67;6;42.2000007629;47.0;11;69.200304985;10;34.9935760498;46.5;15;89.6411892176;
68;6;43.2000007629;48.0;12;70.0692327023;10;35.3250007629;50.5;15;90.6519879103;
69;6;40.7312240601;50.0;12;70.8610861301;10;36.3250007629;54.5;16;91.4903746843;
70;6;38.8765220642;52.0;13;71.5861308575;11;37.6187286377;57.5999984741;15;92.1799935102;
71;7;35.4765205383;55.0;12;72.2167568207;11;38.3250007629;60.5749931335;15;96.4148663282;
72;7;33.4765205383;58.0;12;72.6346614361;11;40.7210006714;62.141998291;19;99.1406869888;
73;7;31.7999992371;62.0;12;73.0537230968;11;43.0391693115;64.5735549927;19;101.382176518;
74;7;32.7999992371;60.0;12;73.1728508472;11;45.3424110413;66.8708190918;19;103.121401668;
75;7;30.7999992371;63.9041213989;13;73.3209607601;11;47.5711669922;65.2568969727;20;104.23504281;
76;7;30.7999992371;67.1008224487;13;73.4939820766;11;46.9774131775;66.0;19;105.875326753;
77;8;32.7999992371;64.3040771484;12;74.6881506443;11;43.6999969482;70.665145874;19;106.481260657;
78;8;32.7999992371;64.3040771484;12;74.7999814749;11;43.6999969482;71.7028579712;20;106.953906536;
79;8;31.7999992371;67.3040771484;13;75.6719027758;11;40.6999969482;75.7421722412;20;107.445621133;
80;9;33.7999992371;68.0;10;81.4589070082;11;38.6999969482;79.7831115723;22;107.956396937;
81;9;33.7999992371;73.0;9;82.3213248253;11;36.6999969482;83.825668335;23;108.486079574;
82;9;35.7999992371;75.0;10;83.0123860836;11;36.0999984741;87.6122283936;22;108.989808559;
83;9;37.7999992371;75.0;10;83.5581463575;11;36.0999984741;90.698928833;21;110.506144762;
84;9;34.7999992371;80.0;10;85.0904117823;11;36.0999984741;93.78881073;22;110.934154391;
85;9;35.7999992371;86.0;12;85.5830339193;11;37.0999984741;96.0;22;114.080657959;
86;9;37.7999992371;89.0;13;86.0529987216;11;38.0999984741;100.0;24;116.744042516;
87;9;36.3714981079;95.0;13;85.9822731018;11;39.0999984741;101.0;25;118.990185976;
88;10;35.3593482971;100.718154907;13;85.9442989826;11;39.0999984741;103.0;25;120.895643711;
89;11;36.7999992371;103.718154907;14;87.5460998416;11;44.9024505615;108.0;26;122.362952828;
90;11;38.7999992371;102.718154907;14;89.1974244118;11;48.3362960815;111.5;27;123.530390382;
91;11;39.4255905151;104.718154907;18;90.8685718775;11;51.1530418396;111.633010864;27;124.485794544;
92;11;39.7999992371;104.496963501;18;92.529848218;11;51.5360374451;111.712089539;27;125.32227993;
93;12;41.5118598938;106.718154907;19;94.1534801722;10;51.6322288513;112.789543152;28;126.162823677;
94;12;41.7999992371;108.632469177;19;95.7153346539;10;49.7130241394;115.865226746;32;126.753627419;
95;13;44.6077804565;107.230888367;19;99.1961990595;10;49.7838249207;115.93901062;32;127.348060966;
96;13;45.7999992371;110.809051514;19;100.684941173;10;49.8348045349;116.010787964;31;127.94298768;
97;13;46.7999992371;115.361633301;19;104.448268771;10;48.8942985535;118.832122803;32;128.535524845;
98;13;44.7999992371;118.884429932;20;107.736281514;10;49.9535522461;118.052238464;33;129.123049915;
99;13;43.7999992371;123.374504089;21;110.562223554;10;50.0123062134;118.264312744;34;129.703204393;
100;13;42.7999992371;127.830184937;22;113.001963854;10;49.0703201294;124.467895508;32;130.273892939;
101;13;40.7999992371;129.250961304;22;116.014689445;10;51.1273880005;124.598724365;31;130.833277106;
102;13;41.7999992371;131.316436768;24;117.611453891;10;50.1833267212;126.010292053;32;131.379772693;
103;13;42.7999992371;134.384094238;26;118.89162457;10;49.2379760742;130.304550171;30;131.912035197;
104;13;42.4438591003;134.453857422;27;120.975135684;10;51.2912025452;125.58782196;32;132.428949058;
105;13;42.7999992371;138.525650024;28;122.030680895;10;49.3428955078;133.05758667;32;132.92961514;
106;13;46.7999992371;136.599395752;30;122.82199204;10;49.3929595947;135.412658691;33;133.413330853;
107;14;46.7999992371;136.675003052;30;123.483958364;10;49.4413337708;138.752548218;33;133.8795771;
