Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.8999996185;8.625;4;17.25;1;6.0;14.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;13.0;6;20.0;
3;1;11.8999996185;8.625;4;17.25;1;8.0;12.0;6;20.0;
4;1;11.8999996185;8.625;4;17.25;1;8.0;11.0;6;20.0;
5;1;12.8999996185;8.625;4;17.25;1;8.0;10.0;6;20.0;
6;1;13.8999996185;8.625;4;17.25;1;9.0;10.0;6;20.0;
7;1;14.8999996185;8.625;4;17.5949993134;1;9.5;10.0;6;20.0;
8;1;15.5569992065;8.79749965668;4;17.8861961365;1;9.5;10.0;6;20.3999996185;
9;1;15.7317180634;8.94309806824;4;18.6667137146;1;9.59000015259;10.1999998093;6;20.7264003754;
10;1;16.2000274658;9.3333568573;4;19.3355960846;1;9.66343975067;10.3632001877;6;20.9903717041;
11;1;17.2000274658;9.6677980423;4;19.8991127014;1;9.72283363342;10.4951858521;6;22.0419120789;
12;1;18.2000274658;9.94955635071;4;20.3669185638;1;9.95943069458;11.0209560394;6;22.9143505096;
13;1;19.2000274658;10.1834592819;4;20.7504444122;1;11.7228336334;11.4571752548;6;23.6214065552;
14;1;20.2000274658;10.3752222061;4;21.0616092682;1;12.7228336334;11.8107032776;6;24.1832637787;
15;1;21.2000274658;10.5308046341;5;21.25;1;13.7228336334;12.0916318893;6;24.6226100922;
16;1;22.2000274658;10.625;5;21.25;1;14.7228336334;12.3113050461;6;24.9617595673;
17;1;23.2000274658;10.625;5;21.25;1;15.7228336334;12.4808797836;6;25.0;
18;1;24.2000274658;10.625;5;21.25;1;16.7228336334;12.5;6;25.0;
19;1;24.75;10.625;5;21.25;1;17.625;12.5;6;25.0;
20;1;24.75;10.625;5;21.25;1;17.625;12.5;7;25.0;
21;1;24.75;10.625;6;21.25;1;17.625;12.5;8;25.0;
22;1;24.75;10.625;6;21.25;1;17.625;12.5;8;25.0;
23;1;24.75;10.625;6;21.25;1;17.625;12.5;8;25.0;
24;1;24.75;10.625;6;21.25;1;17.625;12.5;8;25.0;
25;1;24.75;10.625;6;21.25;1;17.625;12.5;9;25.0;
26;1;24.75;10.625;6;21.25;1;17.625;12.5;10;25.0;
27;1;24.75;10.625;6;21.25;1;17.625;12.5;10;25.0;
28;1;24.75;10.625;6;21.25;1;17.625;12.5;11;25.0;
29;1;24.75;10.625;6;21.25;1;17.625;12.5;11;25.0;
30;1;24.75;10.625;6;21.25;1;17.625;12.5;11;25.0;
31;1;24.75;10.625;6;21.25;1;15.625;13.5;11;25.0;
32;1;24.75;10.625;6;21.25;2;14.625;14.5;8;40.0;
33;1;24.75;10.625;6;21.25;2;14.625;15.5;8;40.75;
34;1;24.75;10.625;7;21.25;2;14.625;16.5;8;41.4193744659;
35;1;24.75;10.625;7;21.25;2;15.0;17.5;8;42.0072898865;
36;1;24.75;10.625;7;21.25;3;16.0;18.5;7;42.5162696838;
37;1;24.75;10.625;7;21.25;3;17.0;19.5;8;42.9513263702;
38;1;24.75;11.625;7;21.25;3;18.0;20.5;8;43.3190898895;
39;1;24.75;12.625;8;21.25;3;19.0;21.5;8;43.6270179749;
40;3;25.75;14.625;6;22.25;3;19.588104248;22.5;9;43.8827629089;
41;3;26.75;16.625;6;22.2699999809;4;19.6648292542;23.5;8;44.0;
42;3;27.3619995117;18.625;7;22.2901959419;4;19.7000007629;24.5;8;44.0;
43;3;27.3741168976;19.625;7;22.3105818033;4;19.7000007629;25.5;8;44.0;
44;3;27.3863487244;20.625;8;22.3311508894;4;19.7000007629;26.5;8;44.0;
45;3;27.3986911774;20.625;7;22.3518965244;4;19.7000007629;27.5;8;44.0;
46;3;27.4111385345;20.625;7;22.3728116751;4;19.7000007629;28.5;7;45.0;
47;4;27.4236869812;20.625;6;22.3938889503;4;20.7000007629;30.0;7;45.1299999952;
48;4;27.4363327026;20.625;7;22.4151208401;4;22.7000007629;28.0650005341;7;46.2754310369;
49;5;27.4490718842;20.625;6;22.4364993572;4;23.0826301575;29.2000007629;7;46.4377241135;
50;5;27.4618988037;20.625;6;22.4580165148;4;25.1313171387;30.2000007629;8;46.6183350086;
51;5;27.4748096466;20.625;5;22.4796639681;4;26.4855003357;32.2000007629;8;46.8187118769;
52;5;27.4877986908;20.625;5;22.5014331341;4;27.5456123352;34.2000007629;9;47.0402543545;
53;5;27.5008602142;20.625;5;22.5233153105;4;28.6120758057;36.2000007629;10;47.2842636108;
54;5;27.5139884949;20.625;5;23.5453014374;4;29.6852798462;37.5;10;47.5518820286;
55;5;28.5271816254;21.625;6;23.5973824263;5;30.3905639648;36.5;10;47.8440244198;
56;6;29.540430069;22.625;5;23.6501399279;5;30.1782073975;35.5;10;48.1613030434;
57;6;29.553730011;23.625;5;23.7035576105;5;30.5733909607;34.5;11;48.5039470196;
58;6;29.567073822;24.625;4;23.757617712;5;30.6761817932;33.5;11;48.871723175;
59;6;29.5804595947;25.625;4;23.8123011589;5;30.7865142822;32.5;11;49.263862133;
60;6;29.5938796997;26.202917099;4;24.6795370579;5;30.9041595459;32.5;11;49.6789975166;
61;6;30.087562561;26.6235713959;4;26.402250886;5;31.0286979675;32.5;12;50.1151270866;
62;6;31.4938240051;27.9719085693;4;27.2076694965;6;31.159538269;32.5;11;51.5695996284;
63;6;32.8230133057;29.2565555573;4;28.6580369473;6;31.995880127;33.5;11;52.0691392422;
64;6;33.51354599;30.8354320526;5;29.9416900873;6;33.4367408752;34.5;12;52.5804975033;
65;6;34.0741958618;32.3063850403;5;33.0908600092;6;33.8991470337;35.5;13;53.099367857;
66;6;36.5196685791;35.6816749573;5;34.2865554094;7;34.0548095703;36.5;10;68.6211183071;
67;6;38.8681373596;37.9764518738;7;35.4409660101;7;35.2113342285;38.5;10;69.8909600973;
68;7;39.9033584595;40.2061233521;6;36.4189691544;7;36.3672866821;39.5;10;72.0735040903;
69;7;40.1053962708;42.2983627319;6;37.3738895655;8;37.5212402344;41.5;10;73.2533634901;
70;7;40.2399597168;44.3255310059;7;38.4435745478;9;38.6718215942;43.5;9;74.3460099697;
71;7;40.3865737915;44.884563446;8;39.631806016;9;39.8739242554;45.5;9;77.5056852102;
72;7;41.191280365;46.3255310059;8;40.9382560253;9;39.8112068176;48.0;9;80.2325764894;
73;7;41.3719711304;47.3255310059;8;42.3573795557;9;40.3677215576;50.3899993896;10;82.5708831549;
74;8;39.3754310608;49.8758621216;7;43.8776021004;9;40.8525924683;48.6872596741;9;84.5715823174;
75;8;42.0703430176;49.3255310059;9;45.4810702801;9;41.2758407593;49.9097442627;10;87.1231020689;
76;8;44.0017280579;50.3255310059;9;46.5969954729;9;41.5687904358;50.9097442627;10;89.1911957264;
77;9;44.913646698;51.17552948;8;47.765509963;9;43.7807159424;53.0;10;90.2242153883;
78;9;45.853187561;52.0405349731;9;48.9528186321;9;46.3086471558;56.0;10;90.980419755;
79;9;46.8175735474;52.9190292358;9;50.1265631318;9;46.8099021912;59.0;13;91.7141547203;
80;9;47.8042068481;53.8096847534;10;52.2584477663;9;47.0250701904;62.0;13;92.427185297;
81;9;49.810634613;55.0358428955;11;53.3012585044;9;47.2337989807;64.0;15;93.12169981;
82;9;51.8345108032;55.9783172607;11;54.2674196959;9;47.4367332458;65.0;17;93.8000818491;
83;9;52.8736343384;56.9297561646;13;56.148745954;9;47.6345939636;66.0;18;94.4647102356;
84;9;54.9259109497;58.8892326355;13;56.9064376354;9;47.8280830383;67.0;17;95.1178028584;
85;9;56.9822273254;60.8559150696;13;57.5724055171;9;47.5971603394;68.0;17;95.614538908;
86;9;57.8661422729;62.8290405273;15;58.1633604169;9;46.1605110168;70.0;18;96.1207785606;
87;9;58.2042999268;64.8079223633;15;58.6871010065;9;45.3057594299;72.0;18;96.6388189793;
88;9;58.5001335144;66.7919464111;16;59.1520686746;9;44.4543075562;74.0;19;97.1670014858;
89;10;54.628780365;70.3826293945;15;59.4910823405;9;43.6056594849;76.0;20;97.7035057545;
90;10;52.4853401184;73.741027832;17;59.6677067876;10;42.7592849731;78.0;19;98.2463802099;
91;10;50.8797912598;76.4685974121;18;59.8476234078;10;42.7079772949;79.0;19;98.7935817242;
92;10;47.5189666748;78.5111083984;18;60.0289063454;10;42.2378578186;79.0;20;99.3430175781;
93;10;46.2715759277;79.8304901123;19;60.209869653;10;43.9278450012;78.0;20;99.8925890923;
94;10;45.8504638672;82.5949249268;20;60.389066577;10;45.0845451355;78.0;20;100.440235972;
95;11;43.8425750732;83.636138916;19;61.5652737617;10;46.2404937744;78.0;21;100.983978748;
96;11;42.8354759216;86.2378692627;20;62.9860217571;10;46.7918739319;78.0;21;102.521955848;
97;12;40.2715759277;88.6638717651;21;64.4695645571;10;48.6515693665;79.0;17;103.112456203;
98;12;40.2715759277;90.5700683594;21;65.9983656406;10;49.7837181091;80.0;18;103.696907878;
99;12;39.4595680237;94.4709701538;22;67.5531191528;11;50.9128990173;82.0;18;105.274033904;
100;12;39.9083709717;98.7208862305;22;69.1141790152;11;52.9825401306;84.0;19;105.902751327;
101;12;40.9083709717;100.963050842;22;71.6630975306;11;52.1609916687;86.0;20;106.660710931;
102;12;44.9083709717;101.297042847;25;73.2440244853;11;53.3226509094;87.0;21;107.423348308;
103;12;47.1945152283;103.492004395;25;74.7876956463;11;53.5057678223;88.0;22;108.863118172;
104;12;44.762134552;103.378440857;26;76.2860701978;12;53.8452110291;88.0;21;110.38337183;
105;12;44.7602272034;107.57219696;27;77.7351818681;12;54.1995277405;89.0;22;111.985235214;
106;12;45.759437561;107.913589478;27;79.1346234977;13;53.1876335144;90.0;23;113.668462873;
107;12;45.4686737061;108.451583862;28;80.4867518842;13;56.0884017944;95.0;23;115.431208849;
108;12;44.7608528137;111.312095642;28;81.7957568765;13;58.5444297791;99.9609909058;24;117.269855261;
109;12;45.4556236267;111.871520996;34;83.0667683482;13;59.7845115662;103.324020386;24;119.17891264;
110;12;43.7713088989;111.947509766;34;84.3050841093;13;59.0254745483;104.420959473;24;121.151012182;
111;12;43.4556236267;113.587287903;34;85.5155948997;13;60.0671043396;106.15247345;25;123.082855701;
112;12;45.7886962891;109.41342926;34;86.5479640365;13;60.3566360474;110.0;26;126.657063723;
113;12;43.4556236267;112.015594482;35;87.552149415;13;67.5133743286;104.0;26;128.367134094;
114;12;43.4556236267;114.227684021;36;88.5675958991;13;68.7762985229;105.0;25;132.955088854;
