Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.8999996185;8.625;4;17.25;1;6.0;14.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;13.0;4;20.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;12.0;4;20.0;
4;1;11.8999996185;8.625;5;17.25;1;8.0;11.0;4;20.0;
5;1;12.8999996185;8.625;5;17.25;1;8.0;10.0;4;20.0;
6;1;13.8999996185;8.625;5;17.25;1;9.0;10.0;3;20.0;
7;1;14.8999996185;8.625;5;17.5949993134;1;9.5;10.0;3;20.0;
8;1;15.5569992065;8.79749965668;5;17.8861961365;1;9.5;10.0;3;20.3999996185;
9;2;16.3317184448;8.94309806824;4;19.6667137146;1;9.59000015259;10.1999998093;3;20.7264003754;
10;2;16.8000278473;9.3333568573;4;20.3755960464;2;9.66343975067;10.6632003784;2;21.9903717041;
11;2;18.8000278473;9.6677980423;4;20.9802966118;2;9.94783401489;10.4951858521;2;23.1319121122;
12;2;20.8000278473;9.94955635071;4;21.4904720783;2;10.2046804428;11.0209560394;2;24.1014695168;
13;2;21.8741588593;10.1834592819;4;21.9175518751;2;11.9899349213;11.4571752548;2;24.9131449461;
14;2;22.9002914429;10.3752222061;4;22.2734507322;2;13.9899349213;11.8107032776;2;25.5874900818;
15;2;23.9271316528;10.5308046341;5;22.5077478886;2;15.9899349213;12.0916318893;3;26.1475405693;
16;2;24.9546756744;10.625;5;22.5548160076;3;17.0659427643;12.3113050461;2;26.6159290075;
17;2;25.9829177856;10.625;5;22.6030313969;3;18.0950222015;12.4808797836;2;26.7922235727;
18;2;27.0118465424;10.625;5;22.6523760557;3;19.126083374;12.5;2;26.9393253326;
19;2;27.591424942;10.625;5;22.7028282881;3;20.0613479614;12.5;3;27.0956480503;
20;2;27.6216964722;10.625;5;22.7543625832;3;20.0965213776;12.5;4;27.261295557;
21;2;27.6526184082;10.625;5;22.8069496155;3;20.1337909698;12.5;5;27.4362905025;
22;2;27.6841697693;10.625;6;22.8605561256;3;20.1731643677;12.5;5;27.6205644608;
23;2;27.7163333893;10.625;6;22.9151450396;3;20.2146263123;12.5;5;27.8139474392;
24;2;27.74908638;10.625;6;22.97067523;3;20.2581386566;12.5;5;28.016159296;
25;2;27.7824058533;10.625;6;23.0271017551;3;20.3036365509;12.5;5;28.2268030643;
26;2;27.8162612915;10.625;6;23.0843759775;3;20.3510303497;12.5;5;28.445360899;
27;2;27.8506259918;10.625;6;23.1424454451;3;20.4002056122;12.5;6;28.6711919308;
28;2;27.8854675293;10.625;6;23.2012542486;3;20.4510192871;12.5;6;28.9035346508;
