Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;6;20.0;
4;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;6;20.0;
5;1;12.8999996185;8.625;5;17.25;2;10.3000001907;10.0;5;21.0;
6;1;13.8999996185;8.625;5;17.25;2;11.3000001907;10.0;5;21.0599999428;
7;2;15.5;8.625;4;18.5949993134;2;11.3179998398;10.0;5;21.5335636139;
8;2;16.156999588;8.79749965668;4;18.8861961365;2;11.4600687027;10.1999998093;5;21.9377998114;
9;2;16.3317184448;8.94309806824;4;19.7167136669;2;11.5813398361;10.3632001877;5;22.2840082645;
10;2;16.8300266266;9.3333568573;4;20.4375710487;2;11.6852025986;10.4951858521;5;23.4481773376;
11;2;18.8300266266;9.6677980423;4;21.0550626516;2;12.034453392;11.0209560394;5;24.4414664507;
12;2;20.8300285339;9.94955635071;4;21.5788632631;2;14.034453392;11.4571752548;5;25.2779132128;
13;2;21.9271945953;10.1834592819;4;22.0204176903;2;16.0344524384;11.8107032776;5;25.9779809713;
14;2;22.9620113373;10.3752222061;4;22.3916525841;2;16.7933940887;12.0916318893;5;26.5645889044;
15;2;23.9980545044;10.5308046341;5;22.6421557665;2;16.9693775177;12.3113050461;5;27.060223341;
16;2;25.035320282;10.625;5;22.7063041925;2;17.1180667877;12.4808797836;5;27.2642745972;
17;2;26.0738105774;10.625;5;22.7724741697;2;19.0660667419;12.5;5;27.439432621;
18;2;27.1135120392;10.625;5;22.8406432867;2;20.1186141968;12.5;5;27.6238675117;
19;2;27.7043857574;10.625;5;22.9107804298;2;21.1739444733;12.5;6;27.8174073696;
20;2;27.7464675903;10.625;5;22.9828453064;2;22.232006073;12.5;6;28.0197701454;
21;2;27.7897071838;10.625;5;23.0567884445;2;21.5;13.4059314728;6;28.2305569649;
22;2;27.834072113;10.625;6;23.1325509548;2;21.5;13.4691667557;6;28.4492475986;
