Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;4;20.0;
4;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
5;1;12.8999996185;8.625;4;17.25;1;10.0;10.0;4;20.0;
6;1;13.8999996185;8.625;4;17.25;1;11.0;10.0;4;20.0;
7;2;15.5;8.625;3;18.5949993134;1;11.0;10.0;3;20.3999996185;
8;2;16.156999588;8.79749965668;3;18.8861961365;1;11.1199998856;10.1999998093;3;20.7264003754;
9;2;16.3317184448;8.94309806824;3;19.7267136574;1;11.2179203033;10.3632001877;3;20.9903717041;
10;2;16.8360271454;9.3333568573;3;20.4585599899;1;11.2971115112;10.4951858521;3;22.0419120789;
11;2;18.8360271454;9.6677980423;3;21.0880736113;1;11.6125736237;11.0209560394;3;22.9143505096;
12;2;20.8360271454;9.94955635071;3;21.6249704361;1;11.8743057251;11.4571752548;3;23.6214065552;
13;2;21.9548587799;10.1834592819;3;22.0807329416;1;13.6125736237;11.8107032776;4;24.1832637787;
14;2;22.9982013702;10.3752222061;3;22.4673212767;1;14.6125736237;12.0916318893;4;24.6226100922;
15;2;24.0434551239;10.5308046341;4;22.734351635;1;15.6125736237;12.3113050461;4;24.9617595673;
16;2;25.0906391144;10.625;4;22.8162232637;1;16.6125736237;12.4808797836;4;25.0;
17;2;26.1397609711;10.625;4;22.9013283253;1;17.6125736237;12.5;4;25.0;
18;2;27.1908245087;10.625;4;22.9896525145;1;18.6125736237;12.5;4;25.0;
19;2;27.7937908173;10.625;4;23.0811642408;1;19.5;12.5;5;25.0;
20;2;27.8486976624;10.625;4;23.1758141518;1;19.5;12.5;5;25.0;
21;2;27.9054889679;10.625;5;23.2735335827;1;19.5;12.5;6;25.0;
22;2;27.9641208649;10.625;5;23.3742339611;1;19.5;12.5;6;25.0;
23;2;28.0245399475;10.625;5;23.4778065681;1;19.5;12.5;6;25.0;
