Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.8999996185;8.625;4;17.25;1;9.0;10.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;5;20.0;
3;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;6;20.0;
4;1;11.8999996185;8.625;5;17.25;1;9.0;10.0;6;20.0;
5;1;12.8999996185;8.625;5;17.25;1;10.0;10.0;6;20.0;
6;2;14.5;8.625;4;18.25;1;11.0;10.0;5;20.0;
7;2;15.5;8.625;4;18.6799993515;1;11.0;10.0;4;20.3999996185;
8;2;16.2080001831;8.79749965668;4;19.0624989271;1;11.1199998856;10.1999998093;2;20.7264003754;
9;2;16.4375;8.94309806824;4;19.9644544125;1;11.2179203033;10.3632001877;2;20.9903717041;
10;2;16.9786720276;9.3333568573;4;20.7657356262;1;11.2971115112;10.4951858521;2;22.0419120789;
11;2;18.9786720276;9.6677980423;4;21.4732652903;1;11.6125736237;11.0209560394;2;22.9143505096;
12;2;20.9786720276;9.94955635071;4;22.0973191261;1;11.8743057251;11.4571752548;2;23.6214065552;
13;2;22.2382678986;10.1834592819;4;22.6498981714;1;12.8743057251;11.8107032776;2;24.1832637787;
14;2;23.3396987915;10.3752222061;4;23.1434209347;1;13.8743057251;12.0916318893;2;24.6226100922;
15;2;24.4491138458;10.5308046341;5;23.5278806686;1;14.3867835999;12.3113050461;2;24.9617595673;
16;2;25.5667552948;10.625;5;23.7379496098;1;14.488527298;12.4808797836;2;25.0;
17;2;26.6927967072;10.625;5;23.9621648788;1;16.3867835999;12.5;2;25.0;
18;2;27.8273258209;10.625;5;24.2005054951;1;17.3867835999;12.5;2;25.0;
19;2;28.5203037262;10.625;5;24.4527587891;1;18.3867835999;12.5;3;25.0;
20;2;28.6716556549;10.625;5;24.7184994221;1;19.3867835999;12.5;3;25.0;
21;2;28.8311004639;10.625;5;24.9970719814;1;19.5;12.5;3;25.0;
22;2;28.9982433319;10.625;6;25.2875800133;1;19.5;12.5;3;25.0;
23;2;29.1725482941;10.625;6;25.5888810158;1;19.5;12.5;3;25.0;
