Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.8999996185;8.625;4;17.25;1;6.0;14.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;13.0;4;20.0;
3;1;11.8999996185;8.625;5;17.25;2;8.0;12.3000001907;3;21.0;
4;1;11.8999996185;8.625;5;17.25;2;8.14999961853;11.0;3;21.0900000334;
5;1;12.8999996185;8.625;5;17.25;2;8.16349983215;10.0;3;21.1871190071;
6;1;13.8999996185;8.625;5;17.25;2;9.26710128784;10.0;3;21.2917383909;
7;1;14.8999996185;8.625;4;17.5949993134;2;9.79064083099;10.0;3;21.4042263031;
8;1;15.5569992065;8.79749965668;4;17.8861961365;2;9.81595134735;10.0;3;21.9389723539;
9;1;15.7317180634;8.94309806824;4;18.6667137146;2;9.93626880646;10.1999998093;3;22.4109756947;
10;1;16.2000274658;9.3333568573;4;19.3355960846;2;10.0424690247;10.3632001877;2;22.831872344;
11;1;17.2000274658;9.6677980423;4;19.8991127014;2;10.1371707916;10.4951858521;1;24.1073114872;
12;2;19.2000274658;9.94955635071;3;21.3669185638;2;10.4241456985;11.0209560394;1;25.2262470722;
13;2;21.2000274658;10.1834592819;3;21.7704443932;2;12.2430105209;11.4571752548;1;26.2035200596;
14;2;22.8120269775;10.3752222061;3;22.1018052101;2;14.2430105209;11.8107032776;1;27.060199976;
15;2;23.8241443634;10.5308046341;4;22.3105818033;2;16.2430095673;12.0916318893;2;27.819549799;
16;2;24.8363761902;10.625;4;22.3311508894;3;17.4421443939;12.3113050461;2;28.5040667057;
17;2;25.8487186432;10.625;4;22.3518965244;3;18.5198516846;12.4808797836;3;28.912750721;
18;2;26.8611660004;10.625;4;22.3728116751;3;19.6032028198;12.5;4;29.3074398041;
19;2;27.4236869812;10.625;4;22.3938889503;3;20.5941734314;12.5;4;29.7249407768;
20;2;27.4363327026;10.625;4;22.4151208401;3;20.6881122589;12.5;4;30.1631817818;
21;2;27.4490718842;10.625;5;22.4364993572;3;20.7867164612;12.5;4;30.6194429398;
22;2;27.4618988037;10.625;5;22.4580165148;3;20.8893737793;12.5;4;31.0903835297;
23;2;27.4748096466;10.625;5;22.4796639681;3;20.9953365326;12.5;3;31.5721096992;
24;3;27.4877986908;10.625;4;22.5014331341;3;21.1037254333;12.5;4;32.0602788925;
25;3;26.75;11.2507162094;4;22.5233153105;3;21.2135620117;12.5;4;32.550242424;
26;3;26.75;11.2616577148;4;22.5453014374;3;21.3238048553;12.5;4;33.0372152328;
27;3;26.75;11.2726507187;4;22.5673824549;3;21.4333724976;12.5;4;33.516456604;
