Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_REPLICON;Research_KI_6_SP_REPLICON;Industry_KI_6_SP_REPLICON;Ships_KI_6_SP_REPLICON;Population_KI_6_SP_REPLICON;
1;1;11.8999996185;8.625;4;17.25;1;6.0;14.0;4;20.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;13.0;6;20.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;12.0;6;20.0;
4;1;11.8999996185;8.625;5;17.25;1;8.0;11.0;6;20.0;
5;1;12.8999996185;8.625;5;17.25;1;8.0;10.0;6;20.0;
6;2;14.5;8.625;4;18.25;1;9.0;10.0;6;20.0;
7;2;15.5;8.625;4;18.6799993515;1;9.5;10.0;5;20.0;
8;2;16.2080001831;8.79749965668;4;19.0624989271;1;9.5;10.0;5;20.3999996185;
9;2;16.4375;8.94309806824;4;19.9644544125;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;16.9786720276;9.3333568573;4;20.7657356262;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;18.9786720276;9.6677980423;4;21.4732652903;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;20.9786720276;9.94955635071;4;22.0973191261;1;9.95943069458;11.0209560394;4;22.9143505096;
13;2;22.2382678986;10.1834592819;4;22.6498981714;1;11.7228336334;11.4571752548;3;23.6214065552;
14;2;23.3396987915;10.3752222061;3;23.1434209347;1;12.7228336334;11.8107032776;3;24.1832637787;
15;2;24.4491138458;10.5308046341;4;23.5278806686;2;14.7228336334;12.3916320801;2;25.6226100922;
16;2;25.5667552948;10.625;4;23.7379496098;2;16.7228336334;12.3113050461;2;25.9917595387;
17;2;26.6927967072;10.625;4;23.9621648788;2;17.9545841217;12.4808797836;2;26.0605909824;
18;2;27.8273258209;10.625;4;24.2005054951;2;18.9614658356;12.5;3;26.091766119;
19;2;28.5203037262;10.625;4;24.4527587891;2;19.8706474304;12.5;3;26.1235172749;
20;2;28.6716556549;10.625;4;24.7184994221;2;19.8777923584;12.5;3;26.1558350325;
21;2;28.8311004639;10.625;4;24.9970719814;2;19.8850631714;12.5;3;26.1887089014;
22;2;28.9982433319;10.625;4;25.2875800133;2;19.8924598694;12.5;3;26.2221269608;
23;2;29.1725482941;10.625;4;25.5888810158;2;19.8999786377;12.5;4;26.2560760975;
24;3;29.3533287048;10.625;2;25.8995933533;3;19.907617569;12.5;3;26.2905418873;
25;3;27.3533287048;10.625;2;26.2181096077;3;19.9153709412;12.5;4;26.3255085945;
26;3;26.75;10.625;2;26.5426211357;3;19.9232387543;12.5;4;26.3609591722;
27;3;26.75;10.625;2;26.8711543083;4;19.9312152863;12.5;3;26.3968753815;
28;3;26.75;10.625;2;27.2016134262;4;19.625;12.5;3;26.4332377911;
29;3;26.75;10.625;2;27.5318317413;4;17.947479248;13.5;2;26.4700255394;
30;3;26.75;10.625;2;27.8596282005;4;16.9557552338;14.5;1;26.5072168112;
31;3;26.75;10.625;3;28.1828637123;4;15.625;15.5;1;26.5447884798;
32;4;26.75;10.625;2;28.4994969368;4;14.625;16.5;1;26.5827163458;
33;4;26.75;10.625;2;28.8076372147;4;14.0;17.5;1;26.6209751368;
34;4;26.75;10.625;2;29.1055865288;4;14.0;18.5;1;26.6595385075;
35;4;26.75;12.625;2;29.3918762207;4;14.0;19.5;1;26.6983793974;
36;4;26.75;14.625;2;29.6652908325;4;14.0;20.5;1;26.7374696732;
37;4;26.75;16.625;2;30.9248781204;4;14.0;21.5;2;26.7767804861;
38;4;27.75;19.625;2;31.2099542618;4;14.0;22.5;2;26.8162822723;
39;4;28.75;22.625;2;31.481276989;4;14.0;23.5;2;26.8559447527;
40;4;29.75;23.625;2;31.7386648655;4;14.0;24.5;2;26.8957372904;
41;4;30.75;24.625;2;31.9821537733;4;14.0;25.5;2;26.9356285334;
42;4;31.75;25.625;2;32.2119673491;4;14.0;26.5;3;27.9755871296;
43;4;32.477104187;25.625;2;32.4284889698;4;15.0;27.5;5;29.0555810928;
44;4;32.504650116;25.625;4;32.6322314739;4;17.0;28.5;5;29.1667625904;
45;4;32.5328903198;25.625;4;32.8238070011;4;18.0;29.5;5;29.2796924114;
46;4;32.5618209839;25.625;4;33.0038985014;4;19.0;27.5;6;29.3943301439;
47;4;32.5914268494;25.625;5;33.173235774;4;18.0;28.5;6;29.5106319189;
48;5;29.75;27.3514137268;4;33.2543625832;4;18.0;29.5;6;29.6285489798;
49;5;30.75;25.625;4;33.3069496155;4;19.0;27.5;6;29.7480288744;
50;5;28.75;27.4034748077;4;33.3605561256;4;18.0;28.5;7;29.8690145016;
51;6;31.7163333893;27.625;4;34.4151450396;4;19.0;29.5;7;29.9914447069;
52;6;33.7490882874;29.625;4;34.5106751919;4;20.0;31.5;7;30.1152538061;
53;6;34.7824058533;31.625;4;34.6082856655;4;21.0;33.5;6;30.2403719425;
54;6;34.8162612915;33.625;4;34.707929492;4;22.0;35.5;7;30.3667243719;
55;6;34.8506240845;35.625;4;35.950270772;4;23.0;37.5;6;30.4942326546;
56;7;35.3938598633;36.4046859741;4;38.0334726572;4;23.625;36.5;8;30.6228142977;
57;8;36.8521957397;37.8506278992;3;39.0353848934;4;23.625;35.5;10;30.75238204;
58;8;39.2359428406;37.1118888855;3;39.919036746;4;23.625;34.5;10;30.8828450441;
59;8;40.5565795898;37.3184967041;5;40.7044565678;4;24.024848938;34.5;12;31.0141086578;
60;8;41.8254241943;37.4799499512;5;41.2035461664;4;24.2178630829;33.5;13;31.1460745335;
61;8;36.3739547729;41.4799499512;5;41.6535285711;4;24.6517562866;32.5;13;31.2786409855;
62;8;36.3739547729;42.5071144104;6;42.0590049028;4;23.625;34.5;15;31.4117031097;
63;8;34.3739547729;44.6127700806;6;42.3852095604;5;24.2418193817;33.9075202942;16;44.2951532602;
64;8;35.3739547729;44.7215652466;5;44.7217043638;5;25.0909404755;34.5;18;45.0663809776;
65;8;39.3739547729;47.2438316345;6;45.2080680132;5;25.625;37.4669342041;19;45.784304738;
66;9;43.3187179565;51.2438316345;5;45.7123043537;5;26.118347168;37.4903411865;19;46.4461598396;
67;9;44.1062278748;55.2438316345;6;46.2341525555;5;25.625;39.5133628845;19;47.0513528585;
68;9;44.2344970703;59.2438316345;7;46.7732585669;5;26.2794246674;39.1346321106;20;47.6011263132;
69;9;44.3653488159;63.2438316345;8;47.3291715384;6;24.625;41.1781463623;19;48.0981446505;
70;10;44.4985656738;65.0117645264;7;47.901342392;6;24.625;43.2217941284;20;48.5440485477;
71;10;43.7904777527;67.0621185303;7;48.4891232252;6;24.625;44.3521537781;21;48.9171819687;
72;10;43.8805007935;69.1139068604;8;50.0917644501;6;24.625;45.395904541;21;49.2506241798;
73;10;44.9701919556;72.1670608521;9;50.7484167814;7;26.0;47.4396247864;20;50.5359203815;
74;10;46.0592803955;75.2215118408;9;51.419316411;7;28.6053333282;48.5999984741;20;50.6879665852;
75;11;46.1475143433;75.2771759033;8;52.1034189463;7;29.4804782867;50.5999984741;20;51.8416206837;
76;11;44.1475143433;75.4428863525;8;52.7995835543;7;31.5375003815;52.57006073;21;52.0368002653;
77;11;43.4000015259;75.575881958;8;53.5065749884;7;32.1845741272;54.1504745483;20;53.7719461918;
78;11;43.4000015259;75.7130889893;9;54.2230689526;7;32.7070922852;54.2356567383;21;55.2370889187;
79;12;43.4000015259;75.854309082;13;54.9476585388;7;32.3776550293;55.683555603;22;56.4725062847;
80;12;42.4000015259;74.9992523193;15;55.6788601875;8;32.6883926392;56.9483680725;20;57.5199491978;
81;12;44.4000015259;73.1476287842;15;56.4151226282;8;32.8035964966;58.574382782;21;58.1352690458;
82;12;40.4000015259;76.6187362671;16;57.1548370123;8;33.6683006287;55.9356803894;21;58.5202219486;
83;12;39.4000015259;78.8345870972;16;57.8963465691;8;33.4928207397;55.9356803894;21;58.9093079567;
84;12;38.4000015259;81.0536346436;17;58.6379606724;8;30.1000003815;60.3188400269;22;59.3020781279;
85;12;37.4000015259;83.2752456665;17;60.3779671192;9;29.1000003815;64.2559356689;19;69.6980667114;
86;12;37.4000015259;86.4987335205;18;61.0646474957;9;29.1000003815;67.6784210205;20;70.5967925787;
87;12;38.4000015259;86.7233886719;21;61.7512915134;9;29.1000003815;70.8424377441;20;71.4702606201;
88;12;36.4000015259;89.9484863281;21;62.4357149005;9;28.1000003815;74.0045471191;20;72.3148829937;
89;12;35.4000015259;93.1732635498;22;63.1158246994;9;27.1000003815;77.1644744873;21;73.128082037;
90;12;35.4000015259;93.3969497681;25;63.789631784;10;26.1000003815;80.321975708;20;73.908261776;
91;12;33.4000015259;95.6188201904;26;64.4552617073;10;27.1000003815;81.4768218994;20;74.6547236443;
92;12;32.4000015259;97.8381195068;25;66.8674005866;11;26.0;81.587387085;18;75.3675405979;
93;13;32.4000015259;97.537109375;22;69.3635473251;11;26.0;84.539932251;19;76.0474128723;
94;13;31.0;100.271202087;25;71.9224511385;11;27.0;85.6452331543;20;76.6955173016;
95;13;31.0;103.034332275;27;74.5200248957;11;26.0;89.7476959229;20;77.3133635521;
96;13;33.0;100.819061279;26;77.1302261353;11;27.0;91.8472442627;20;77.8791046143;
97;13;32.0;102.616821289;26;80.7261474133;11;28.0;94.9272918701;22;78.4023690224;
98;13;33.0;104.41822052;26;84.3412238359;11;29.0;97.9932403564;21;78.8062369823;
99;13;35.0;107.213485718;27;88.9534163475;11;31.0;98.0569076538;20;79.1563296318;
100;14;39.0;108.992980957;24;105.623415828;10;26.0;85.1182556152;22;65.503058672;
