Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.6999998093;4;21.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;11.6999998093;5;21.0;
3;1;11.8999996185;8.625;5;17.25;1;8.0;10.6999998093;5;21.0;
4;1;11.8999996185;8.625;5;17.25;1;8.14999961853;10.5;5;21.0;
5;1;12.8999996185;8.625;5;17.25;1;8.14999961853;10.5;5;21.0;
6;1;13.8999996185;8.625;5;17.25;1;9.14999961853;10.5;5;21.0;
7;1;14.8999996185;8.625;5;17.5949993134;1;9.72500038147;10.5;5;21.0;
8;2;16.156999588;8.79749965668;4;18.8861961365;1;9.72500038147;10.5;5;21.4200000763;
9;2;16.3317184448;8.94309806824;4;19.7067136765;1;9.81949996948;10.7100000381;5;21.758436203;
10;2;16.8240280151;9.3333568573;4;20.416779995;1;9.8956489563;10.8792181015;5;22.0;
11;2;18.8240280151;9.6677980423;3;21.0226662159;2;9.94999980927;11.1999998093;4;24.5400009155;
12;2;20.8240280151;9.94955635071;3;21.5340260267;2;10.5215005875;11.7700004578;5;25.9852849245;
13;2;21.9002914429;10.1834592819;3;21.9622858763;2;12.2109994888;12.4126424789;5;27.2054134607;
14;2;22.9271316528;10.3752222061;3;22.3193571568;2;14.2109994888;12.9308347702;5;28.2274179459;
15;2;23.9546756744;10.5308046341;4;22.5548160076;2;16.2110004425;13.3366470337;5;29.0880752802;
16;2;24.9829177856;10.625;4;22.6030313969;2;17.3536891937;13.6469516754;5;29.82655406;
17;2;26.0118465424;10.625;4;22.6523760557;2;18.4150733948;13.879781723;4;30.375654459;
18;2;27.0414524078;10.625;4;22.7028282881;2;19.4845237732;14.0;4;30.7230784893;
19;2;27.6216964722;10.625;4;22.7543625832;2;20.5626926422;14.0;4;31.1118502617;
20;2;27.6526184082;10.625;4;22.8069496155;2;21.0001659393;14.0;4;31.544028759;
21;2;27.6841697693;10.625;5;22.8605561256;2;21.0974063873;14.0;4;32.0209121704;
22;2;27.7163333893;10.625;5;22.9151450396;2;21.2047042847;14.0;4;32.5427899361;
23;2;27.74908638;10.625;5;22.97067523;2;21.3221263885;14.0;4;33.1086950302;
24;2;27.7824058533;10.625;5;23.0271017551;2;21.4494552612;14.0;4;33.7161855698;
25;2;27.8162612915;10.625;5;23.0843759775;2;21.5861415863;14.0;5;34.3611893654;
26;2;27.8506259918;10.625;5;23.1424454451;2;21.7312660217;14.0;6;35.0379443169;
27;2;27.8854675293;10.625;5;23.2012542486;2;21.8835372925;14.0;6;35.7390680313;
28;2;27.920753479;10.625;5;23.2607431412;2;22.0412902832;14.0;7;36.4557781219;
29;2;27.956445694;10.625;5;23.3208494186;2;22.2025489807;14.0;7;37.1782588959;
30;2;27.9925098419;10.625;5;23.3815076351;2;20.36510849;15.0;7;37.8961582184;
31;2;24.75;12.625;5;23.4426498413;2;19.5266342163;16.0;7;38.5991659164;
32;2;25.75;11.7213249207;5;23.5042052269;2;18.6848106384;17.0;7;39.2776012421;
33;2;23.75;12.7521028519;5;23.5661010742;2;17.8374595642;18.0;7;39.9229507446;
34;2;24.75;11.7830505371;6;23.6282629967;2;16.9826622009;19.0;7;40.5282850266;
35;2;26.75;13.7830505371;6;23.6906147003;2;16.818862915;20.0;7;41.088514328;
36;2;28.2143688202;15.7830505371;6;23.7530794144;2;16.9449157715;21.0;8;41.6004695892;
37;2;28.2518482208;17.7830505371;7;23.8155794144;2;17.0601062775;22.0;8;42.0628213882;
38;2;28.2893486023;19.625;8;23.878036499;2;17.1641349792;23.0;9;42.4758720398;
39;2;28.3268222809;20.625;8;23.940372467;2;17.2570705414;24.0;9;42.8412618637;
40;2;28.3642234802;20.625;9;24.0025100708;2;17.3392829895;25.0;10;43.1616458893;
41;2;28.401506424;20.625;10;24.0643725395;2;17.4113693237;26.0;10;43.4403705597;
42;3;28.4386234283;20.625;8;24.1258842945;2;17.4740829468;27.0;12;43.6811828613;
43;3;28.4755306244;20.625;8;24.186971426;2;18.5282669067;25.0;12;43.8879890442;
44;3;28.5121822357;20.625;8;24.2475619316;2;17.574798584;26.0;14;44.0;
45;3;28.548538208;20.625;8;24.3075861931;3;17.6000003815;27.0;11;56.75;
46;4;28.5845527649;20.625;7;34.3669772148;3;17.6000003815;26.0;11;57.3874998093;
47;4;29.6201858521;21.625;7;34.8256702423;4;20.6000003815;27.0;10;74.9715299606;
48;4;30.6554031372;22.625;6;35.2580051422;4;17.6000003815;31.0;10;76.5194406509;
49;4;30.6901626587;23.625;7;35.6626622677;4;18.0;35.0;12;77.8881492615;
50;4;30.7244338989;24.625;7;36.0390057564;4;19.0;39.0;12;79.0765447617;
51;4;30.7581825256;25.625;7;36.3870158195;4;20.0;42.0;13;80.0919466019;
52;4;28.7581825256;25.625;7;36.7071986198;4;21.0;44.0;14;80.9476642609;
53;4;28.75;25.625;7;37.0004920959;4;23.0;45.0;16;81.6605319977;
54;4;28.75;25.625;7;37.2681641579;4;25.0;46.0;17;82.2488098145;
55;4;28.75;25.625;7;37.6096787453;4;27.0;47.0;17;82.7176094055;
56;4;28.75;25.625;7;38.8539030552;5;30.0;49.0;16;83.75;
57;4;29.2281265259;26.0234375;8;39.9210772514;5;33.0;50.0;18;83.9099999666;
58;4;29.6187667847;26.3489723206;10;40.8298411369;5;35.0;51.0;18;84.0937439203;
59;4;29.9322776794;26.6102333069;10;42.6011190414;5;37.0;52.0;19;84.3041238785;
60;4;31.1802082062;27.8168411255;10;43.2757501602;5;38.5374984741;53.0;19;84.5441719294;
61;4;32.3739547729;28.9782962799;10;43.646027565;5;39.5374984741;53.0;20;84.8169906139;
62;4;32.4000015259;30.0;12;43.8112283945;5;40.5374984741;53.0;20;85.125654459;
63;4;32.4000015259;31.0;12;43.9742859602;5;41.5374984741;53.0;23;85.4730784893;
64;4;30.4000015259;33.0;12;44.1348216534;6;42.5374984741;53.0;23;85.8618502617;
65;4;31.4000015259;32.0;14;44.2924851179;6;43.5374984741;53.0;23;86.294028759;
66;4;29.4000015259;33.0;15;44.4469566345;6;44.5374984741;53.0;23;86.7709121704;
67;4;30.4000015259;32.0;15;44.5979511738;6;45.5374984741;53.0;23;87.373208046;
68;4;31.4000015259;32.0;15;44.7452175617;6;46.5374984741;53.0;24;90.3947515488;
69;4;29.4000015259;33.0;16;44.8885418177;6;47.7070922852;53.8400001526;24;93.0091252327;
70;4;30.4000015259;32.0;16;45.0277463198;6;48.7226791382;54.4629440308;25;95.2890195847;
71;4;31.4000015259;32.0;16;45.1626894474;6;49.2222747803;54.9158058167;25;97.0594706535;
72;4;29.4000015259;33.0;16;45.2932642698;6;49.6198272705;55.0;25;98.2970848083;
