Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.6999998093;4;21.0;
2;1;11.8999996185;8.625;5;17.25;2;7.0;11.8999996185;4;22.0;
3;1;11.8999996185;8.625;5;17.25;2;8.14999961853;10.6999998093;4;22.0900000334;
4;1;11.8999996185;8.625;5;17.25;2;8.31349945068;10.5;4;22.1871190071;
5;1;12.8999996185;8.625;5;17.25;2;8.32806777954;10.5;4;22.2917383909;
6;1;13.8999996185;8.625;5;17.25;2;9.44064044952;10.5;4;22.4042263031;
7;1;14.8999996185;8.625;5;17.5949993134;2;10.0409517288;10.5;4;22.5249304771;
8;1;15.5569992065;8.79749965668;5;17.8861961365;2;10.0681095123;10.5;4;23.0894187689;
9;1;15.7317180634;8.94309806824;5;18.6667137146;2;10.1951189041;10.7100000381;4;23.5836213827;
10;1;16.2000274658;9.3333568573;5;19.3355960846;2;10.3063154221;10.8792181015;4;23.9926425219;
11;1;17.2000274658;9.6677980423;5;19.8991127014;2;10.3983440399;11.0;4;25.8316864967;
12;1;18.2000274658;9.94955635071;5;20.3669185638;2;10.8121290207;11.7700004578;5;27.4540388584;
13;1;19.2000274658;10.1834592819;5;20.7504444122;2;12.541469574;12.4126424789;5;28.8682081699;
14;1;20.2000274658;10.3752222061;5;21.0616092682;2;14.541469574;12.9308347702;5;30.1005516052;
15;1;21.2000274658;10.5308046341;6;21.25;2;16.541469574;13.3366470337;5;31.1863336563;
16;1;22.2000274658;10.625;6;21.25;2;17.8257961273;13.6469516754;5;32.1621966362;
17;1;23.2000274658;10.625;6;21.25;2;18.9405918121;13.879781723;5;32.9572491646;
18;1;24.2000274658;10.625;6;21.25;2;20.0653820038;14.0;5;33.5542383194;
19;1;24.75;10.625;6;21.25;2;21.1997051239;14.0;5;34.1899633408;
20;1;24.75;10.625;6;21.25;2;21.692741394;14.0;5;34.8591008186;
21;1;24.75;10.625;6;21.25;2;21.843296051;14.0;5;35.5546751022;
22;1;24.75;10.625;6;21.25;2;21.9998016357;14.0;5;36.2682390213;
23;1;24.75;10.625;7;21.25;2;22.1603527069;14.0;6;36.9902019501;
24;1;24.75;10.625;7;21.25;2;22.3227958679;14.0;6;37.7102985382;
25;1;24.75;10.625;8;21.25;2;22.4848175049;14.0;6;38.4181499481;
26;1;24.75;10.625;8;21.25;2;22.6440830231;14.0;6;39.1038570404;
27;1;24.75;10.625;8;21.25;2;22.7983665466;14.0;6;39.758556366;
28;1;24.75;10.625;7;21.25;2;22.9456748962;14.0;6;40.374874115;
29;1;24.75;10.625;7;21.25;2;23.0843467712;14.0;6;40.947227478;
30;1;24.75;10.625;8;21.25;2;21.2131252289;15.0;7;41.4719495773;
31;1;24.75;10.625;8;21.25;2;20.3311882019;16.0;7;41.9472465515;
32;1;24.75;10.625;8;21.25;2;19.438129425;17.0;7;42.3730211258;
33;1;24.75;10.625;8;21.25;2;18.5339279175;18.0;7;42.7505970001;
34;1;24.75;10.625;8;21.25;3;17.6188831329;19.0;6;43.0823974609;
35;1;24.75;10.625;8;21.25;3;17.3935394287;20.0;6;43.3716182709;
36;1;24.75;10.625;8;21.25;3;17.4586143494;21.0;7;43.6219272614;
37;1;24.75;10.625;8;21.25;3;17.5149345398;22.0;7;43.8372087479;
38;1;24.75;11.625;8;21.25;3;17.5633716583;23.0;8;44.0;
39;1;24.75;12.625;8;21.25;3;17.6000003815;24.0;8;44.0;
40;1;24.75;13.625;8;21.25;3;17.6000003815;25.0;8;44.0;
41;1;24.75;14.625;8;21.25;3;17.6000003815;26.0;10;44.0;
42;1;24.75;15.625;8;21.25;3;17.6000003815;27.0;10;44.0;
43;1;24.75;15.625;8;21.25;3;18.6000003815;25.0;11;44.0;
44;1;24.75;15.625;8;21.25;3;17.6000003815;26.0;12;44.0;
45;2;24.75;15.625;8;21.25;3;17.6000003815;27.0;11;44.0;
46;2;24.75;15.625;9;21.25;3;18.6000003815;25.0;12;44.0;
47;2;24.75;15.625;9;21.25;3;19.6000003815;25.0;13;44.0;
48;2;24.75;15.625;10;21.25;3;20.6000003815;25.0;13;44.0;
49;2;24.75;15.625;10;21.25;3;21.6000003815;25.0;14;44.0;
50;2;24.75;15.625;10;21.25;3;22.6000003815;25.0;14;44.0;
51;2;24.75;15.625;11;21.25;3;23.6000003815;25.0;14;44.0;
52;2;24.75;15.625;11;21.25;4;24.8999996185;25.0;13;45.0;
53;2;24.75;15.625;11;21.25;4;25.8999996185;26.0;14;45.1599999666;
54;2;24.75;15.625;11;21.25;4;25.8999996185;27.0;14;45.3437439203;
55;2;24.75;15.625;10;21.25;4;25.8999996185;28.0;14;45.5541238785;
56;2;24.75;15.625;10;22.25;4;25.8999996185;29.0;14;45.7941719294;
57;2;25.75;16.625;11;22.2899999619;6;25.8999996185;29.0;12;46.0669906139;
58;2;26.75;17.625;11;22.3311839104;6;25.8999996185;29.0;13;46.375654459;
59;2;26.75;18.625;12;22.3735535145;6;25.8999996185;29.0;13;46.7230784893;
60;2;26.75;19.625;12;22.4171074629;6;25.8999996185;29.0;13;47.1118502617;
61;2;26.75;20.625;12;22.461841464;6;25.8999996185;29.0;13;47.544028759;
62;2;26.75;20.625;11;23.3288598061;6;25.8999996185;29.0;13;48.0209121704;
63;2;27.2281265259;21.0234375;12;24.0532354116;6;25.8999996185;29.0;13;48.5427899361;
64;2;27.6187667847;21.3489723206;12;24.6522556543;6;25.8999996185;29.0;13;50.1086950302;
65;2;27.9322776794;21.6102333069;12;25.1451964378;6;26.8999996185;30.0;14;50.7161855698;
66;2;28.1802082062;21.8168411255;12;25.5510679483;6;27.8999996185;31.0;15;51.3611893654;
67;2;28.3739547729;21.9782962799;11;25.6806651354;6;27.8999996185;32.0;15;53.0379443169;
68;2;28.4000015259;22.0;11;25.7700653076;6;28.8999996185;34.0;15;53.7690680027;
69;3;28.4000015259;22.0;7;37.3626385927;6;29.8999996185;36.0;16;54.5163691044;
70;3;29.4000015259;23.0;9;38.0908287764;6;30.8999996185;37.7000007629;16;55.2700250149;
71;3;30.4000015259;24.0;10;38.780110836;6;31.8999996185;38.7000007629;16;57.5641579628;
72;5;30.4000015259;25.0;7;54.4259490967;7;31.0890007019;41.1409988403;16;59.5759811401;
73;5;31.4000015259;27.0;7;56.0756959915;7;32.2291641235;39.7314720154;17;61.3412748575;
74;5;32.4000015259;30.0;8;57.583442688;7;30.6063041687;41.7221374512;18;62.6519854069;
75;5;32.4000015259;33.0;8;58.9392728806;7;31.3500003815;41.4212188721;18;63.7854084969;
76;5;32.4000015259;36.0;7;60.1413750648;7;29.75;42.4675216675;18;64.8021225929;
77;5;32.4000015259;39.0;8;61.1947550774;7;30.75;41.5147857666;18;65.5622290373;
78;5;32.4000015259;42.0;8;62.1094624996;7;32.0683746338;40.8554878235;18;67.2550889254;
79;5;32.4000015259;45.0;8;62.8987255096;7;28.75;44.612121582;18;67.9998527765;
80;5;32.4000015259;47.4703369141;9;63.5772755146;7;28.75;47.6621513367;18;68.7604074478;
81;5;32.4000015259;49.5300216675;10;64.0417625904;7;27.75;50.7553253174;18;69.4774633646;
