Turn;Planet_count_KI_1_SP_SCYLIOR;Research_KI_1_SP_SCYLIOR;Industry_KI_1_SP_SCYLIOR;Ships_KI_1_SP_SCYLIOR;Population_KI_1_SP_SCYLIOR;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.8999996185;8.625;4;17.25;1;6.0;12.6999998093;4;21.0;
2;1;11.8999996185;8.625;5;17.25;1;7.0;11.6999998093;4;21.0;
3;1;11.8999996185;8.625;4;17.25;1;8.0;10.6999998093;4;21.0;
4;1;11.8999996185;8.625;4;17.25;1;8.14999961853;10.5;4;21.0;
5;1;12.8999996185;8.625;4;17.25;1;8.14999961853;10.5;4;21.0;
6;1;13.8999996185;8.625;4;17.25;1;9.14999961853;10.5;4;21.0;
7;1;14.8999996185;8.625;4;17.5949993134;1;9.72500038147;10.5;4;21.0;
8;2;16.156999588;8.79749965668;3;18.8861961365;1;9.72500038147;10.5;4;21.4200000763;
9;2;16.3317184448;8.94309806824;3;19.696713686;2;9.81949996948;10.9099998474;3;22.758436203;
10;2;16.8180274963;9.3333568573;3;20.396187067;2;10.1206493378;10.8792181015;3;23.1000000238;
11;2;18.8180274963;9.6677980423;3;20.9908788204;2;10.1975002289;11.0;3;24.8149009943;
12;2;20.8180274963;9.94955635071;3;21.4904358387;2;10.5833530426;11.7700004578;4;26.3006643057;
13;2;21.8741378784;10.1834592819;3;21.9062794447;2;12.2819604874;12.4126424789;4;27.5660959482;
14;2;22.8935279846;10.3752222061;3;22.2503181696;2;14.2819604874;12.9308347702;5;28.6384222507;
15;2;23.9132537842;10.5308046341;4;22.4721269608;2;16.2819595337;13.3366470337;5;29.5544860363;
16;2;24.933303833;10.625;4;22.5060760975;2;17.4586315155;13.6469516754;6;30.3533427715;
17;2;25.9536724091;10.625;4;22.5405418873;2;18.5335998535;13.879781723;7;30.9674448967;
18;2;26.9743518829;10.625;4;22.5755085945;2;19.6176757812;14.0;7;31.3838531971;
19;2;27.5453052521;10.625;4;22.6109591722;2;20.7113685608;14.0;7;31.8446035385;
20;2;27.566576004;10.625;4;22.6468753815;2;21.1650352478;14.0;8;32.350376606;
21;2;27.5881252289;10.625;5;22.6832377911;2;21.2788333893;14.0;8;32.9006829262;
22;2;27.6099433899;10.625;5;22.7200255394;2;21.4026527405;14.0;8;33.4936323166;
23;2;27.6320152283;10.625;5;22.7572168112;2;21.5360660553;14.0;8;34.1257500648;
24;2;27.6543292999;10.625;5;22.7947884798;2;21.6782932281;14.0;8;34.7918796539;
25;2;26.75;11.3973941803;5;22.8327163458;2;21.8281726837;14.0;8;35.4852027893;
26;2;26.75;11.4163579941;5;22.8709751368;2;21.9841690063;14.0;8;36.1974048615;
27;2;26.75;11.4354877472;5;22.9095385075;2;22.1444149017;14.0;8;36.9189891815;
28;2;26.75;11.4547691345;5;22.9483793974;2;22.3067722321;14.0;8;37.6397333145;
29;2;26.75;11.4741897583;5;22.9874696732;2;22.4689388275;14.0;8;38.3492431641;
30;2;26.75;11.4937343597;5;23.0267804861;2;20.628578186;15.0;8;39.0375461578;
31;2;26.75;11.5133905411;5;23.0662822723;2;19.7834472656;16.0;8;39.6956548691;
32;2;26.75;11.5331411362;5;23.1059447527;2;18.9315223694;17.0;8;40.3160324097;
33;2;26.75;11.5529727936;5;23.1457372904;2;18.071105957;18.0;9;40.8929109573;
34;2;26.75;11.5728683472;6;23.1856285334;2;17.2009048462;19.0;9;41.4224338531;
35;2;26.75;13.5728683472;6;23.2255871296;2;17.0200481415;20.0;9;41.9026298523;
36;2;27.75;15.5728683472;6;23.265581131;2;17.1280918121;21.0;9;42.3332462311;
37;2;27.9593486786;17.5728683472;6;23.3055787086;2;17.2249794006;22.0;9;42.7154788971;
38;2;27.9833469391;19.5728683472;6;23.3455479145;2;17.3109817505;23.0;10;43.051656723;
39;2;28.0073280334;20.625;6;23.385456562;2;17.3866233826;24.0;10;43.3449144363;
40;3;28.0312728882;20.625;5;23.42527318;2;17.4526062012;25.0;10;43.5988855362;
41;3;28.0551643372;20.625;5;23.4649660587;2;17.5097503662;26.0;11;43.8174438477;
42;3;28.0789794922;20.625;5;23.5045039654;2;17.5589256287;27.0;11;44.0;
43;3;28.1027030945;20.625;6;23.543856144;2;18.6000003815;25.0;12;44.0;
44;3;28.1263141632;20.625;6;23.5829925537;2;17.6000003815;26.0;13;44.0;
45;3;28.1497955322;20.625;7;23.6218836308;2;17.6000003815;27.0;13;44.0;
46;3;28.1731300354;20.625;7;23.6605007648;2;18.6000003815;25.0;14;44.0;
47;3;28.1963005066;20.625;7;23.6988155842;2;19.6000003815;25.0;14;44.0;
