Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_CHATO;Research_KI_6_SP_CHATO;Industry_KI_6_SP_CHATO;Ships_KI_6_SP_CHATO;Population_KI_6_SP_CHATO;
1;1;11.3999996185;16.0;4;32.0;1;13.0;10.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;13.0;10.0;5;20.0;
3;1;11.3999996185;16.0;6;32.0;1;13.0;10.0;5;20.0;
4;1;11.3999996185;16.0;5;32.0;1;14.0;10.0;5;20.0;
5;1;12.3999996185;16.0;5;32.0;1;15.0;10.0;5;20.0;
6;1;13.3999996185;16.0;5;32.0;1;16.0;10.0;5;20.3999996185;
7;1;14.3999996185;16.0;5;32.6399993896;1;17.0;10.1999998093;5;20.7264003754;
8;1;14.7919998169;16.3199996948;5;33.0;1;17.4358406067;10.3632001877;5;21.8194274902;
9;1;14.8999996185;16.5;5;34.6500015259;1;18.0916557312;10.9097137451;5;22.7316036224;
10;1;16.7919998169;17.3250007629;5;35.8107757568;1;19.0916557312;11.3658018112;5;23.4745616913;
11;1;17.7919998169;17.9053878784;5;36.5947532654;1;20.0916557312;11.7372808456;5;24.0673980713;
12;1;18.7919998169;18.2973766327;5;37.0;1;21.0916557312;12.0336990356;6;24.5325260162;
13;1;19.7919998169;18.5;6;37.0;1;22.0916557312;12.2662630081;6;24.892534256;
14;1;20.7919998169;18.5;6;37.0;1;23.0916557312;12.446267128;6;25.0;
15;1;21.7919998169;18.5;7;37.0;1;24.0916557312;12.5;6;25.0;
16;2;22.7919998169;18.5;6;37.0;1;25.0916557312;12.5;6;25.0;
17;2;23.1000003815;18.5;6;37.0;1;26.0916557312;12.5;6;25.0;
18;3;24.1000003815;18.5;6;38.0;1;27.0;12.5;7;25.0;
19;3;25.1000003815;18.5;6;38.0199999809;1;27.0;12.5;7;25.0;
20;3;25.4060001373;18.5;6;38.0401959419;1;27.0;12.5;7;25.0;
21;3;25.1000003815;18.8120594025;6;38.0605818033;1;27.0;12.5;7;25.0;
22;3;25.4181747437;18.5;7;38.0811508894;1;27.0;12.5;7;25.0;
23;3;25.4243450165;18.5;7;38.1018965244;1;27.0;12.5;7;25.0;
24;3;25.4305686951;18.5;8;38.1228116751;1;27.0;12.5;7;25.0;
25;3;23.4368438721;19.5;8;38.1438889503;1;27.0;12.5;7;25.0;
26;3;22.4431667328;20.5;8;38.1651208401;1;27.0;12.5;7;25.0;
27;3;21.4495372772;21.5;8;38.1864993572;1;27.0;12.5;7;25.0;
28;3;20.4559497833;22.5;9;38.2080165148;1;27.0;12.5;7;25.0;
29;3;19.4624061584;23.5;9;38.2296639681;1;27.0;12.5;8;25.0;
