Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.3999996185;16.0;4;32.0;1;6.0;12.0;4;20.0;
2;2;12.3999996185;16.0;5;32.7439994812;1;7.0;11.0;5;20.0;
3;2;13.3487997055;15.8719997406;5;32.3430397511;1;8.0;10.0;6;20.0;
4;2;14.261759758;15.6543998718;5;31.9864182472;1;9.0;10.0;5;20.0;
5;2;15.5825490952;15.4585599899;5;31.6697776318;1;9.0;10.0;5;20.0;
6;2;16.5933113098;15.2823038101;5;31.4747954607;1;10.0;10.0;5;20.0;
7;2;17.4424381256;15.1664733887;5;31.3037785292;2;11.0;10.1999998093;4;21.0;
8;2;17.3911323547;15.0622262955;5;32.1498589516;2;11.3000001907;10.0;4;21.4999996424;
9;2;17.6449584961;15.4459438324;5;32.7826710939;2;11.4499998093;10.1999998093;4;21.9353003502;
10;2;19.4395961761;15.7208995819;5;33.1001250744;2;11.5805902481;10.3632001877;3;22.3176362514;
11;2;21.4395961761;15.8360004425;5;33.1918088198;2;11.6952905655;10.4951858521;3;23.5373773575;
12;2;23.4395961761;15.8360004425;5;33.2879852057;2;12.0612134933;11.0209560394;3;24.5968167782;
13;2;24.5221290588;15.8360004425;6;33.3886935711;2;14.0612134933;11.4571752548;3;25.5111111403;
14;2;25.5523414612;15.8360004425;6;33.4939492941;2;16.0612125397;11.8107032776;3;26.3018171787;
15;2;26.5839195251;15.8360004425;6;33.6037408113;2;16.8905448914;12.0916318893;3;26.9928781986;
16;3;27.0811233521;15.8360004425;5;33.7180275917;2;17.097864151;12.3113050461;3;27.6076834202;
17;3;26.5016002655;15.8360004425;6;33.8367376328;2;17.2823047638;12.4808797836;3;27.9463441372;
18;4;26.5016002655;16.4854221344;5;33.9597654343;2;19.2706871033;12.5;3;28.2720229626;
19;4;27.1879291534;15.8360004425;5;34.0869705677;2;20.368391037;12.5;4;28.6230447292;
20;4;27.2260913849;15.8360004425;5;34.2181766033;2;21.4736976624;12.5;4;28.9990065098;
21;4;26.5016002655;16.8360004425;5;34.3531703949;2;21.3867835999;13.5;4;29.3989467621;
22;4;27.3059501648;15.8360004425;5;34.4917018414;2;22.5;12.5;4;29.8212919235;
23;4;26.5016002655;16.8360004425;5;35.6334848404;2;22.9463882446;12.5;4;30.2638244629;
24;4;27.5016002655;18.0167427063;5;35.9665182829;2;23.0791473389;12.5;4;30.7236814499;
25;4;28.5016002655;18.2209224701;5;36.3353546858;2;23.2171039581;12.5;4;31.19739151;
26;4;28.5016002655;18.4496498108;6;36.7445639372;2;23.3592185974;12.5;5;31.680949688;
27;4;28.0024795532;16.8360004425;6;37.1990654469;2;23.504283905;12.5;6;32.1699318886;
28;4;27.5016002655;17.8360004425;6;37.7040073872;3;23.6509799957;12.5;5;32.6596431732;
29;4;27.1991500854;16.8360004425;6;38.2645764351;3;23.7978935242;12.5;5;33.1452922821;
30;4;26.4793739319;17.8360004425;6;38.8857183456;3;23.9435882568;12.5;5;33.6221752167;
31;4;25.5016002655;17.8360004425;7;39.5717623234;3;24.0866527557;12.5;6;34.0858602524;
32;4;25.5016002655;16.8360004425;7;41.32594347;4;24.2257575989;12.5;5;34.5323524475;
33;4;26.097782135;17.8360004425;7;42.2012027502;4;24.3597068787;12.5;5;34.9582242966;
34;4;26.843788147;21.8360004425;7;43.1475954056;4;24.4874668121;12.5;5;35.3607130051;
35;4;28.2205200195;25.8360004425;7;44.1616158485;4;24.6082134247;12.5;5;35.7377691269;
36;4;30.2819156647;29.8360004425;8;45.2364293337;4;24.7213306427;12.5;5;36.088060379;
37;5;32.3432617188;32.8359985352;8;46.3616267443;4;24.826417923;12.5;5;36.4109382629;
38;5;33.5250740051;35.8359985352;8;47.5233244896;4;24.9232826233;12.5;5;37.7063741684;
39;5;35.2569961548;35.8359985352;8;48.7046875954;4;26.0119132996;13.0;5;38.0148744583;
40;5;35.6114044189;35.8359985352;9;49.8868809938;4;27.0924625397;12.5;6;38.2985644341;
41;5;35.9660644531;35.8359985352;10;51.0503753424;4;27.1652145386;13.0405921936;6;38.5587236881;
42;5;36.3151130676;35.8359985352;10;52.1764273643;4;27.5676174164;16.0405921936;6;38.7968672514;
43;6;35.0876350403;35.8359985352;9;68.248503685;4;27.6390609741;19.0405921936;6;39.0146597624;
44;6;36.3770980835;36.8359985352;10;70.0034224987;4;27.7043972015;22.0405921936;6;39.2138388157;
45;6;37.6484260559;37.8359985352;11;71.601411581;5;26.5877361298;25.0405921936;3;55.3048160076;
46;6;36.69947052;39.8359985352;12;73.0366969109;5;28.6123008728;29.5;4;56.1230313778;
