Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_EAXAW;Research_KI_6_SP_EAXAW;Industry_KI_6_SP_EAXAW;Ships_KI_6_SP_EAXAW;Population_KI_6_SP_EAXAW;
1;1;11.3999996185;16.0;4;32.0;1;6.0;12.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;7.0;11.0;5;20.0;
3;1;11.3999996185;16.0;6;32.0;1;8.0;10.0;5;20.0;
4;1;11.3999996185;16.0;6;31.7439994812;1;9.0;10.0;5;20.0;
5;1;12.3999996185;15.8719997406;6;31.1449584961;1;9.0;10.0;5;20.0;
6;1;13.3999996185;15.572479248;6;30.6058235168;1;10.0;10.0;5;20.0;
7;1;14.1817474365;15.3029117584;6;29.9577789307;1;11.0;10.0;5;20.0;
8;1;13.9873332977;14.9788894653;6;29.3745384216;1;11.0;10.0;5;20.3999996185;
9;1;13.8123617172;14.6872692108;6;29.1420516968;1;11.1199998856;10.1999998093;5;20.7264003754;
10;1;15.9873332977;14.5710258484;6;28.9328136444;1;11.2179203033;10.3632001877;5;20.9903717041;
11;1;16.9873332977;14.4664068222;6;28.7444992065;2;11.2971115112;10.6951856613;4;23.0419120789;
12;1;17.9873332977;14.3722496033;6;28.5750160217;2;11.9125738144;11.0209560394;4;23.944350481;
13;1;18.9873332977;14.2875080109;6;28.4224815369;2;13.9125738144;11.4571752548;5;24.6819975376;
14;1;19.9873332977;14.2112407684;7;28.285200119;2;15.9125738144;11.8107032776;5;25.2750298977;
15;1;20.4855613708;14.1426000595;7;28.1616458893;2;16.9401035309;12.0916318893;5;25.746127367;
16;1;20.4484939575;14.0808229446;7;28.050447464;2;17.94962883;12.3113050461;5;26.1175945997;
17;1;20.4151344299;14.025223732;7;27.9503688812;2;18.9593238831;12.4808797836;5;26.1887089014;
18;1;20.3851108551;13.9751844406;7;27.8602981567;2;19.9691867828;12.5;4;26.2221269608;
19;1;20.358089447;13.9301490784;8;27.7792339325;2;20.9792118073;12.5;4;26.2560760975;
20;1;20.333770752;13.8896169662;8;27.7062759399;2;21.8768234253;12.5;4;26.2905418873;
