Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.3999996185;16.0;4;32.0;1;6.0;12.0;4;20.0;
2;1;11.3999996185;16.0;6;31.3753604889;1;7.0;11.0;5;20.0;
3;1;11.2750720978;15.6876802444;6;30.6821117401;1;8.0;10.0;5;20.0;
4;1;11.1364221573;15.3410558701;6;30.0581893921;1;8.0;10.0;5;20.0;
5;1;12.1364221573;15.029094696;6;29.4966583252;1;8.0;10.0;5;20.0;
6;1;13.1364221573;14.7483291626;5;28.9912796021;1;9.0;10.0;5;20.0;
7;1;13.6973838806;14.495639801;4;28.6128234863;1;9.5;10.0;4;20.0;
8;1;13.5838470459;14.3064117432;4;28.2722129822;1;9.5;10.0;4;20.3999996185;
9;1;13.4816637039;14.1361064911;4;28.2712001801;1;9.59000015259;10.1999998093;4;20.7264003754;
10;1;15.5838470459;14.13560009;4;28.2702884674;1;9.66343975067;10.3632001877;4;20.9903717041;
11;1;16.5838470459;14.1351442337;4;28.2694683075;2;9.72283363342;10.6951856613;3;23.0419120789;
12;1;17.5838470459;14.1347341537;4;28.2687301636;2;10.184431076;11.0209560394;3;24.0443505049;
13;1;18.5838470459;14.1343650818;4;28.2680644989;2;11.9770832062;11.4571752548;3;24.8968375921;
14;1;19.5838470459;14.1340322495;5;28.2674655914;2;13.9770832062;11.8107032776;3;25.6209878922;
15;1;20.4802398682;14.1337327957;6;28.2669277191;2;15.9770832062;12.0916318893;3;26.2409451008;
16;1;20.4800796509;14.1334638596;6;28.2664432526;2;17.0869598389;12.3113050461;3;26.7804714441;
17;1;20.479932785;14.1332216263;6;28.2660064697;2;18.1320438385;12.4808797836;2;27.0402543545;
18;1;20.479801178;14.1330032349;6;28.2656135559;2;18.7228336334;12.5;2;27.2842636108;
19;1;20.4796829224;14.132806778;6;28.2652606964;2;19.625;12.5;3;27.5518820286;
20;1;20.4795780182;14.1326303482;7;28.2649421692;2;19.625;12.5;3;27.8440244198;
21;1;20.4794826508;14.1324710846;7;28.2646560669;2;19.625;12.5;3;28.1613030434;
22;1;20.4793968201;14.1323280334;7;28.2643985748;2;19.625;12.5;3;28.5039470196;
23;1;20.4793205261;14.1321992874;7;28.2641658783;2;19.625;12.5;3;28.871723175;
24;1;20.4792499542;14.1320829391;7;28.2639579773;2;19.625;12.5;3;29.263862133;
25;1;20.4791870117;14.1319789886;7;28.2637710571;2;19.625;12.5;3;29.6789975166;
26;1;20.4791316986;14.1318855286;7;28.2636013031;2;19.625;12.5;5;30.1151270866;
27;1;20.4790802002;14.1318006516;7;28.2634487152;3;19.625;12.5;4;30.5695996284;
28;2;21.4790344238;14.1317243576;6;29.2633113861;3;19.625;12.5;4;31.0391392708;
29;2;22.4789924622;14.1316556931;6;29.3777633905;3;19.625;12.5;5;31.5199065208;
30;2;22.4789562225;14.6888818741;6;29.5040793419;3;19.625;12.5;5;32.007601738;
31;2;22.8512248993;14.1315383911;6;29.643178463;3;19.625;12.5;6;32.4976010323;
32;2;22.8929538727;14.1314888;6;29.7959791422;3;19.625;12.5;6;32.9851250648;
33;2;22.4788665771;14.8979892731;10;29.9633817673;3;19.625;12.5;6;33.465420723;
34;3;21.6309585571;14.9136676788;7;45.1462404728;4;19.625;12.5;4;45.4339466095;
35;3;23.1394863129;15.1313676834;7;46.0953392982;4;20.625;13.5;4;46.3465452194;
36;3;24.1932411194;16.1313362122;7;46.9807300568;4;21.625;14.5;4;47.2029733658;
37;3;24.2515659332;17.1313056946;7;47.802118063;5;21.625;15.5;5;47.9994153976;
38;3;24.3146018982;18.1312789917;7;48.5623862743;5;19.625;14.5;5;48.7337694168;
39;3;24.3824520111;19.1312561035;8;49.266685009;5;18.625;14.5;5;49.4055023193;
40;4;24.4551467896;22.1312561035;8;49.9215259552;5;17.625;15.5;6;50.0154399872;
41;4;25.5326576233;22.1312561035;8;50.5339479446;5;16.625;16.5;6;50.5655326843;
42;4;24.6148719788;25.1312561035;9;51.1108577251;5;16.0;17.5;6;51.0585985184;
43;4;24.7015857697;28.1312561035;9;51.56483078;5;16.0;18.5;6;51.4980831146;
44;4;24.7925052643;31.1311683655;9;51.915678978;5;16.0;19.5;6;51.8656587601;
45;4;24.8872337341;32.1311569214;10;52.2788157463;6;16.0;20.5;4;77.0677556992;
46;4;24.9852790833;33.1311416626;10;52.6520781517;6;18.0;19.5;4;79.997756958;
47;4;25.0860614777;34.1311340332;12;53.0329995155;6;21.0;19.5;5;81.601764679;
48;4;25.1889095306;35.1311225891;12;53.4188637733;6;23.0;23.5;5;82.8182711601;
49;4;25.2930927277;36.1311149597;13;53.8067760468;6;24.0;27.5;5;83.6684353352;
50;4;25.3978309631;37.1311073303;13;54.1937451363;6;25.0;31.5;4;84.2994030714;
51;4;25.5023117065;38.1310997009;14;54.5767745972;6;25.625;35.5;5;84.711841464;
52;5;25.6057281494;39.1310958862;11;72.2029533386;7;25.625;39.5;4;84.7577478886;
53;5;26.7072982788;41.1310882568;12;73.4320487976;7;25.625;40.5;5;84.8048160076;
54;5;27.8062801361;43.1310844421;12;74.5359869003;7;25.625;41.5;5;84.8530313969;
55;5;27.9020023346;45.1310806274;13;75.5153579712;7;25.625;42.5;5;84.9023760557;
56;5;27.9938869476;47.1310768127;14;76.3757410049;7;25.625;43.5;6;84.9528282881;
57;5;28.081445694;49.131072998;15;77.1260271072;7;28.0608482361;44.5;6;85.0043625832;
58;5;29.1643028259;48.1310691833;15;77.7768936157;7;30.0763092041;45.5;7;85.0569496155;
59;5;28.2421855927;50.1310653687;15;78.3396043777;8;32.0170860291;46.5;6;86.1105561256;
60;6;28.3149299622;52.1310653687;14;85.9535961151;8;34.0331687927;48.5;6;86.2251449823;
61;6;30.3824710846;52.131061554;15;86.4020438194;8;35.3995437622;50.5;8;86.3436391354;
62;6;30.4448261261;55.1310577393;17;86.821937561;8;35.7530899048;52.5;8;86.466062665;
63;6;31.5020980835;58.1310577393;18;87.2134246826;8;35.7898178101;54.5;8;86.5924278498;
64;7;33.5544433594;58.1310577393;17;89.9371347427;8;35.8277244568;56.5;10;86.7227339745;
65;8;34.2876815796;61.7921447754;16;93.1472196579;8;35.8668174744;57.5;10;86.8569662571;
66;8;35.584941864;65.1210327148;17;94.9895044565;8;35.9070892334;58.5;11;86.9950947762;
67;8;37.1099319458;65.3560638428;15;96.2935397625;8;35.9485244751;59.5;11;87.1370726824;
68;8;38.2683639526;66.4284286499;16;97.2333657742;8;35.9911193848;60.5;13;87.2828359604;
69;8;39.3731002808;67.4155654907;16;97.6265879869;8;34.8999977112;63.5;13;90.8801132441;
70;8;40.4711380005;67.4036102295;17;97.9544011354;8;35.3215026855;65.8543243408;13;93.7644164562;
71;8;38.5629692078;69.392539978;16;98.1555091143;8;36.3834571838;65.8017044067;14;96.0633833408;
72;8;37.6203384399;71.38230896;15;98.2953772545;9;37.3752059937;65.6872558594;13;97.9069488049;
73;8;36.6597518921;73.3768005371;15;98.3839122057;9;36.9245948792;67.9097442627;13;98.9185380936;
74;8;36.6836585999;75.3768005371;16;98.4761785269;9;37.983253479;68.0;13;99.622625351;
75;8;36.708568573;77.3768005371;16;98.5721665621;9;34.3939247131;71.5;14;100.218525171;
76;8;36.7344856262;79.3768005371;17;98.6718457937;10;33.4347038269;74.5;13;100.697942257;
77;8;36.7613983154;80.5767974854;17;98.7751631737;10;32.4449501038;76.1885604858;13;101.150041342;
78;8;36.7892951965;81.5767974854;18;98.8820416927;10;31.6749992371;77.505027771;15;101.619033575;
79;8;36.8181533813;82.5767974854;19;98.992379427;10;30.6749992371;78.505027771;16;102.103232384;
80;8;36.847946167;83.5767974854;21;99.106048584;10;32.6749992371;78.505027771;16;103.600600481;
81;8;36.8786354065;84.5768051147;21;99.2228953838;10;35.6749992371;80.505027771;18;104.131266356;
82;8;37.9101829529;82.5767974854;20;99.3427391052;10;37.6749992371;83.505027771;18;104.670334935;
83;9;36.2492637634;83.5767974854;21;121.215372801;10;38.7885818481;86.505027771;19;105.214879513;
84;9;37.2492637634;85.5768051147;21;122.699939251;10;38.7954940796;89.1317825317;20;105.761785984;
85;9;38.0094528198;85.5768051147;22;123.957625389;13;38.8024864197;90.9691162109;18;106.307833076;
86;9;39.0438766479;86.15284729;22;124.998651028;15;38.8095550537;91.334854126;15;124.849775791;
87;9;41.0788459778;87.0616989136;22;125.846418142;16;39.816696167;92.6975479126;15;142.644435644;
88;9;41.1142807007;85.9900436401;22;126.530650139;17;39.8239097595;96.054977417;15;145.074306965;
89;9;42.1500892639;85.9348831177;23;127.081981421;17;39.8311920166;99.4050292969;12;147.234983683;
90;9;44.1861877441;88.893119812;24;127.379556417;17;39.841999054;102.594024658;12;149.128785133;
91;10;45.2224807739;90.8768005371;22;145.631651878;16;37.8915634155;102.940963745;11;132.131058097;
92;12;46.2588729858;95.8768005371;20;147.288696289;16;40.5915222168;102.392501831;11;135.103863358;
93;12;48.2952651978;100.876800537;20;148.023190975;16;44.1963310242;106.695800781;11;137.165323019;
94;12;49.1317672729;105.876800537;22;148.703442097;16;44.89478302;109.984367371;12;139.200511217;
95;12;50.1678619385;109.9322052;24;149.343957305;16;48.4782028198;113.257553101;13;141.01761806;
96;12;48.203666687;114.9322052;25;149.95645988;16;51.6979446411;118.514938354;14;141.904370785;
97;12;48.2390899658;119.9322052;27;150.355897427;16;54.9058647156;122.592697144;14;142.813329577;
98;12;50.2740402222;118.25037384;30;151.782779217;16;55.1776199341;127.667297363;16;143.747765183;
99;13;58.8391265869;122.501968384;29;152.263744354;16;55.8747787476;132.738693237;17;144.710986018;
