Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.3999996185;16.0;4;32.0;1;6.0;12.0;4;20.0;
2;1;11.3999996185;16.0;6;31.7439994812;1;7.0;11.0;4;20.0;
3;1;11.3487997055;15.8719997406;6;31.5135993958;1;8.0;10.0;4;20.0;
4;1;11.3027200699;15.7567996979;6;31.3062400818;2;9.0;10.1999998093;3;21.0;
5;1;12.3027200699;15.6531200409;6;31.1196155548;2;10.0;10.0;3;21.0599999428;
6;1;13.3027200699;15.5598077774;6;30.9516544342;2;12.0;10.0;3;21.1229639053;
7;1;14.2854967117;15.4758272171;6;30.8924884796;2;12.7526664734;10.0;3;21.1889609098;
8;1;14.2677469254;15.4462442398;6;30.8392391205;2;12.7675161362;10.0;3;21.6699410677;
9;1;14.2517719269;15.4196195602;6;32.1347236633;2;12.8757371902;10.1999998093;3;22.0818096399;
10;1;16.2677459717;16.0673618317;6;33.0683250427;2;12.9684066772;10.3632001877;3;23.2920063734;
11;1;17.2677459717;16.5341625214;5;33.72032547;2;13.2407016754;10.9097137451;3;24.3297555447;
12;1;18.2677459717;16.860162735;5;34.0400009155;2;13.4741945267;11.3658018112;3;25.2069878578;
13;2;20.2677459717;17.0200004578;5;35.0400009155;2;16.2689552307;11.7372808456;3;25.9430538416;
14;2;22.2677459717;17.0200004578;5;35.0742409229;2;18.2689552307;12.0336990356;3;26.5605664253;
15;2;23.5780181885;17.0200004578;5;35.1092991829;2;19.3656806946;12.2662630081;4;27.0822491646;
16;2;24.5327892303;17.0200004578;5;35.145170927;3;20.4020576477;12.446267128;3;27.3607378006;
17;2;24.5435504913;17.0200004578;5;35.1818495989;3;20.9093704224;12.5;4;27.5410807133;
18;2;24.5545539856;17.0200004578;6;35.2193268538;3;22.4811134338;12.5;4;27.7306177616;
19;2;24.5657978058;17.0200004578;6;35.257592082;3;22.625;13.319185257;4;27.9291167259;
20;2;24.5772781372;17.0200004578;6;35.2966330051;3;22.625;13.3787345886;4;28.136231184;
21;2;24.5889892578;17.0200004578;6;35.3364351988;3;23.3306522369;12.5;5;28.3514947891;
22;2;24.6009292603;17.0200004578;7;35.3769820929;4;23.3790855408;12.5;4;28.5743191242;
23;2;24.6130943298;17.0200004578;8;35.4182549715;4;23.4292221069;12.5;4;28.8039934635;
24;3;24.6254768372;17.0200004578;7;35.4602330923;4;23.4808979034;12.5;4;29.039689064;
25;3;24.6380691528;17.0200004578;7;35.5028935671;4;23.5339298248;12.5;4;29.2804670334;
26;3;24.6508674622;17.0200004578;8;35.5462113619;4;23.588104248;12.5;4;29.5252895355;
27;3;24.2119998932;17.7731056213;8;35.5901594162;4;23.6431903839;12.5;4;29.7730360031;
28;3;24.6770477295;17.0200004578;8;35.6347085238;4;23.6989326477;12.5;4;30.022521019;
29;3;24.6904125214;17.0200004578;8;35.6798274517;4;23.7550678253;12.5;5;30.2725157738;
30;3;24.2119998932;17.8399143219;8;35.7254830599;4;22.625;13.5;5;30.5217733383;
31;3;24.2119998932;17.8627414703;8;36.7716403008;4;23.625;12.5;5;30.769051075;
32;3;25.2119998932;18.3858203888;8;36.8696222305;4;23.9230365753;12.5;5;31.0131368637;
33;3;26.2119998932;18.4348106384;8;36.9701281786;4;23.9779548645;12.5;5;31.252872467;
34;3;25.0910377502;18.0200004578;8;37.0731476545;4;22.0318965912;13.5;5;31.4871754646;
35;3;25.7738227844;17.6002025604;9;37.1786631346;4;21.625;13.5;6;31.7150583267;
36;4;26.7881565094;17.629070282;9;37.2866494656;5;22.625;14.5;5;31.9356441498;
37;4;26.595413208;20.629070282;9;37.3970735073;5;21.625;13.5;5;32.1481771469;
38;4;26.2119998932;23.629070282;10;37.5098934174;5;21.625;13.5;5;32.3520302773;
39;4;26.6333217621;26.629070282;10;37.6250590086;5;22.625;14.5;5;32.5467100143;
