Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_FULVER;Research_KI_6_SP_FULVER;Industry_KI_6_SP_FULVER;Ships_KI_6_SP_FULVER;Population_KI_6_SP_FULVER;
1;1;11.3999996185;16.0;4;32.0;1;6.0;12.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;7.0;11.0;5;20.0;
3;1;11.3999996185;16.0;6;31.7439994812;1;8.0;10.0;5;20.0;
4;2;11.5487995148;15.8719997406;5;32.5135993958;1;8.0;10.0;5;20.0;
5;2;12.6487998962;15.7567996979;5;32.4166400433;1;8.0;10.0;5;20.0;
6;2;13.6819200516;15.6531200409;5;32.1380503178;1;9.0;10.0;5;20.0;
7;2;14.6414146423;15.4574079514;5;31.8276571035;1;9.5;10.0;5;20.0;
8;2;14.5482969284;15.2395868301;5;31.5719650984;1;9.5;10.0;5;20.3999996185;
9;2;14.4715890884;15.043548584;5;31.7130681276;1;9.59000015259;10.1999998093;5;20.7264003754;
10;2;16.6408290863;15.0280733109;5;31.8743520975;1;9.66343975067;10.3632001877;5;20.9903717041;
11;2;18.6408290863;15.0141458511;5;32.0565214157;1;9.72283363342;10.4951858521;5;22.0419120789;
12;2;20.6408290863;15.0016117096;5;32.2602062225;1;9.95943069458;11.0209560394;6;22.9143505096;
13;2;21.8276157379;14.9903306961;5;32.4859194756;1;11.7228336334;11.4571752548;6;23.6214065552;
14;2;22.9014225006;14.9801778793;6;32.734000206;1;12.7228336334;11.8107032776;6;24.1832637787;
15;2;23.8201999664;14.971039772;6;33.0045647621;1;13.7228336334;12.0916318893;6;24.6226100922;
16;2;23.9013690948;14.9628162384;6;33.297441721;1;14.7228336334;12.3113050461;6;24.9617595673;
17;2;23.9892311096;14.955414772;6;33.6121253967;1;15.7228336334;12.4808797836;6;25.0;
18;2;24.0836372375;14.9487533569;6;33.9477248192;1;16.7228336334;12.5;6;25.0;
19;2;24.1843166351;14.9427576065;6;34.3029294014;1;17.625;12.5;7;25.0;
20;2;24.2908782959;14.9373617172;8;34.6759819984;1;17.625;12.5;7;25.0;
21;3;24.4027938843;14.9325056076;7;35.0646762848;1;17.625;12.5;7;25.0;
