Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_GEORGE;Research_KI_6_SP_GEORGE;Industry_KI_6_SP_GEORGE;Ships_KI_6_SP_GEORGE;Population_KI_6_SP_GEORGE;
1;1;11.3999996185;16.0;4;32.0;1;6.0;14.0;4;20.0;
2;1;11.3999996185;16.0;4;32.0;1;7.0;13.0;6;20.0;
3;2;11.5999994278;16.0;3;33.0;1;8.0;12.0;6;20.0;
4;2;11.5999994278;16.0;3;32.762399435;1;8.0;11.0;5;20.0;
5;2;12.7055196762;15.8719997406;3;32.3444473743;1;8.0;10.0;5;20.0;
6;2;13.710694313;15.6543998718;3;31.9701286554;1;9.0;10.0;5;20.0;
7;2;14.5910387039;15.4585599899;3;31.720685482;1;9.5;10.0;4;20.0;
8;2;14.5162057877;15.3251037598;3;31.498036623;1;9.5;10.0;4;20.3999996185;
9;2;14.4494113922;15.204993248;3;32.2222111225;1;9.59000015259;10.1999998093;4;20.7264003754;
10;2;16.532365799;15.5489320755;3;32.7488336563;1;9.66343975067;10.3632001877;4;20.9903717041;
11;2;18.5323677063;15.7936935425;3;32.8713402748;2;9.72283363342;10.7951860428;3;23.0419120789;
12;2;20.5323677063;15.8360004425;3;32.718118906;2;10.184431076;11.0209560394;3;24.0443505049;
13;2;21.5657310486;15.7412805557;3;32.5844875574;2;11.9770832062;11.4571752548;3;24.8968375921;
14;2;22.576789856;15.6560325623;2;32.4685368538;2;13.9770832062;11.8107032776;3;25.6209878922;
15;2;23.5880374908;15.5793094635;2;32.3685444593;2;15.9770832062;12.0916318893;3;26.2409451008;
16;2;23.7105636597;15.5102586746;2;32.1291954517;2;17.0869598389;12.3113050461;3;26.7804714441;
17;2;23.638759613;15.3723363876;3;31.917915225;2;18.1320438385;12.4808797836;3;27.0402543545;
18;2;23.5753746033;15.2482070923;3;31.7319210768;2;19.1818904877;12.5;2;27.2842636108;
19;2;23.5195770264;15.1364898682;4;31.5687114;2;20.1389598846;12.5;2;27.5518820286;
20;2;23.470615387;15.0359449387;4;31.4260274172;2;20.1991729736;12.5;3;27.8440244198;
21;2;23.4278087616;14.9454545975;4;31.3018323183;2;20.2649059296;12.5;4;28.1613030434;
22;2;23.3905487061;14.8640127182;4;31.1942921877;2;20.3362922668;12.5;3;28.5039470196;
23;3;24.3582859039;14.7907152176;3;32.1017512083;2;20.4133872986;12.5;3;28.871723175;
24;3;24.8348484039;16.0508766174;3;32.1777832508;2;20.496137619;12.5;3;29.263862133;
25;4;23.6035461426;15.7247476578;4;38.2895998955;2;20.5843696594;12.5;5;29.6789975166;
26;5;23.6622200012;16.7247467041;3;38.8258508444;3;20.6777744293;12.5;4;30.1151270866;
27;5;23.7276744843;17.7247467041;4;39.3999363184;3;20.7759037018;12.5;4;30.5695996284;
28;5;23.8006362915;18.7247467041;3;40.0105880499;3;20.8781604767;12.5;5;31.0391392708;
29;5;23.3814487457;19.7247467041;3;40.6566399336;3;18.9838066101;13.5;5;31.5199065208;
30;5;23.460609436;20.7247467041;3;41.337005496;3;18.0919799805;14.5;5;32.007601738;
31;5;23.115852356;21.7247467041;3;42.0506083965;3;17.2017097473;15.5;5;32.4976010323;
32;5;22.5431919098;22.7247467041;3;42.7962741852;3;14.625;17.5;5;32.9851250648;
33;5;22.8100662231;23.7247467041;3;44.572589159;3;14.0;19.5;6;33.465420723;
34;5;23.0368309021;24.7247467041;3;45.4388241768;3;14.0;21.5;4;33.9339466095;
35;5;24.1793022156;26.7247467041;4;46.3345044851;3;14.0;23.5;4;35.3865451813;
36;6;24.3135681152;28.7247467041;5;47.2338932753;3;15.0;25.5;4;35.9095896482;
37;6;23.3135681152;28.2229290009;5;48.1515748501;3;16.0;27.5;4;36.4172081947;
38;6;25.3135681152;31.2229309082;7;49.0825073719;3;16.2671012878;29.5;4;36.9074925184;
39;6;25.3135681152;36.2229309082;7;50.0207688808;3;16.2906417847;30.9310283661;4;37.3792438507;
40;6;25.7640266418;38.1642570496;7;50.9596601725;3;16.3159503937;32.182510376;5;37.8319401741;
41;6;26.8551750183;40.1440010071;9;51.8919121027;3;16.3431091309;33.4149055481;6;38.2656759024;
42;6;27.9382324219;42.1255455017;9;52.8099738359;3;16.3721885681;34.6280555725;6;38.6810699701;
43;6;29.0135993958;42.1087989807;9;53.7063668966;3;16.4032497406;35.8221931458;8;39.0791635513;
44;6;28.0817165375;41.0936584473;10;54.5740655661;3;16.4363479614;36.9978866577;8;39.4613068104;
