Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.3999996185;16.0;4;32.0;1;9.0;10.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;9.0;10.0;4;20.0;
3;1;11.3999996185;16.0;5;32.0;1;9.0;10.0;4;20.0;
4;1;11.3999996185;16.0;5;32.0;1;9.0;10.0;4;20.0;
5;1;12.3999996185;16.0;5;32.0;1;10.0;10.0;4;20.0;
6;1;13.3999996185;16.0;5;31.7439994812;1;11.0;10.0;4;20.0;
7;1;14.3999996185;15.8719997406;5;31.6056003571;1;11.0;10.0;4;20.3999996185;
8;1;14.4816799164;15.8028001785;5;31.4810409546;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;14.7443122864;15.7405204773;4;33.6014404297;2;11.5179204941;10.3632001877;3;21.9903717041;
10;2;16.7816791534;16.3007202148;4;34.5344462395;2;11.597111702;10.4951858521;3;23.0819120407;
11;2;18.7816791534;16.698223114;4;35.2388089895;2;11.9245738983;11.0209560394;3;23.99553442;
12;2;20.7816791534;16.9726676941;3;35.5081778765;2;13.9245738983;11.4571752548;3;24.7449600697;
13;2;21.9221324921;17.0200004578;4;35.7039126158;2;15.9245738983;11.8107032776;4;25.3503712416;
14;2;22.9808540344;17.0200004578;4;35.9224854708;2;16.9627056122;12.0916318893;4;25.8344515562;
15;2;24.0464248657;17.0200004578;3;36.1656556129;2;17.9761257172;12.3113050461;4;26.2195074558;
16;2;24.2119998932;17.0200004578;3;36.4350683689;2;18.9898986816;12.4808797836;4;26.3048160076;
17;2;24.2119998932;17.0200004578;4;36.7321748734;2;20.0040187836;12.5;4;26.3530313969;
18;3;24.2119998932;17.0200004578;3;37.0581386089;2;21.0184822083;12.5;4;26.4023760557;
19;3;24.2119998932;17.0200004578;3;37.4137313366;2;21.9207134247;12.5;5;26.4528282881;
20;3;24.2119998932;17.0200004578;3;37.7992229462;2;21.5;12.9358482361;5;26.5043625832;
21;3;24.2119998932;17.0200004578;3;38.2142701149;2;21.5;12.9513092041;5;26.5569496155;
22;3;24.2119998932;17.0200004578;3;38.6578168869;2;21.9670848846;12.5;6;26.6105561256;
23;3;24.2119998932;17.0200004578;3;39.1280112267;2;21.9831676483;12.5;6;26.6651450396;
24;3;24.2119998932;17.0200004578;3;39.6221580505;2;21.5;12.99954319;7;26.72067523;
25;3;24.2119998932;17.0200004578;3;40.1367125511;2;21.5;13.0162029266;7;26.7771017551;
26;3;24.2119998932;17.0200004578;3;40.6673269272;2;22.0331306458;12.5;7;26.8343759775;
27;3;24.2119998932;17.0200004578;4;41.2089567184;2;21.5;13.4171876907;7;26.8924454451;
28;3;24.2119998932;17.0200004578;4;41.7560229301;2;22.0677337646;12.5;7;26.9512542486;
29;3;24.2119998932;17.0200004578;4;42.3026247025;2;21.5;13.4756269455;6;27.0107431412;
30;3;24.2119998932;17.0200004578;4;42.8427839279;2;21.5;13.5053710938;6;27.0708494186;
31;3;24.2119998932;17.0200004578;4;43.3707056046;2;20.1212539673;13.5;6;27.1315076351;
32;3;25.2119998932;17.0200004578;4;44.881029129;2;20.5;13.5;6;27.1926498413;
