Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.3999996185;16.0;4;32.0;1;9.0;10.0;4;20.0;
2;2;11.5999994278;16.0;5;33.0;1;9.0;10.0;5;20.0;
3;2;11.5999994278;16.0;5;33.1200000048;2;9.19999980927;10.0;4;21.0;
4;2;11.6239995956;16.0;5;33.2530560493;2;9.19999980927;10.0;4;21.0900000334;
5;2;12.7759160995;16.0;5;33.4002518654;2;10.3269996643;10.0;4;21.1871190071;
6;2;13.8200750351;16.0;5;33.5626775026;2;11.3561353683;10.0;4;21.2917383909;
7;2;14.8688030243;16.0;5;34.3970321417;2;11.3875217438;10.0;4;21.817143321;
8;2;15.3191099167;16.3199996948;5;34.3841444254;2;11.5451431274;10.1999998093;4;22.2793469429;
9;2;15.3152427673;16.2059993744;5;34.3973550797;2;11.683804512;10.3632001877;4;22.6900259256;
10;2;17.4666385651;16.0742797852;5;34.4694948196;2;11.8070077896;10.4951858521;3;23.9506295919;
11;2;19.4666385651;15.9557313919;5;34.5999581814;2;12.1851892471;11.0209560394;3;25.0538563728;
12;2;21.4666385651;15.8490381241;3;34.7880029678;2;14.1851892471;11.4571752548;3;26.0146684647;
13;2;22.7765922546;15.7530145645;3;35.0325632095;2;16.1851882935;11.8107032776;4;26.8543052673;
14;2;23.9018135071;15.6665935516;4;35.3320498466;2;17.4138870239;12.0916318893;4;27.5962526798;
15;2;24.599615097;15.5888137817;5;35.6841621399;2;18.5046653748;12.3113050461;4;28.2632865906;
16;2;24.705247879;15.5188121796;4;36.0857019424;2;19.6030311584;12.4808797836;4;28.6547400951;
17;2;24.8257102966;15.4558105469;5;36.5324425697;2;20.7089958191;12.5;4;29.0328326225;
18;2;24.9597320557;15.3991098404;5;37.0190429688;2;21.8224239349;12.5;4;29.4347915649;
19;2;25.1057128906;15.3480787277;6;37.539059639;2;22.8304367065;12.5;5;29.8589887619;
20;2;25.2617168427;15.3021507263;6;38.0850419998;2;22.9576969147;12.5;5;30.3031497002;
21;2;25.4255142212;15.2608156204;7;38.6487321854;2;23.0909442902;12.5;5;30.7643566132;
22;2;25.594619751;15.223613739;7;39.2213630676;2;23.2293071747;12.5;5;31.2390885353;
23;2;25.7664070129;15.1901321411;7;39.7940225601;2;23.3717269897;12.5;5;31.7232985497;
24;3;25.0286064148;15.1599988937;5;50.3580560684;2;23.5169906616;12.5;6;32.2125329971;
25;3;24.2140884399;16.1599998474;5;51.3054618835;3;23.6637611389;12.5;5;32.7020812035;
26;3;24.39295578;17.1599998474;5;52.2036466599;3;23.8106231689;12.5;5;33.1871519089;
27;3;24.5632705688;18.1599998474;5;53.0456132889;3;23.9561462402;12.5;5;33.6630582809;
28;3;24.7234611511;19.1599998474;5;53.8264656067;3;24.0989170074;12.5;5;34.1254005432;
29;3;24.4468231201;20.1599998474;5;54.5433759689;3;24.2376213074;12.5;5;34.570227623;
30;4;23.649553299;21.1599998474;4;55.195432663;3;22.2376213074;13.5;5;34.9941673279;
31;4;22.8338794708;22.1599998474;4;55.7834005356;3;21.5;14.5;5;35.3945169449;
32;4;22.813659668;23.1599998474;5;56.3094148636;3;21.5;15.5;5;35.7692890167;
33;4;22.9623146057;24.1599998474;5;56.7766590118;3;21.5;16.5;5;36.1172132492;
34;4;23.0943660736;25.1599998474;5;57.1890554428;3;20.5;15.5;5;36.4376983643;
35;4;23.2109355927;26.1599998474;7;57.5509767532;3;20.5;15.5;5;36.7307662964;
36;4;23.3132648468;27.1599998474;7;57.7629318237;3;20.5;15.5;5;36.9969644547;
37;4;25.3792381287;28.1599998474;6;58.9016838074;3;20.0990905762;16.5;5;37.2372674942;
38;4;27.4249992371;30.1599998474;7;59.0663305521;3;19.1711807251;17.5;6;37.4529781342;
39;4;28.4249992371;32.1599998474;8;59.2614837885;3;18.1711807251;16.5;6;37.6456279755;
40;4;29.4249992371;33.8600006104;8;59.4910656214;3;17.1711807251;16.5;6;37.8168964386;
41;5;30.4249992371;34.8600006104;6;74.7592710257;3;17.6711807251;17.5;6;37.9685335159;
42;5;32.9380722046;34.8600006104;7;75.8204755783;3;17.8905601501;18.5;6;38.0;
43;5;35.0242919922;35.6254348755;10;76.8484480381;4;19.8999996185;19.5;5;39.0;
44;5;36.1230926514;36.6217727661;11;77.8232603073;4;21.8999996185;21.5;5;39.1299999952;
45;5;36.2853126526;37.6184768677;10;78.7679579258;4;22.8999996185;23.5;5;39.2754310369;
46;5;36.4029579163;38.6155090332;11;79.6896951199;4;24.2826290131;25.5;6;39.4377241135;
47;5;36.5343589783;39.6128349304;12;80.5961952209;4;25.3313179016;27.5;6;39.6183350086;
48;5;36.6798171997;40.6104316711;12;81.4946269989;4;26.3854999542;27.5;7;39.8187118769;
49;5;36.8392524719;41.6082687378;13;82.3906607628;4;26.8999996185;28.4093551636;7;40.0402543545;
50;5;37.0121307373;42.6063232422;14;83.1940450668;5;28.3999996185;29.5201263428;7;41.2842636108;
51;5;37.19739151;43.6045722961;14;83.8739905357;6;30.0852775574;29.5;6;41.641882062;
52;5;37.3809776306;44.6029930115;14;84.5790538788;6;30.1655654907;30.5;7;43.8777003288;
53;5;37.571346283;45.6015739441;14;85.3002557755;6;30.8071746826;32.125;7;45.8483916521;
