Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_HUMAN;Research_KI_6_SP_HUMAN;Industry_KI_6_SP_HUMAN;Ships_KI_6_SP_HUMAN;Population_KI_6_SP_HUMAN;
1;1;11.3999996185;16.0;4;32.0;1;9.0;10.0;4;20.0;
2;1;11.3999996185;16.0;6;32.0;1;9.0;10.0;5;20.0;
3;2;11.5999994278;16.0;5;33.0;1;9.0;10.0;6;20.0;
4;2;11.5999994278;16.0;5;33.1799999475;1;9.0;10.0;6;20.0;
5;2;12.7539997101;16.0;5;33.1172834635;1;10.0;10.0;6;20.0;
6;2;13.8119850159;15.8719997406;5;33.1091729403;1;11.0;10.0;6;20.0;
7;2;14.8786716461;15.7567996979;5;33.2632161379;1;11.0;10.0;6;20.3999996185;
8;2;14.9789648056;15.6991195679;5;33.4692578316;1;11.1199998856;10.1999998093;6;20.7264003754;
9;2;15.0407781601;15.6472072601;5;35.0560562611;2;11.5179204941;10.3632001877;5;21.9903717041;
10;2;17.1963157654;16.2332878113;5;36.3745105267;2;11.597111702;10.4951858521;5;23.0719120502;
11;2;19.1963157654;16.6510391235;5;37.5114626884;2;11.9215736389;11.0209560394;5;23.9749414921;
12;2;21.1963157654;16.9404220581;5;38.3099489212;2;13.9215736389;11.4571752548;5;24.7131726742;
13;2;22.7004566193;17.0200004578;6;39.0345611572;2;15.9215736389;11.8107032776;5;25.3067810535;
14;2;23.9178390503;17.0200004578;6;39.8459496498;2;16.5920333862;12.0916318893;5;25.7784451246;
15;2;25.1612567902;17.0200004578;6;40.7420425415;2;16.7335338593;12.3113050461;5;26.1504684687;
16;2;26.222612381;17.0200004578;6;41.7163825035;2;16.8451404572;12.4808797836;5;26.2221269608;
17;2;26.5149154663;17.0200004578;7;42.7575778961;2;18.7534217834;12.5;5;26.2560760975;
18;3;26.8272724152;17.0200004578;6;43.8492298126;2;19.7636070251;12.5;5;26.2905418873;
19;3;27.1547679901;17.0200004578;7;44.9704999924;2;20.7739467621;12.5;6;26.3255085945;
20;3;27.4911499023;17.0200004578;7;46.0973796844;2;21.7844352722;12.5;6;26.3609591722;
21;3;27.8292121887;17.0200004578;6;47.2045631409;2;21.9082870483;12.5;6;26.3968753815;
22;3;28.1613693237;17.0200004578;6;48.2676591873;2;21.9190635681;12.5;6;26.4332377911;
23;3;28.4802970886;17.0200004578;6;49.2653512955;2;21.5;12.9299716949;6;26.4700255394;
24;3;28.7796058655;17.0200004578;7;50.1811027527;2;21.5;12.9410076141;7;26.5072168112;
25;4;27.0543308258;18.0200004578;6;51.0041217804;3;21.9521656036;12.5;6;26.5447884798;
26;4;26.301235199;19.0200004578;7;51.7294864655;4;21.9634361267;12.5;5;26.5827163458;
27;4;25.5188446045;20.0200004578;7;52.3575534821;4;21.5;13.2913579941;5;26.6209751368;
28;4;24.7072658539;21.0200004578;7;52.892873764;4;21.9862918854;12.5;5;26.6595385075;
29;4;23.8678627014;22.0200004578;7;53.3429164886;4;21.9978618622;12.5;5;26.6983793974;
30;4;23.0028743744;23.0200004578;7;53.7168292999;4;22.009513855;12.5;5;26.7374696732;
31;4;22.1150474548;24.0200004578;8;54.0244121552;4;22.0212402344;12.5;5;26.7767804861;
32;4;21.2073230743;25.0200004578;9;55.2753334045;4;21.5;13.3883905411;5;26.8162822723;
33;4;21.2826004028;26.0200004578;9;55.3168007135;4;22.044883728;12.5;5;26.8559447527;
34;4;22.0720005035;27.0200004578;9;55.354573369;4;22.0567836761;12.5;5;26.8957372904;
35;4;22.3943729401;28.0200004578;9;55.3933162689;4;22.0687217712;12.5;5;26.9356285334;
36;4;23.0720005035;28.0200004578;10;55.4330247641;4;21.5;13.4678144455;5;26.9755871296;
37;5;24.4179077148;29.0200004578;9;55.4736917019;4;22.0926761627;12.5;5;27.015581131;
38;5;25.0720005035;30.0200004578;9;55.5153074265;4;22.104675293;12.5;6;27.0555787086;
39;5;26.4425926208;31.0200004578;10;55.5578598976;4;21.5;13.5;6;27.0955479145;
40;5;27.4553585052;32.0200004578;11;55.6013344526;4;22.1286640167;12.5;6;27.135456562;
41;5;28.4684009552;32.0200004578;11;55.6457136869;4;21.5;13.5;6;27.17527318;
42;5;29.4817142487;32.0200004578;11;55.690977335;4;21.5;13.5876369476;6;27.2149660587;
43;5;31.4952926636;33.0200004578;10;56.7371025085;4;22.1644897461;15.5876369476;6;27.2545039654;
44;5;33.0719985962;34.0200004578;10;56.8440634012;4;22.1763515472;17.5876369476;6;28.293856144;
45;5;34.841217041;35.0200004578;10;56.9547954798;4;23.1881561279;20.5876369476;6;28.3629925251;
46;5;34.6208877563;36.795917511;10;57.0693364143;4;24.1998977661;23.5;7;28.4324746132;
47;5;34.7641143799;37.0200004578;10;57.1877129078;5;24.5297431946;25.5;6;28.5022668839;
48;5;35.1563148499;37.0200004578;11;57.3099398613;5;24.5506801605;26.5;6;28.572332859;
49;5;34.7938957214;37.6851425171;12;57.4360188246;5;24.5716991425;27.5;6;28.6426361799;
50;5;34.8090934753;37.7228546143;11;57.5659370422;5;24.2460403442;28.077917099;6;28.7131403685;
51;5;34.8244743347;37.7621765137;12;57.6996657848;5;24.2573299408;28.0943546295;6;29.7838082314;
52;7;33.6470947266;37.0200004578;8;82.8371595144;5;24.8666381836;29.5;7;29.8946025372;
53;7;34.1510009766;38.0200004578;8;84.7283546925;5;26.6563816071;29.5;7;30.0066699982;
54;7;35.1774978638;39.921005249;8;86.277543664;5;26.677646637;30.5;8;30.1199748516;
55;8;37.7481880188;40.2045631409;7;88.5085859299;5;27.0359916687;31.5;9;30.2344782352;
56;8;39.7910804749;41.0962905884;8;92.6708887815;6;26.7202110291;32.5;8;30.3501383066;
57;8;41.0731201172;43.5310516357;9;95.8598561287;6;26.2826156616;33.5;10;30.4669101238;
58;8;40.5655021667;44.3891334534;10;98.2642613649;6;25.877325058;34.6045799255;10;30.5847454071;
59;8;40.4548187256;47.281463623;10;99.7249684334;6;25.5;35.2923736572;10;30.703592658;
60;8;40.5372581482;47.0717887878;10;100.698137522;6;26.3580760956;33.921672821;10;30.8233966827;
61;8;40.2256584167;47.7500419617;11;101.115951777;6;26.8263053894;33.2011871338;10;30.9440989494;
62;8;41.2860908508;48.8495750427;11;101.550738573;6;26.8473815918;33.2264137268;13;32.0656372309;
63;8;41.460269928;49.9530181885;12;102.001953363;6;26.9513092041;35.3104858398;13;32.2179460526;
64;8;40.4979743958;51.0126686096;13;102.468876004;6;28.4649467468;35.9857292175;14;32.3695265055;
65;8;41.5327415466;52.1646461487;13;102.950605154;6;29.7108573914;35.5;14;32.4943808317;
66;9;42.5717773438;56.1646461487;12;104.44605875;7;29.2487697601;37.332572937;14;32.620972991;
67;9;42.9979743958;61.1646461487;13;105.005338788;7;29.2700881958;38.3603363037;14;33.8726354837;
68;9;43.6942863464;64.164642334;13;105.577755451;7;29.811668396;38.5835342407;14;34.9087884426;
69;9;44.0363731384;68.455368042;14;106.161756277;7;29.173286438;39.9959030151;15;35.7637552023;
70;9;44.436000824;71.7817382812;14;106.75564611;7;28.5896682739;42.2517318726;15;36.4732550383;
71;9;44.436000824;73.4667129517;14;107.35760653;7;29.9197444916;40.6134605408;15;36.9221462011;
72;10;44.436000824;74.7260513306;14;107.952522635;7;31.0766448975;39.0;16;37.1941025257;
73;10;45.3372154236;74.4517745972;14;108.550642371;7;29.4047679901;41.7011680603;16;37.469353199;
74;10;49.7696418762;75.6224746704;14;109.149920106;7;28.3999996185;40.0;16;37.7475888729;
75;10;52.8680419922;76.7908172607;16;109.748301744;7;28.3999996185;41.0;17;38.028477788;
76;10;54.98021698;77.9561386108;17;110.343755007;7;28.3999996185;42.0;17;38.3116667271;
77;10;55.904964447;79.1178436279;19;110.934297323;7;28.3999996185;43.0;17;38.5967833996;
78;10;56.0178604126;80.2753601074;20;111.518023014;7;28.3999996185;44.0;18;38.8834364414;
79;10;55.1305160522;79.4281997681;21;112.093129396;7;28.3999996185;45.0;18;39.1712198257;
80;10;55.2424964905;79.5759429932;22;112.657935739;8;28.3999996185;45.8572654724;17;39.4597131014;
81;10;56.3533973694;80.71824646;22;113.210903049;8;28.3999996185;45.8811416626;17;39.7484852076;
