Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.3999996185;16.0;4;32.0;1;11.8999996185;8.625;4;17.25;
2;1;11.3999996185;16.0;6;31.7439994812;1;11.8999996185;8.625;5;17.25;
3;1;11.3487997055;15.8719997406;6;31.5135993958;1;11.8999996185;8.625;5;17.25;
4;1;11.3027200699;15.7567996979;6;30.8065280914;1;11.8999996185;8.625;5;17.25;
5;1;12.3027200699;15.4032640457;6;30.1701641083;1;12.8999996185;8.625;5;17.25;
6;1;13.3027200699;15.0850820541;6;29.5974349976;2;14.5;8.625;4;18.25;
7;1;13.8792304993;14.7987174988;5;29.1583633423;2;15.5;8.625;4;18.5949993134;
8;1;13.7475090027;14.5791816711;5;28.7631988525;2;16.156999588;8.79749965668;4;18.8861961365;
9;1;13.6289596558;14.3815994263;5;28.7130870819;2;16.3317184448;8.94309806824;4;19.696713686;
10;1;15.7475090027;14.356543541;5;28.6679859161;2;16.8180274963;9.3333568573;4;20.396187067;
11;1;16.7475090027;14.3339929581;5;28.6273956299;2;18.8180274963;9.6677980423;4;20.9908788204;
12;1;17.7475090027;14.3136978149;5;28.5908641815;2;20.8180274963;9.94955635071;4;21.4904358387;
13;1;18.7475090027;14.2954320908;5;28.5579853058;2;21.8741378784;10.1834592819;4;21.9062794447;
14;1;19.7475090027;14.2789926529;5;28.5283946991;2;22.8935279846;10.3752222061;4;22.2503181696;
15;1;20.5585174561;14.2641973495;5;28.5017623901;2;23.9132537842;10.5308046341;5;22.4721269608;
16;1;20.55052948;14.2508811951;7;28.4777946472;2;24.933303833;10.625;5;22.5060760975;
17;1;20.5433387756;14.2388973236;7;28.4562225342;2;25.9536724091;10.625;5;22.5405418873;
18;1;20.5368671417;14.2281112671;8;28.4368076324;2;26.9743518829;10.625;5;22.5755085945;
19;1;20.531042099;14.2184038162;8;28.4193344116;2;27.5453052521;10.625;5;22.6109591722;
20;1;20.525800705;14.2096672058;8;28.4036083221;2;27.566576004;10.625;5;22.6468753815;
21;1;20.5210838318;14.2018041611;9;28.3894557953;2;27.5881252289;10.625;5;22.6832377911;
22;1;20.5168380737;14.1947278976;10;28.3767185211;2;27.6099433899;10.625;6;22.7200255394;
23;1;20.5130157471;14.1883592606;10;28.3652553558;2;27.6320152283;10.625;6;22.7572168112;
24;1;20.5095767975;14.1826276779;10;28.3549385071;2;27.6543292999;10.625;6;22.7947884798;
25;1;20.5064811707;14.1774692535;10;28.3456535339;2;27.6768722534;10.625;6;22.8327163458;
