Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SCYLIOR;Research_KI_6_SP_SCYLIOR;Industry_KI_6_SP_SCYLIOR;Ships_KI_6_SP_SCYLIOR;Population_KI_6_SP_SCYLIOR;
1;1;11.3999996185;16.0;4;32.0;1;11.8999996185;8.625;4;17.25;
2;1;11.3999996185;16.0;6;32.0;1;11.8999996185;8.625;5;17.25;
3;1;11.3999996185;16.0;6;32.0;1;11.8999996185;8.625;5;17.25;
4;1;11.3999996185;16.0;6;32.0;1;11.8999996185;8.625;5;17.25;
5;1;12.3999996185;16.0;6;32.0;1;12.8999996185;8.625;5;17.25;
6;1;13.3999996185;16.0;6;32.0;1;13.8999996185;8.625;5;17.25;
7;2;14.6999998093;16.0;5;33.6399993896;1;14.8999996185;8.625;5;17.5949993134;
8;2;15.0920000076;16.3199996948;5;34.1900000572;2;16.156999588;8.79749965668;4;18.8861961365;
9;2;15.2569999695;16.5;5;36.0995405912;2;16.3317184448;8.94309806824;4;19.6867136955;
10;2;17.2268619537;17.3250007629;5;37.5726971626;2;16.8120269775;9.3333568573;4;20.3757920265;
11;2;19.2268619537;17.9053878784;5;37.7388074398;2;18.8120269775;9.6677980423;4;20.9596945047;
12;2;21.2268619537;17.8168487549;5;37.982247591;2;20.8120269775;9.94955635071;4;21.4480694532;
13;2;22.5443763733;17.7371635437;5;38.3086006641;2;21.8487186432;10.1834592819;4;21.8523409367;
14;2;23.6853122711;17.6654472351;7;38.6813826561;2;22.8611660004;10.3752222061;4;22.1844209433;
15;2;24.8358726501;17.6009025574;7;39.1341977119;2;23.873714447;10.5308046341;5;22.3938889503;
16;2;25.7402610779;17.5428123474;7;39.6686406136;2;24.8863601685;10.625;5;22.4151208401;
17;2;25.900592804;17.4905319214;7;40.2844424248;2;25.89909935;10.625;5;22.4364993572;
18;2;26.0853328705;17.443479538;7;40.9788455963;2;26.9119262695;10.625;5;22.4580165148;
19;3;26.2936534882;17.4011306763;6;41.7460584641;2;27.4748096466;10.625;5;22.4796639681;
20;3;26.5238170624;17.3630180359;6;42.5768585205;2;27.4877986908;10.625;5;22.5014331341;
21;3;26.7730579376;17.3287162781;7;43.458521843;2;27.5008602142;10.625;5;22.5233153105;
22;3;27.0375556946;17.2978439331;7;44.3751325607;2;27.5139884949;10.625;6;22.5453014374;
23;3;27.3125400543;17.2700595856;8;45.3083267212;2;27.5271816254;10.625;6;22.5673824549;
24;3;25.29753685;18.245054245;8;46.238448143;2;27.540430069;10.625;6;22.5895489454;
25;3;24.333530426;19.2225494385;8;47.1459665298;2;27.553730011;10.625;6;22.6117914915;
26;3;24.3213768005;20.2022953033;8;48.0129528046;2;27.567073822;10.625;6;22.6341004372;
27;3;24.3104400635;21.1840667725;8;48.8243684769;2;27.5804595947;10.625;6;22.6564661264;
28;3;25.3005962372;19.1676597595;8;50.5689783096;3;27.5938796997;10.625;5;22.678878665;
29;3;27.2917366028;18.6528930664;8;51.2597470284;3;26.75;10.625;5;22.7013280392;
30;3;26.2837638855;19.6496047974;8;51.8739266396;3;27.6207962036;10.625;5;22.7238043547;
31;3;26.2765865326;20.6477413177;8;52.4121710062;3;27.6342830658;10.625;5;22.7462974787;
32;3;25.5947608948;19.1276435852;9;52.8779724836;3;27.6477775574;10.625;5;22.7687973976;
33;3;25.6009311676;19.1071910858;9;53.2768080235;3;27.661277771;10.625;5;22.7912938595;
34;3;24.6071548462;18.1071910858;9;53.6153463125;3;27.6747760773;10.625;6;22.8137768507;
35;3;24.2765865326;18.6520309448;9;53.9007611275;3;27.6882667542;12.625;6;22.8362361193;
36;3;26.6197528839;21.6520309448;9;54.1402108669;3;27.7017421722;14.625;6;22.8586617708;
37;3;28.2463226318;24.6520309448;10;54.1614711285;3;27.7151966095;16.625;6;22.8810436726;
38;3;26.2428913116;27.6520309448;11;54.1726924181;3;27.7286262512;18.625;6;22.9033719301;
39;3;26.2398033142;30.6520309448;11;54.1850739717;3;27.742023468;20.625;6;22.9256366491;
40;3;27.2370223999;32.6231117249;11;54.1985003948;3;27.7553825378;20.625;6;23.9478281736;
41;3;26.2345199585;33.6832504272;11;54.212875247;3;28.7686958313;21.625;6;23.9999368191;
42;3;27.2322673798;32.6904373169;11;54.1154651642;3;29.781961441;22.625;7;24.052544117;
43;3;28.2302398682;32.6980514526;11;54.0300899744;3;29.7951717377;23.625;7;24.1056338549;
44;3;29.2284164429;32.7060546875;11;53.9555443525;3;29.8083209991;24.625;7;24.1591887474;
45;3;30.6286392212;32.0446243286;12;53.8907469511;3;29.8214035034;25.625;8;24.2131904364;
46;3;31.2252960205;32.7230567932;12;53.8347191811;5;29.8344135284;26.202917099;6;24.2676196098;
47;3;29.6391983032;33.0399475098;12;53.7865816355;5;29.8473472595;25.625;7;24.322455883;
48;3;28.2227706909;34.7411842346;13;53.745542407;5;29.8601970673;26.2360630035;7;24.3776776791;
49;4;28.2227706909;32.7505950928;11;77.7108857632;5;29.8729610443;26.2530384064;8;24.4332625866;
50;4;30.6340484619;33.034538269;11;78.8819693327;5;29.8856315613;26.2702713013;9;24.4891870022;
51;4;32.5383491516;34.0330886841;11;79.8158069849;5;29.8982067108;26.2877540588;9;24.5454262495;
52;4;32.5326042175;35.0317764282;12;80.5401825905;5;29.9106807709;26.3054790497;9;24.6019548178;
53;4;32.5281181335;36.0306015015;12;81.0898377895;5;29.9230480194;26.3234367371;9;24.6587462425;
54;6;33.5247497559;38.0295410156;10;82.4999989271;5;29.9353046417;26.3416194916;9;24.7157728672;
55;6;34.0532569885;40.0285873413;11;82.6532695293;5;29.9474487305;26.3600120544;9;25.7572168112;
56;7;34.5209312439;42.0277290344;10;82.6984955072;5;30.9500007629;27.3786087036;9;26.6992717981;
57;7;34.5202865601;44.0269546509;10;85.357627511;5;32.4431266785;28.8071365356;9;27.4997531176;
58;7;35.309173584;46.6648025513;11;87.333584547;5;33.8260726929;29.3489723206;10;29.1759294271;
59;7;35.6756477356;48.1011886597;11;88.7900487185;6;35.1921806335;31.6102333069;9;29.8070559502;
60;7;35.5838241577;50.0104751587;11;89.2719248533;6;36.4934005737;33.8168411255;9;30.3550852537;
61;7;36.0563468933;50.4000015259;12;89.4577863216;6;36.7411003113;35.6434402466;9;30.6308583021;
62;7;35.6921806335;52.1079406738;16;89.6005781889;6;35.6881332397;37.6475067139;11;30.8704885244;
63;7;36.1474571228;52.4000015259;17;89.7487329245;7;35.7023391724;38.7209358215;10;31.1173713207;
64;8;33.7159919739;55.2052688599;16;89.902254343;7;35.7164001465;39.7618713379;10;31.3714643717;
65;8;32.1511077881;57.2575492859;16;90.0611138344;7;35.7303009033;41.5072822571;11;31.6326922178;
66;8;32.2753868103;58.4000015259;18;91.225246191;7;35.7440414429;42.590763092;11;31.8882570267;
67;8;31.6918468475;62.3693618774;18;92.4962434769;7;35.75;43.6774520874;10;32.1410448551;
68;8;34.1511077881;65.3396606445;19;92.7005467415;7;35.75;43.9416656494;10;32.400811553;
69;8;36.6429977417;67.2720031738;19;92.7133053541;7;35.75;45.0754089355;11;32.667335391;
70;8;34.5338516235;72.054397583;20;92.8618696928;8;35.75;45.2086715698;10;33.9403531551;
71;9;34.2213058472;76.6535339355;19;93.1494083405;8;36.75;46.3451728821;10;34.2195580006;
72;9;34.5484428406;78.2632827759;20;93.5798045397;8;37.75;47.4847793579;8;34.5045998096;
73;9;33.4627838135;83.118598938;22;94.1571457386;8;38.3499984741;48.6273002625;9;34.7950863838;
74;9;33.9879379272;86.9443969727;23;94.8850543499;8;38.3499984741;49.7725448608;10;35.0905823708;
75;9;34.9266052246;88.0642547607;24;95.765856266;8;38.3499984741;50.9202919006;10;35.3906123638;
76;9;33.8721389771;92.2247009277;24;96.7995901108;8;38.3499984741;51.0703086853;11;36.6946623325;
77;10;33.8238372803;96.0403213501;24;97.982966423;8;39.3499984741;52.2223320007;11;37.1146817207;
78;10;33.7810821533;99.6032485962;25;99.2369983196;8;40.3499984741;53.3760910034;11;37.5489923954;
79;10;34.1015510559;100.687721252;25;100.62615943;8;40.3499984741;54.5312957764;12;37.9978455305;
80;10;33.7099609375;102.865531921;26;102.131448984;8;40.3499984741;55.6876335144;13;38.4614654779;
81;12;34.6806373596;103.12311554;25;103.728503704;8;40.3499984741;56.8447952271;13;38.94003582;
82;12;35.6549110413;104.442466736;25;105.388464212;8;41.3499984741;57.0024452209;13;39.4336829185;
83;12;36.632396698;106.801841736;26;108.079540253;9;41.4679069519;55.1242980957;12;39.9424564838;
84;12;38.6127700806;110.177024841;26;110.089084506;9;40.9840240479;52.6797332764;12;40.4663038254;
85;12;39.6374855042;114.542999268;27;111.902600765;9;41.7098121643;55.6797332764;13;41.0050458908;
86;12;39.5418434143;118.789962769;26;113.803910255;9;41.8455696106;58.5488319397;14;41.5583457947;
87;12;40.4557647705;120.245399475;25;116.800471067;9;41.9914970398;55.4281768799;14;42.1256797314;
88;12;41.3782920837;122.705070496;26;119.110571384;9;42.1476707458;54.5112915039;11;42.706305027;
89;12;42.3085708618;125.66733551;24;121.407939553;9;42.3140258789;53.5932922363;12;44.2992339134;
90;13;42.1995544434;129.480209351;25;123.939837337;9;43.4903297424;53.673992157;12;45.0032075644;
91;14;44.6170959473;130.411865234;24;126.739418983;10;44.6761703491;53.7532310486;11;45.7255797386;
92;14;51.4259796143;132.149581909;25;129.82633543;10;44.8709411621;53.8308486938;11;47.1916363239;
93;15;53.7495117188;136.102050781;26;133.193881512;10;45.3889541626;54.3578796387;11;49.6594655514;
94;15;57.6207046509;137.06300354;26;136.797504902;10;46.0884284973;55.6333274841;12;52.3487138748;
95;15;58.8841094971;138.031387329;26;140.44889307;10;46.8742218018;56.9170722961;12;55.2539964914;
96;16;60.1956672668;138.535919189;28;145.046793222;10;46.2497787476;57.2070999146;12;58.3597106934;
97;18;62.4736099243;141.195159912;26;149.718733668;10;45.3015174866;58.4841270447;12;61.6389350891;
98;18;66.4577026367;143.050170898;27;153.274498582;10;46.181678772;58.8643379211;13;66.0537825823;
99;19;67.5999145508;146.988586426;26;156.546981215;10;47.0861244202;61.005531311;13;69.617602706;
100;20;68.9295043945;150.933166504;27;159.530111313;10;48.011264801;62.3833236694;13;73.2218647003;
