Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.3999996185;16.0;4;32.0;1;6.0;12.6999998093;4;21.0;
2;1;11.3999996185;16.0;6;32.0;1;7.0;11.6999998093;5;21.0;
3;2;11.5999994278;16.0;5;33.0;1;8.0;10.6999998093;5;21.0;
4;2;11.5999994278;16.0;5;33.0299999714;1;8.14999961853;10.5;5;21.0;
5;2;12.7089996338;16.0;5;33.0605909824;1;8.14999961853;10.5;5;21.0;
6;2;13.7181768417;16.0;5;33.091766119;1;9.14999961853;10.5;5;21.0;
7;2;14.7275295258;16.0;5;33.7635166645;1;9.72500038147;10.5;5;21.0;
8;2;15.1290550232;16.3199996948;5;34.1531386375;1;9.72500038147;10.5;5;21.4200000763;
9;2;15.2459411621;16.5;5;35.8650275469;1;9.81949996948;10.7100000381;5;21.758436203;
10;2;17.1565074921;17.3250007629;5;35.6232879162;1;9.8956489563;10.8792181015;5;22.0;
11;2;19.1565074921;17.1761016846;5;35.4131996632;1;9.94999980927;11.0;5;23.5400009155;
12;2;21.1565074921;17.0420913696;5;35.0423461199;1;10.296500206;11.7700004578;6;24.8252849579;
13;2;22.2086448669;16.8267631531;6;34.7164170742;1;11.9499998093;12.4126424789;6;25.8616695404;
14;2;23.2271442413;16.6329669952;6;34.4310888052;1;12.9499998093;12.9308347702;6;26.6732940674;
15;2;24.2461967468;16.4585494995;6;34.1824649572;1;13.9499998093;13.3366470337;6;27.2939033508;
16;2;24.2547397614;16.301574707;6;33.9670231342;1;14.9499998093;13.6469516754;6;27.759563446;
17;3;24.1901073456;16.1602973938;5;33.7815836668;1;15.9499998093;13.879781723;6;28.0;
18;3;23.6198883057;16.0331478119;6;33.6232718229;1;16.9500007629;14.0;6;28.0;
19;3;24.0869808197;15.918712616;6;33.489490509;1;17.9500007629;14.0;6;28.0;
20;3;24.0468482971;15.8157215118;6;33.3778842688;1;18.2999992371;14.0;6;28.0;
21;3;24.0133666992;15.7230291367;6;33.28632164;1;18.2999992371;14.0;6;28.0;
22;3;23.9858970642;15.6396064758;6;33.2128653526;1;18.2999992371;14.0;6;28.0;
23;3;23.9638595581;15.5645256042;6;34.1557586193;1;18.2999992371;14.0;7;28.0;
24;3;24.9467277527;15.4969530106;6;34.1592332125;1;18.2999992371;14.0;7;28.0;
25;3;23.9705104828;16.4969520569;7;34.1776205301;1;18.2999992371;14.0;7;28.0;
26;3;23.3226146698;17.4969520569;7;34.2096083164;1;18.2999992371;14.0;7;28.0;
27;4;22.3617687225;18.4969520569;6;34.2539896965;1;18.2999992371;14.0;7;28.0;
28;4;21.4016838074;19.4969520569;6;34.3096601963;1;18.2999992371;14.0;7;28.0;
29;4;20.442325592;20.4969520569;6;34.3756022453;1;18.2999992371;14.0;8;28.0;
30;4;19.4836540222;21.4969520569;6;34.4508759975;1;18.2999992371;14.0;8;28.0;
31;4;18.5256271362;22.4969520569;7;34.5346148014;1;18.2999992371;14.0;8;28.0;
32;4;17.5682029724;23.4969520569;7;34.626013875;1;18.2999992371;14.0;8;28.0;
33;4;17.3131580353;24.4969520569;8;34.7243251801;1;18.2999992371;14.0;8;28.0;
34;4;17.3567886353;25.4969520569;8;34.8288526535;1;18.2999992371;14.0;8;28.0;
35;4;17.4008693695;26.4969520569;8;34.9389452934;1;18.2999992371;14.0;8;28.0;
36;4;17.4453468323;27.4969520569;8;35.0539922714;1;18.2999992371;14.0;8;28.0;
37;4;17.4901676178;28.4969520569;8;35.1734218597;1;18.2999992371;14.0;8;28.0;
38;4;17.5352706909;29.4969520569;8;35.2966946363;1;18.2999992371;14.0;8;28.0;
39;4;18.5806007385;27.4969520569;9;35.4233067036;1;18.2999992371;14.0;8;28.0;
40;4;18.5778408051;28.4969520569;10;35.5527801514;1;18.2999992371;14.0;8;28.0;
41;4;20.5989723206;29.4969520569;10;35.6846652031;1;18.2999992371;14.0;8;28.0;
42;4;20.0;30.4969520569;10;35.8185362816;1;18.2999992371;14.0;9;28.0;
43;4;22.0;31.4969520569;12;35.9539897442;1;18.2999992371;14.0;9;28.0;
44;4;23.808555603;32.4969520569;12;36.090644598;1;18.2999992371;14.0;9;28.0;
45;4;23.6867485046;32.4969520569;12;36.2281410694;1;16.2999992371;15.0;10;28.0;
46;4;24.0;33.480052948;14;36.3661403656;1;15.2999992371;16.0;10;28.0;
47;5;25.9656200409;34.1830711365;13;37.5043206215;1;14.2999992371;17.0;10;28.0;
48;5;27.9623851776;33.2160301208;13;37.6862431765;1;13.2999992371;18.0;10;28.0;
49;7;27.8934421539;32.9324569702;9;86.6192253828;1;12.2999992371;19.0;10;28.0;
50;7;29.2091464996;36.9280929565;10;90.0155084133;1;12.0;20.0;11;28.0;
51;7;30.059047699;41.1128463745;10;92.7517205477;1;12.0;21.0;11;28.0;
52;7;31.8206348419;42.2357215881;11;94.8920115232;1;12.0;22.0;11;28.0;
53;7;33.8399505615;41.143901825;12;96.5362868309;1;12.0;23.0;11;28.0;
54;7;35.076789856;42.0864906311;12;97.7905420065;1;12.0;24.0;11;28.0;
55;7;34.052482605;45.0549316406;13;98.4183709621;1;12.0;25.0;12;28.0;
56;7;36.2744369507;45.4346847534;14;98.9094754457;1;12.0;26.0;12;28.0;
57;7;38.3090362549;44.4325942993;15;99.0925809145;1;12.0;27.0;12;28.0;
58;7;39.2162017822;46.1229248047;15;99.2748218775;1;12.0;28.0;12;28.0;
59;7;39.3791999817;47.4290237427;16;99.4479161501;1;12.0;29.0;12;28.0;
60;7;41.4146614075;47.4275016785;16;99.5799612999;1;12.0;30.0;13;28.0;
61;7;41.8050842285;49.4261322021;16;99.7125390768;1;12.0;31.0;13;28.0;
62;8;43.2148857117;49.4248962402;15;104.315831304;1;12.0;32.0;14;28.0;
63;8;44.2529296875;50.7131462097;16;107.758099675;1;13.0;30.0;15;28.0;
64;8;45.0169143677;51.9294281006;16;110.284980536;1;12.0;31.0;16;28.0;
65;8;42.4821395874;56.0399475098;16;111.866103649;1;12.0;32.0;16;28.0;
66;8;42.6918411255;59.0325775146;17;112.470240593;1;13.0;30.0;16;28.0;
67;8;42.6918411255;60.7439918518;18;112.892126799;1;12.0;31.0;16;28.0;
68;8;42.6918411255;61.9380569458;18;113.311320066;1;12.0;32.0;17;28.0;
69;9;43.3781051636;61.9616966248;14;130.976897717;1;13.0;30.0;17;28.0;
70;9;44.4126815796;64.0939559937;15;132.724853992;1;12.0;31.0;17;28.0;
71;9;46.4480743408;64.1617279053;16;134.322601557;1;12.0;32.0;17;28.0;
72;9;45.6918411255;66.1617279053;16;135.754914045;1;13.0;30.0;18;28.0;
73;9;45.6918411255;67.7912597656;18;137.019378662;1;12.0;31.0;18;28.0;
74;9;44.6918411255;71.8549499512;20;138.123820305;1;12.0;32.0;18;28.0;
75;9;44.6918411255;75.17603302;21;139.082859755;1;13.0;30.0;18;28.0;
76;9;44.6918411255;78.1009979248;20;139.91456461;1;12.0;31.0;18;28.0;
77;9;45.6918411255;77.3246459961;21;140.637775421;1;12.0;32.0;19;28.0;
78;9;47.188911438;80.4341278076;22;141.175727367;1;13.0;30.0;19;28.0;
79;9;49.220375061;83.5412826538;23;141.515272141;1;12.0;31.0;19;28.0;
80;9;50.4509353638;85.8647003174;23;141.844462395;1;12.0;32.0;19;28.0;
81;9;50.4805603027;88.01612854;23;142.119411945;1;13.0;30.0;20;28.0;
82;9;49.7107467651;90.1426086426;24;142.347186565;1;12.0;31.0;20;28.0;
