Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.3999996185;16.0;4;32.0;1;6.0;12.6999998093;4;21.0;
2;1;11.3999996185;16.0;6;31.7439994812;1;7.0;11.6999998093;5;21.0;
3;2;11.5487995148;15.8719997406;5;32.5135993958;1;8.0;10.6999998093;5;21.0;
4;2;11.5027198792;15.7567996979;5;32.3338401318;1;8.14999961853;10.5;5;21.0;
5;2;12.611000061;15.6531200409;5;32.1752938032;1;8.14999961853;10.5;5;21.0;
6;2;13.6194238663;15.5598077774;5;32.0358816385;1;9.14999961853;10.5;4;21.0;
7;2;14.6107645035;15.4758272171;5;32.0057271719;1;9.72500038147;10.5;4;21.0;
8;2;14.6017189026;15.4462442398;5;31.9819425344;1;9.72500038147;10.5;4;21.4200000763;
9;2;14.5945825577;15.4196195602;5;33.3388736248;1;9.81949996948;10.7100000381;4;21.758436203;
10;2;16.6289901733;16.0673618317;5;34.3364858627;1;9.8956489563;10.8792181015;4;22.0;
11;2;18.6289901733;16.5341625214;5;35.0550880432;2;9.94999980927;11.1999998093;3;24.5400009155;
12;2;20.6289901733;16.860162735;5;35.4439741373;2;10.5215005875;11.7700004578;4;25.9852849245;
13;2;21.6889381409;17.0200004578;6;35.5158017874;2;12.2109994888;12.4126424789;4;27.2054134607;
14;2;22.7104854584;17.0200004578;6;35.590244174;2;14.2109994888;12.9308347702;4;28.2274179459;
15;2;23.7328186035;17.0200004578;5;35.6672874689;2;16.2110004425;13.3366470337;4;29.0880752802;
16;2;24.7001857758;17.0200004578;6;35.7469059229;2;17.3536891937;13.6469516754;4;29.82655406;
17;3;24.7240715027;17.0200004578;5;35.8290609121;2;18.4150733948;13.879781723;4;30.375654459;
18;3;24.2119998932;17.0200004578;5;35.913700223;2;19.4845237732;14.0;4;30.7230784893;
19;3;24.7741088867;17.0200004578;5;36.0007579327;2;20.5626926422;14.0;4;31.1118502617;
20;3;24.8002262115;17.0200004578;6;36.0901536942;2;21.0001659393;14.0;4;31.544028759;
21;4;24.2119998932;17.6350460052;6;36.1817924976;2;21.0974063873;14.0;4;32.0209121704;
22;4;24.2119998932;17.0200004578;6;36.2755646706;2;21.2047042847;14.0;4;32.5427899361;
23;4;24.2119998932;18.0200004578;6;36.3713459969;2;20.2999992371;15.0;5;33.1086950302;
24;4;24.911403656;17.0200004578;6;36.4689979553;2;20.2999992371;14.0;5;33.7161855698;
25;4;22.9406986237;18.0200004578;6;36.5683681965;2;20.2999992371;14.0;6;34.3611893654;
26;4;21.9705104828;19.0200004578;6;36.6692912579;2;20.2999992371;14.0;6;35.0379443169;
