Turn;Planet_count_KI_1_SP_TRITH;Research_KI_1_SP_TRITH;Industry_KI_1_SP_TRITH;Ships_KI_1_SP_TRITH;Population_KI_1_SP_TRITH;Planet_count_KI_6_SP_SLY;Research_KI_6_SP_SLY;Industry_KI_6_SP_SLY;Ships_KI_6_SP_SLY;Population_KI_6_SP_SLY;
1;1;11.3999996185;16.0;4;32.0;2;6.0;12.8999996185;3;22.0;
2;1;11.3999996185;16.0;4;32.0;2;7.15000009537;11.6999998093;3;22.0900000334;
3;1;11.3999996185;16.0;4;31.5391998291;2;8.16349983215;10.6999998093;3;22.1871190071;
4;1;11.3078403473;15.7695999146;4;31.1244792938;2;8.32806777954;10.5;3;22.2917383909;
5;1;12.3078403473;15.5622396469;4;30.7512321472;2;8.34376049042;10.5;3;22.4042263031;
6;1;13.3078403473;15.3756160736;4;30.415309906;2;9.46595096588;10.5;3;22.5249304771;
7;2;14.4245929718;15.207654953;3;31.1985778809;2;10.0681095123;10.5;3;22.6541694403;
8;2;14.3595733643;15.0992889404;3;31.148650527;2;10.0971889496;10.5;3;23.2287653685;
9;2;14.3445959091;15.0017604828;3;32.115690589;2;10.2264719009;10.7100000381;3;23.7334493399;
10;2;16.4530334473;15.4020795822;3;32.8755903244;2;10.3400268555;10.8792181015;3;24.1532578468;
11;2;18.4530334473;15.6897659302;4;33.3757879734;2;10.4344825745;11.0;3;26.0129473209;
12;3;20.4530334473;15.8360004425;3;33.6088205576;2;10.8529129028;11.7700004578;3;27.6574776173;
13;3;21.640619278;15.8360004425;3;33.869212389;2;12.5872430801;12.4126424789;3;29.0951218605;
14;3;22.7187385559;15.8360004425;4;34.1588907242;2;14.5872430801;12.9308347702;3;30.3518810272;
15;3;23.8056411743;15.8360004425;4;34.4795558453;2;16.5872421265;13.3366470337;4;31.4625301361;
16;3;24.3438663483;15.8360004425;5;34.832565546;3;17.8879413605;13.6469516754;4;32.4630823135;
17;3;24.4497699738;15.8360004425;5;35.2188038826;3;19.0082912445;13.879781723;4;33.2818861008;
18;3;24.5656414032;15.8360004425;5;35.6385436058;3;20.138425827;14.0;4;33.9008235931;
19;3;24.6915626526;15.8360004425;5;36.0913076401;3;21.2776870728;14.0;4;34.5557665825;
20;3;24.8273925781;15.8360004425;5;36.5757436752;3;21.7750473022;14.0;4;35.2404661179;
21;3;24.9727230072;15.8360004425;6;37.0895271301;3;21.9291038513;14.0;3;35.9471020699;
22;3;25.1268577576;15.8360004425;6;37.6293072701;3;22.0880966187;14.0;3;36.6665449142;
23;3;25.2887916565;15.8360004425;8;38.1907124519;3;22.2499713898;14.0;3;37.3887672424;
24;4;25.4572143555;15.8360004425;7;38.7684268951;3;22.4124717712;14.0;3;38.1033678055;
25;4;23.5016002655;16.8360004425;7;39.3563437462;3;22.5732574463;14.0;3;38.8001594543;
26;4;23.5016002655;17.8360004425;7;39.9477901459;3;22.7300338745;14.0;3;39.4697523117;
27;4;23.5016002655;18.8360004425;8;40.5358123779;3;22.8806934357;14.0;4;40.1040582657;
28;4;22.5016002655;17.8360004425;9;41.1134939194;3;23.0234127045;14.0;5;40.6966657639;
29;4;22.5016002655;17.8360004425;9;41.6742830276;3;23.1567497253;14.0;5;41.2430458069;
30;4;22.5016002655;18.8360004425;10;42.2122888565;4;22.2796840668;15.5;5;42.7405805588;
31;4;21.6636867523;19.8360004425;10;42.7225255966;4;22.3916301727;16.5;5;43.3484441042;
32;4;20.8167572021;20.8360004425;10;43.2010784149;4;21.4923992157;17.5799999237;5;43.9311043024;
