Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;6;21.0;1;9.0;10.0;5;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;5;20.0;
5;2;8.27600002289;11.1199998856;4;23.5301437378;1;10.0;10.0;5;20.0;
6;2;9.50100040436;11.2650718689;4;24.1066050529;1;11.0;10.0;5;20.0;
7;2;10.4239864349;11.543302536;3;24.5685391426;1;11.0;10.0;5;20.3999996185;
8;2;10.527920723;11.7641716003;3;25.180866003;2;11.4200000763;10.1999998093;3;21.7264003754;
9;2;10.6656951904;12.0549411774;3;25.6679409742;2;11.5179204941;10.3632001877;3;21.9903717041;
10;2;10.7752866745;12.2827939987;3;26.0522544384;2;11.597111702;10.4951858521;3;23.0719120502;
11;2;10.8617572784;12.4589796066;3;26.1668007374;2;11.9215736389;11.0209560394;3;23.9749414921;
12;2;12.8617572784;12.5;3;26.1998585463;2;13.9215736389;11.4571752548;3;24.7131726742;
13;2;14.8617572784;12.5;3;26.233456254;2;15.9215736389;11.8107032776;4;25.3067810535;
14;2;15.8840684891;12.5;3;26.26758039;2;16.94962883;12.0916318893;4;25.7784451246;
15;2;16.891746521;12.5;3;26.302216053;2;17.9593238831;12.3113050461;4;26.1504684687;
16;2;17.8995399475;12.5;3;26.3373470306;2;18.9691867828;12.4808797836;4;26.2221269608;
17;2;18.9074440002;12.5;3;26.3729559183;2;19.9792118073;12.5;4;26.2560760975;
18;2;19.9154548645;12.5;4;26.4090241194;2;20.989397049;12.5;4;26.2905418873;
19;2;19.942029953;12.5;4;26.4455316067;2;21.8871631622;12.5;4;26.3255085945;
20;2;19.9502449036;12.5;4;26.4824572802;2;21.8976516724;12.5;4;26.3609591722;
21;2;19.9585533142;12.5;4;26.5197787285;2;21.9082870483;12.5;6;26.3968753815;
22;2;19.9669494629;12.5;4;26.5574725866;2;21.9190635681;12.5;6;26.4332377911;
23;2;19.9754314423;12.5;4;26.5955142975;2;21.9299716949;12.5;7;26.4700255394;
24;2;19.9839897156;12.5;5;26.633878231;3;21.9410076141;12.5;6;26.5072168112;
25;2;19.9926223755;12.5;5;26.6725378036;3;21.5;12.5;7;26.5447884798;
26;2;20.0013217926;12.5;5;26.7114654779;3;21.9634361267;12.5;7;26.5827163458;
27;2;20.0100803375;12.5;5;26.7506330013;3;21.9748153687;12.5;7;26.6209751368;
28;2;19.625;13.3753166199;5;26.7900111675;3;21.9862918854;12.5;7;26.6595385075;
29;2;19.625;13.3950052261;5;26.8295701742;3;21.9978618622;12.5;7;26.6983793974;
30;2;19.625;13.4147853851;5;26.8692797422;3;22.009513855;12.5;7;26.7374696732;
31;2;18.0455875397;13.5;5;26.9091088772;3;22.0212402344;12.5;7;27.7767804861;
32;2;18.625;13.4545545578;5;26.949026227;3;22.5;13.6107120514;7;27.8562822342;
33;2;17.0635299683;13.5;5;26.9890002012;3;23.5;13.2265129089;7;27.9371286631;
34;2;17.625;13.4945001602;5;27.0289990902;3;23.5;13.6748514175;7;28.0192908049;
35;2;16.0815238953;13.5;5;27.0689907074;3;22.4057884216;13.5;7;28.1027359962;
36;2;16.625;13.5;5;27.108943224;3;22.5;13.7410945892;7;28.1874285936;
37;2;17.625;13.5544719696;5;27.1488244534;3;21.4562282562;13.5;7;28.2733290195;
38;2;18.625;13.5744123459;6;27.1886029243;3;21.5;13.8093318939;6;28.3603947163;
