Turn;Planet_count_KI_1_SP_ABADDONI;Research_KI_1_SP_ABADDONI;Industry_KI_1_SP_ABADDONI;Ships_KI_1_SP_ABADDONI;Population_KI_1_SP_ABADDONI;Planet_count_KI_6_SP_ETTY;Research_KI_6_SP_ETTY;Industry_KI_6_SP_ETTY;Ships_KI_6_SP_ETTY;Population_KI_6_SP_ETTY;
1;1;6.0;12.0;4;20.0;1;9.0;10.0;4;20.0;
2;1;7.0;11.0;5;20.0;1;9.0;10.0;5;20.0;
3;1;8.0;10.0;5;21.0;1;9.0;10.0;5;20.0;
4;1;8.14999961853;10.5;5;21.8400001526;1;9.0;10.0;5;20.0;
5;2;8.27600002289;11.1199998856;4;23.5301437378;1;10.0;10.0;5;20.0;
6;2;9.50100040436;11.2650718689;3;24.1166050434;1;11.0;10.0;4;20.0;
7;2;10.4262361526;11.543302536;3;24.5889341831;1;11.0;10.0;4;20.3999996185;
8;2;10.5325098038;11.7641716003;3;25.212254405;1;11.1199998856;10.1999998093;4;20.7264003754;
9;2;10.6727571487;12.0549411774;3;25.7109264135;2;11.5179204941;10.3632001877;3;21.9903717041;
10;2;10.7849578857;12.2827939987;3;26.1074465513;2;11.597111702;10.4951858521;3;23.0819120407;
11;2;10.8741750717;12.4589796066;4;26.2348128557;2;11.9245738983;11.0209560394;3;23.99553442;
12;2;13.7948913574;12.5;4;26.2813059092;2;13.9245738983;11.4571752548;2;24.7449600697;
13;2;15.7948913574;12.5;4;26.328953743;2;15.6125736237;12.2039470673;3;25.3503712416;
14;2;16.8262710571;12.5;4;26.3777402639;2;16.6125736237;12.5001192093;3;25.8344515562;
15;2;17.8372478485;12.5;4;26.4276455641;2;17.9761257172;12.3113050461;3;26.2195074558;
16;2;18.8484764099;12.5;4;26.4786461592;2;18.9898986816;12.4808797836;3;26.3048160076;
17;2;19.8599510193;12.5;4;26.5307145119;2;20.0040187836;12.5;3;26.3530313969;
18;2;19.9694099426;12.5;5;26.5838193893;2;21.0184822083;12.5;3;26.4023760557;
19;2;19.9813594818;12.5;5;26.6379255056;2;21.9207134247;12.5;4;26.4528282881;
20;2;19.9935340881;12.5;5;26.6929937601;2;21.9358482361;12.5;4;26.5043625832;
21;2;20.0059242249;12.5;5;26.7489811182;2;21.9513092041;12.5;4;26.5569496155;
22;2;20.0185203552;12.5;5;26.8058408499;2;21.9670848846;12.5;4;26.6105561256;
23;2;20.0313148499;12.5;5;26.8635222912;2;21.9831676483;12.5;4;26.6651450396;
24;2;20.04429245;12.5;5;26.9219712019;2;21.9995441437;12.5;4;26.72067523;
25;2;20.0574436188;12.5;5;26.9811300039;2;22.0162029266;12.5;4;26.7771017551;
26;2;18.0707550049;13.5;5;27.0409376621;2;21.5;13.2996959686;4;26.8343759775;
27;2;18.625;13.5;5;27.1013302803;2;21.5;13.6006259918;4;26.8924454451;
28;2;19.625;13.5506649017;5;27.1622409821;2;21.5;13.6354675293;6;26.9512542486;
29;2;19.625;13.581120491;5;27.2236001492;2;21.5;13.6707525253;6;27.0107431412;
30;2;19.625;13.6118001938;5;27.285336256;2;20.1032218933;13.5;5;27.0708494186;
31;2;18.1392002106;13.5;5;27.3473753929;2;19.1212539673;14.5;5;27.1315076351;
32;2;18.625;13.5;6;27.409642458;2;18.1394519806;15.5;5;27.1926498413;
33;2;17.1671695709;13.5;6;27.4720609188;2;17.1577949524;16.5;6;27.2542052269;
34;2;16.1812133789;14.5;6;27.534553051;2;16.1762619019;17.5;7;27.3161010742;
35;2;16.625;13.5;6;27.5970411301;2;15.1948299408;18.5;8;27.3782629967;
36;2;15.2093343735;13.5;6;27.6594469547;2;14.7134790421;19.5;8;27.4406147003;
37;2;15.625;13.5;6;27.7216928005;2;14.7321844101;20.5;9;27.5030794144;
38;2;14.6123809814;13.5;6;27.7837014198;2;15.0;19.5;9;27.5655794144;
